,title,rating,isEdited,content,userName,date,developerBody,developerID,developerModified
0,A pretty easy and inclusive app… except for ONE thing,4,False,"a pretty easy and inclusive app… except for one thing. this app is amazing in that you can set up appointments, see your appointment schedule, see your lab results and even converse with your medical team. it is failing in one aspect for me that would put it over the top: including a way to add appointments into ones own ical, google, hotmail, yahoo, whatever calendar without them having to do so manually. for a patient such as myself, when i have a full days worth of appointments, i’d like to be able to transfer it into my own calendar seamlessly so i may schedule work/events around it. as of now i’m having to add a full days worth of appointments (more than 7) individually and manually instead of it just syncing up or copying to my calendar. if you can add this feature, that would be amazing- thank you!",Nikkideez,2021-09-13 21:17:25,nan,nan,nan
1,Navigating the Mayo system,3,False,navigating the mayo system. i love mayo and we have been with it since we lived in minnesota. but once we moved to scottsdale we could not move our primary care doctor here to mayo in that we were over 65. that was a low blow after being with mayo in rochester and having all of our medical care there for years. the other thing i find is that the mayo system is difficult to navigate. until you’re the one doing all of the navigating you don’t realize the difficulty involved. because they do not take medicare you have to pay the bills and never seem to match the payment schedule and so i put an xl spreadsheet together and put took it to the finance department. he told me that it is impossible to use the spreadsheet to figure out pay and even he had difficulty explaining it to me. that being said i still think it’s the finest medical facility in arizona but it certainly is difficult to navigate. on the website i find that if you request a response from the medical team you will get a quick response. i also find they telemedicine more and not being able to meet with doctors. i also find that pas and mps are meeting with you rather than doctors more often. i find them taking extraordinary covid precautions and felt very safe once i got into the facility.,kayaklafy,2020-07-17 16:48:47,nan,nan,nan
2,World’s Best Healthcare,5,False,"world’s best healthcare. we return each year to mayo for our annual physicals, and we always have a nice experience considering the reason we are in rochester. we find the doctors, nurses, and staff so helpful, kind and wonderful in their care for my husband and me. it is the best care one could find! though we spend our winters in scottsdale and knowing there is a mayo’s there, we still favor having the physicals in rochester. through the years we have had other family members needing surgery and mayo was our choice to go and again we were very pleased with the remarkable help from the doctors, nurses and staff we received. our biggest disappointment was finding that my doctor of 15 years is apt to retire next year.  he has been the best and i’ve especially appreciated the wonderful care he has given. he has been so helpful and does his work well and gives us the impression he has all the time in the world for us even though we know it is not true. we were sorry to hear this as he will be greatly missed by us. i have greatly appreciated having him for my doctor.",nana Ava,2020-10-23 16:58:56,nan,nan,nan
3,Good start but needs work!,2,False,"good start but needs work! sometimes it opens, often it doesn’t. as i am legally blind, it’s hard for me to read the info. in particular, the patient number is written so small i have to give it to others to ask them to read it. (so much for patient confidentiality- i’d rather they just leave it so i can enlarge it. (i need minimum font size 14 to read but normally use 18 to avoid strain- i believe yours is about 8). color change would help as well. i can change my ipad to go white on black nos like this note, but cannot change the app background. these things have caused great issue problems for me including overpayment by me which mayo clinic still has not resolved. if i had been able to read the note, it would have been avoided completely.   set up doesn’t allow for patients to put their own notes - something which would allow better exchange with doctors as things come up between visits, it also (like most medical portals) doesn’t allow for information exchange by the patient with other non-mayo doctors. until doctors demand that portals be able to exchange info, medical treatment in this country will continue to erode. you are in a good position to do so. use the reputation of mayo clinic under the mayo brothers and demand better for your patients!",LadyCharlane,2020-01-15 21:12:25,nan,nan,nan
4,Some features great and others poor,3,True,some features great and others poor. this app is very handy and i use it frequently. like adding appointments to calendar feature. but both website and app neglect the ability to pay by visit selectively. this means bills get much later payment while some are pending on insurance payments...this is bad for mayo cashflow.  i might add that each time i have called and paid by specific visits the mayo clerk agrees that they get many callers requesting to pay in this manner yet nothing has been done about it. one would think that the operating costs associated with phone support for billing in this manner (many times it can be 10+ minutes) would easily justify the changes to incorporated it. for example the website already lists the bills by visit number yet it does not provide the means to pay them individually. so this is just not an app problem.  i suspect the problem is that they do accounting of charges and credits by an account and not by individual bills to an account. but since they go through the effort to address bills individually they should have the means to implement payment by bill(visits).,Matenai,2018-08-14 00:19:21,Matenai - thanks for the kind words about the app.  I’ve passed your feedback along to our billing area so they can consider improving that experience for users in the future.  If you think of anything else we can do better - feel free to drop us a note.  Our email is mcmobileapps@mayo.edu.  Thanks so much.,4258639.0,2018-08-14T00:19:21Z
5,"For me, they need to be more direct.",3,False,"for me, they need to be more direct. while i highly recommend this app/site, and have often go gone to it as a first source of information for medical issues, for me, they pull too many punches.     if you want a more direct, and quite possibly more emotionally challenging take on a medical issues, i highly recommend the medscape app.       having said that, i have a lot of respect for this app. it’s a very good entry point for basic medical information. kindness, and patient empathy, are very important. and many people people are not comfortable with more direct clinical information.     as an example, if you ever are faced with a serious medical situation, and a doctor recommends an invasive treatment, ask them not just what the odds of success and failure (death) are. ask them what the success, failure and morbidity are. morbidity is often a big slice of the pie, and that means that the physicians tried, and actually made things worse. asking about morbidity will change the nature of the conversation with the medical community.     to spin off of the wizard of oz, don’t ignore the man behind the curtain.",EV-traveler,2019-05-31 17:04:28,nan,nan,nan
6,Review #2 of: “A Godsend for chronic patients!!”,5,False,"review #2 of: “a godsend for chronic patients!!”. i still feel the same way i did when i rated 3 years ago, absolutely have no idea how i was able to navigate my own health care i since then this app has taken full advantage of the ever increasing capabilities of cellular phones. there are several new ways it’s made the patients feel more in control of our own health care direction and decisions. off the top of my head some new capabilities are: faster and simpler ways to communicate with drs, i can schedule and cancel appointments online with very little to no need to speak with anyone, i can be contacted by my drs and/or their nurse(s) when they need to reach me, ex. to add to something we discussed at an earlier appt, etc.. just makes me feel more confident and in control, which is priceless when 1 or several health problems seem to take that control away.",Baijley,2021-04-14 06:28:58,nan,nan,nan
7,MAYO KNOWS APPS! THIS IS GREAT!,5,False,mayo knows apps! this is great! the best and most useful app of all! and if there’s a glitch they don’t waste time fixing it!!!! they continually surveil it and check for proper operation. it’s a dang good virtual tool for all health needs & keeping in touch with your care team. billing information and payment ability (even the option to set up payment plans) is right there too! this is the best and well-maintained app in the store!!!!!  ps... you can also contact their tech team directly via phone! that is sure different and comforting. they truly care!!!! all apps should be so wonderful! apple should mandate this type service with all its apps allowed on their app store!!!!! unfortunately they don’t seem to care except to collect their share…we all know how impossible it is to get any tech support with most every app that apple allows to be available on their store!!!,TITANIUMPATRIOT,2022-01-20 07:08:42,nan,nan,nan
8,Was a useful app,1,False,"was a useful app. getting past and reporting bugs is impossible. if a person is expected to use an app provided to access and report bugs and app issues, there should be an open line to it to report bugs and issues and not some roadblock. i have done all possible troubleshooting steps i can and still cannot access the app's reporting feature…thus forcing this change in rating. if they were simple issues i wouldn't bother complaining. however, when the app makes it impossible to take surveys, report dates and send bug reports there is a significant issue.  old review: i've recently started using the app. the set up wasn't easy at first (numbers! i hate punching numbers) but after i got logged in and working it has been a champ. a trip to the er with the app helped me keep abreast of my lab results and allowed me ask the physician good questions about my health and results. there is always room for improvement, like definitions, etc. however, after my initial hassle, this app has been very useful to me when i needed it...thankfully, not often.",books54751,2021-12-28 18:15:32,nan,nan,nan
9,Autoimmune diseases,5,False,"autoimmune diseases. i am a physician . i am retired. due to severe  symptom’s of pain in my hands.  then it went into my feet.  i have always exercised.  i was a gold medal winner at age 6 in a national aau  swim meet, which was part of a five state division, montana, minnesota, nd and sd.  i graduated from the u minn in mpls.  i went on , as an adult to long distance running and 3x a week of weight lifting.  i then got into joseph pilates for 15 years until my instructor moved  back to seattle.  i also took vigorous and demanding yoga classes.  ashstanga, other yoga that extremely demanding.  i went through a year course to train to be a yoga instructor.  then i took an 18month course to learn accupuncture and chinese medicine.  yet, i am now at a point where walking is a challenge  due to inherited genetic problems.  does anything really work to treat autoimmune problems?  the side effects of autoimmune meds are worse than the diseases they are treating.",Take it as it is,2018-04-19 00:31:11,nan,nan,nan
