,title,isEdited,rating,userName,content,date
0,Nice features but the interface could use some work,False,3,donhessman,"nice features but the interface could use some work. being able to communicate directly with my doctor through the app has been a game changer. being able to see my medical records on the app is amazing!  here are a couple of suggestions though. the messaging feature is a little clunky. unless i access it from the records section of the app, it won’t let me reply to messages. even worse, you have to start over each time on selecting your provider/facility, then your doctor. can we please get the ability to just have that information saved and pre-populated when writing messages until we change it? additionally, it would be really great to be able to share file attachments like images or pdfs.   lastly, i love the feature where you can share fitbit data with your doctor. will we one day be able to also share apple health data? it would be great to able to give my doctor access to data from my apple watch.",2020-01-26 02:02:56
1,Think app needs an update bc of iOS 15,False,2,Pennybink,"think app needs an update bc of ios 15. can login but initially it was not being able to make an appointment and view records. didn’t try sending message via the app as i had no reason to do so. eventually was able to make an appointment. but still trouble login to view records pops up. deleting app and all you should do with an app not responding as it should has not helped. update: been reading other reviews. i had a drive through covid test and because of that, i was in the medical clinics system with healow being available that i didn’t know at the time. later after seeing that place used healow, i was able to use my phone number with some information to get in via a web browser on my computer. can’t recall if i input a password in account there, suspect i did. but do know i did not know my user name from the browser computer version. so the app. frustrating to get in. think i clicked forgot password but do know that i was allowed to use my phone to login and from there saw my user name. no idea if others use firstnamelastnamebirthyear for user name. i wish i could recall when the password was made, likely it was browser version. capital first letter of first name and capital first letter of last name then 19- - birth year and no spaces. this worked for my husband too.",2021-10-05 16:15:45
2,Zero Confidence in Healow,False,1,PJJJK in MA,zero confidence in healow. my health care provider swapped from follow my health to healow. prior to the change i was not too fond of follow my health. since the transition i can honestly say that in my personal experience follow my health is a rock star when compared to healow. i can only assume the “low” in healow stands for low bidder.       i initially gave up after multiple attempts to set up a healo account to access my personal medical records. recently (many months later) i made another attempt which proved just as frustrating and unsuccessful. eventually support was received from my medical providers staff. healow support is in my experience non-existent.         as to the healow app’s content and ease of use. my experience thus far warrants zero stars ! i suspect healow is in the profit business and not the medical records business. this patient’s experience allows healow’s site was definitely not created from a patient’s perspective or needs. their site does not even recognize my primary care provider or the medical practice they service after requesting just that info !      with no intention to create a negative this has thus far been my personal experience. hopefully one that healow will consider to improve their service. if and when they were to make improvements i will post a retraction with a better score. till then  i hope your experience is better than mine.,2022-01-18 20:25:05
3,Nonfunctional app,False,1,TheWallaby,"nonfunctional app. wasted 2 hours trying to set up this app the night before an appointment.  issue is i already had healow installed in prep for a different appointment.  process went fairly smoothly to log into the portal the first time but that appointment is days away.  i have an appointment tomorrow with another provider who unfortunately also requires healow.  app is already installed and nothing works to add a new account from the app (using iphone 11)...finds provider but subsequent prompts just will not accept input.  bailed out and logged in from my newer laptop only to watch it reject every browser i tried (chrome, ie, edge) as “unsupported.”   ended up giving up and logging on using the browser app from my iphone, bypasses the app entirely. at least the test didn’t reject the browser, but it’s really not optimized for the main bike screen.  due to covid risk,i need these virtual visits. guess if it doesn’t work tomorrow with my crazy workaround i’ll cancel my appointment and blame it on eclinicalworks.  i know i won’t be the first to do so. as an it professional in healthcare, i hate seeing buggy apps like these because i know it will be a barrier to healthcare for some non technical or older people. sad.  update:  assuming ecw took the backend down last evening with no alert that maintenance was occurring.  monday am functions like linking an account mysteriously work.  wow.  what a waste of an evening.",2020-04-27 13:25:46
4,Frustratingly bad design,False,1,Real-Pro,"frustratingly bad design. like so many things in the american health care system, this app is a sprawling poorly organized mess, needlessly difficult to navigate and ultimately-give-up frustrating. your incoming messages are on the landing page but how do you get to the thread of received and sent? not from there! and not by clicking on messages either. no, you have to stumble on my records and discover them buried there for some reason. want to renew a prescription? you can do it if you know the secret (as in completely unlabeled) button 5 clicks deep from the main menu. need to tell the app which pharmacy to use? hope it’s not cvs because you will have to manually search through the list of every cvs in the us, randomly listed, screen by screen, until you find your needle in the haystack. and don’t bother seeking advice on how to do this more efficiently: searching help for the word “pharmacy” yields exactly zero results. why would anyone make these boneheaded basic usability decisions? this app is like punishment for actually trying to perform basic healthcare functions online, as if your provider were yelling at you, “just pick up the phone, for god’s sake!”",2021-04-12 12:02:21
5,I can’t rate it any better,False,1,flowerlily1,"i can’t rate it any better. this app is extremely frustrating. i have not been able to log in since december. my doctor’s office has reset it several times to no avail. i keep trying to retrieve/ reset my user name/password only to be told i am not registered. i have received one email from support and even though i explained the above and requested a phone call more than a week ago, nobody has replied. right now my opinion of this app is that plus garbage and customer service none existent.   follow up: today i received an email notifying me that they are considering my case closed. has anyone bothered to contact  me by phone (as i requested) or even by email?  no! and they are closing my case??? unfortunately i can’t give them any lower than a one star. this rating does not necessarily speak for the app. for all i know it’s a great app but i have not been able to use it so i can’t say. my issue is mainly with customer service. i wonder, do they just have bad service? incompetent reps? or are they just so inundated with complaints that they have missed my request?  in any case, this app is useless to me as it stands.",2022-03-31 15:49:26
6,New to Dr Smart... app is an awesome 1st step,False,5,27thLetter,"new to dr smart... app is an awesome 1st step. after the worst transition from a great physician for over 2 years , to what i would say was beyond insulting new estab appt w/a pa yesterday, that was time wasted. the pa 1st stating a well known add med “didn’t exist,”then she “can’t find my history w/ this rx that i’ve been on for 1.5yrs...ergo, not going to refill or even reduce milligram, if that were the true reason she denied to write for 1 refill of an rx taken daily. she refused an antibiotic for severe sinus infection, stating “insurance won’t cover “, yet i have filled it in past w/out a problem? i left after 2 hours, w/ no progress & no refills. an antidepressant & add med taken daily that i’ll be out of next week, leaving me lost.i changed immediately to a dr linked with app, if they care for patients as well as app assists, i will rest easy. it seems they do, we shall see. i have a great feeling about the drs i will be linked to. thank you for a great app.",2019-03-08 18:56:28
7,Works but needs work,False,3,teeblackley,"works but needs work. though i installed this app a couple years ago, i haven’t needed to really use it until recently. how do i delete or even archive “we miss you” or “happy holidays” messages? messages need the option to maintain their thread like in every other messaging app.   i like having a history of my lab and test results and have been able to rely on this feature and is what has kept me using it.    one of my main concerns is readability. the fonts are small, thin and lightweight which makes them difficult to read. i could rely more on the icons (appointments, records, etc) on the main screen if they’re easier to see (small, faint, and detailed). ironically they are easier to see on the help screen! the readability issue applies to every screen.   sadly, i think this app must be one of the lower priced among the options for medical professionals. the version history reflects a lot of bug response, but the last enhancement was 8 months ago and the last update 2 years ago.   the in-app “report a problem” is non-functioning. i question whether the development team even follows reviews/suggestions for improvement or actively works to improve this app. it works, but comes in juuuust under the wire.",2020-10-01 12:42:23
8,No place in medicine,False,1,Zumba*chic,no place in medicine. it’s very simple really. apps have no place in medicine. this is our health we are talking about for which we must rely on yet another device. if something is done such as bloodwork or other tests we should receive a call. my glucose was out of range and rather than call me i had to download this silly app and google what this might mean. i was told it wasn’t alarming because i had not fasted. i wanted to say i have not once in my life been out of range and had only ever once had a fasting glucose test. this is a huge fail on the part of healthcare. impersonal and difficult for older generations. they will miss things. they will confuse people. dr.’s hate it when the general public googles diagnosis and possible health concern scenarios yet they continue to alienate patients. this is just a new way to hold us at arms length. few people know how to read cbc/chem analysis values and an entire generation struggles with the tech. we don’t need this. we need healthcare workers to do what they do best and communicate with us. big thumbs down,2022-04-18 14:06:38
9,Don’t understand what most of you have Against security measures,False,5,SurvivorKym,"don’t understand what most of you have against security measures. i for one like the added measures. if you’ve ever had your identity stolen and your medical information and insurance used and then have to fight for years to clean it up you should be happy that they’re taking these extra subs to protect you so one extra strap may be frustrating but in the long run it could be saving you 1 million other stops. love the doctors love the app and the security. with having stage four bone cancer that is now going to the brain barrier my left orbital socket and plate the extra measures are good for me and i take them every time because i am not having my identity insurance and all of that stolen again so i praise the app, five stars i’d give it 10 if i could",2022-01-05 11:51:45
