title,rating,isEdited,review,userName,date,body,id,modified
A pretty easy and inclusive app… except for ONE thing,4,False,"This app is amazing in that you can set up appointments, see your appointment schedule, see your lab results and even converse with your medical team. It is failing in one aspect for me that would put it over the top: including a way to add appointments into ones own iCal, google, Hotmail, yahoo, whatever calendar without them having to do so manually. For a patient such as myself, when I have a FULL days worth of appointments, I’d like to be able to transfer it into my own calendar seamlessly so I may schedule work/events around it. As of now I’m having to add a full days worth of appointments (more than 7) individually and manually instead of it just syncing up or copying to my calendar. If you can add this feature, that would be AMAZING- Thank you!",Nikkideez,2021-09-13 21:17:25,,,
Navigating the Mayo system,3,False,I love Mayo and we have been with it since we lived in Minnesota. But once we moved to Scottsdale we could not move our primary care doctor here to Mayo in that we were over 65. That was a low blow after being with Mayo in Rochester and having all of our medical care there for years. The other thing I find is that the Mayo system is difficult to navigate. Until you’re the one doing all of the navigating you don’t realize the difficulty involved. Because they do not take Medicare you have to pay the bills and never seem to match the payment schedule and so I put an XL spreadsheet together and put took it to the finance department. He told me that it is impossible to use the spreadsheet to figure out pay and even he had difficulty explaining it to me. That being said I still think it’s the finest medical facility in Arizona but it certainly is difficult to navigate. On the website I find that if you request a response from the medical team you will get a quick response. I also find they telemedicine more and not being able to meet with doctors. I also find that PAs and MPs are meeting with you rather than doctors more often. I find them taking extraordinary Covid precautions and felt very safe once I got into the facility.,kayaklafy,2020-07-17 16:48:47,,,
World’s Best Healthcare,5,False,"We return each year to Mayo for our annual physicals, and we always have a nice experience considering the reason we are in Rochester. We find the doctors, nurses, and staff so helpful, kind and wonderful in their care for my husband and me. It is the best care one could find! Though we spend our winters in Scottsdale and knowing there is a Mayo’s there, we still favor having the physicals in Rochester. Through the years we have had other family members needing surgery and Mayo was our choice to go and again we were very pleased with the remarkable help from the doctors, nurses and staff we received. Our biggest disappointment was finding that my doctor of 15 years is apt to retire next year.  He has been the best and I’ve especially appreciated the wonderful care he has given. He has been so helpful and does his work well and gives us the impression he has all the time in the world for us even though we know it is not true. We were sorry to hear this as he will be greatly missed by us. I have greatly appreciated having him for my doctor.",nana Ava,2020-10-23 16:58:56,,,
Good start but needs work!,2,False,"Sometimes it opens, often it doesn’t. As I am legally blind, it’s hard for me to read the info. In particular, the patient number is written SO small I have to give it to others to ask them to read it. (So much for patient confidentiality- I’d rather they just leave it so I can enlarge it. (I need minimum font size 14 to read but normally use 18 to avoid strain- I believe yours is about 8). Color change would help as well. I can change my iPad to go white on black nos like this note, but cannot change the app background. These things have caused great issue problems for me including overpayment by me which Mayo Clinic still has not resolved. If I had been able to read the note, it would have been avoided completely.   Set up doesn’t allow for patients to put their own notes - something which would allow better exchange with doctors as things come up between visits, it also (like most medical portals) doesn’t allow for information exchange by the patient with other non-mayo doctors. Until doctors demand that portals be able to exchange info, medical treatment in this country will continue to erode. You are in a good position to do so. Use the reputation of Mayo Clinic under the Mayo brothers and demand better for your patients!",LadyCharlane,2020-01-15 21:12:25,,,
Some features great and others poor,3,True,"This app is very handy and i use it frequently. Like adding appointments to calendar feature. But both website and app neglect the ability to pay by visit selectively. This means bills get much later payment while some are pending on insurance payments...this is bad for Mayo cashflow.

I might add that each time I have called and paid by specific visits the Mayo clerk agrees that they get many callers requesting to pay in this manner yet nothing has been done about it. One would think that the operating costs associated with phone support for billing in this manner (many times it can be 10+ minutes) would easily justify the changes to incorporated it. For example the website already lists the bills by visit number yet it does not provide the means to pay them individually. So this is just not an app problem.

I suspect the problem is that they do accounting of charges and credits by an account and not by individual bills to an account. But since they go through the effort to address bills individually they should have the means to implement payment by bill(visits).",Matenai,2018-08-14 00:19:21,Matenai - thanks for the kind words about the app.  I’ve passed your feedback along to our billing area so they can consider improving that experience for users in the future.  If you think of anything else we can do better - feel free to drop us a note.  Our email is mcmobileapps@mayo.edu.  Thanks so much.,4258639.0,2018-08-14T00:19:21Z
"For me, they need to be more direct.",3,False,"While I highly recommend this app/site, and have often go gone to it as a first source of information for medical issues, for me, they pull too many punches.
    If you want a more direct, and quite possibly more emotionally challenging take on a medical issues, I highly recommend the Medscape app. 
     Having said that, I have a lot of respect for this app. It’s a very good entry point for basic medical information. Kindness, and patient empathy, are very important. And many people people are not comfortable with more direct clinical information.
    As an example, if you ever are faced with a serious medical situation, and a doctor recommends an invasive treatment, ask them not just what the odds of success and failure (death) are. Ask them what the success, failure and morbidity are. Morbidity is often a big slice of the pie, and that means that the physicians tried, and actually made things worse. Asking about morbidity will change the nature of the conversation with the medical community.
    To spin off of the Wizard of Oz, don’t ignore the man behind the curtain.",EV-traveler,2019-05-31 17:04:28,,,
Review #2 of: “A Godsend for chronic patients!!”,5,False,"I still feel the same way I did when I rated 3 years ago, absolutely have no idea how I was able to navigate my own health care I Since then this app has taken full advantage of the ever increasing capabilities of cellular phones. There are several new ways it’s made the patients feel more in control of our own health care direction and decisions. Off the top of my head some new capabilities are: faster and simpler ways to communicate with drs, I can schedule and cancel appointments online with very little to no need to
Speak with anyone, I can be contacted by my drs and/or their nurse(s) when they need to reach me, ex. to add to something we discussed at an earlier appt, etc.. Just makes me feel more confident and in control, which is priceless when 1 or several health problems seem to take that control away.",Baijley,2021-04-14 06:28:58,,,
MAYO KNOWS APPS! THIS IS GREAT!,5,False,"The best and most useful app of all!
And if there’s a glitch they don’t waste time fixing it!!!! They continually surveil it and check for proper operation. It’s a dang good virtual tool for all health needs & keeping in touch with your care team. Billing information and payment ability (even the option to set up payment plans) is right there too! This is THE BEST and well-maintained app in the store!!!!!

PS... you can also contact their tech team directly via phone! That is sure different and comforting. They truly care!!!! All apps should be so wonderful! Apple should mandate this type service with all its apps allowed on their App Store!!!!! Unfortunately they don’t seem to care except to collect their share…we all know how impossible it is to get any tech support with most every app that Apple allows to be available on their Store!!!",TITANIUMPATRIOT,2022-01-20 07:08:42,,,
Was a useful app,1,False,"Getting past and reporting bugs is impossible. If a person is expected to use an app provided to access and report bugs and app issues, there should be an open line to IT to report bugs and issues and not some roadblock. I have done all possible troubleshooting steps I can and still cannot access the app's reporting feature…thus forcing this change in rating. If they were simple issues I wouldn't bother complaining. However, when the app makes it impossible to take surveys, report dates and send bug reports there is a significant issue.

OLD REVIEW: I've recently started using the app. The set up wasn't easy at first (numbers! I hate punching numbers) but after I got logged in and working it has been a champ. A trip to the ER with the app helped me keep abreast of my lab results and allowed me ask the physician good questions about my health and results. There is always room for improvement, like definitions, etc. However, after my initial hassle, this app has been very useful to me when I needed it...thankfully, not often.",books54751,2021-12-28 18:15:32,,,
Autoimmune diseases,5,False,"I am a physician . I am retired. Due to severe  symptom’s of pain in my hands.  Then it went into my feet.  I have always exercised.  I was a gold medal winner at age 6 in a NATIONAL AAU  SWIM MEET, which was part of a five state division, Montana, Minnesota, ND and SD.  I graduated from the U Minn in Mpls.  I went on , as an adult to long distance running and 3x a week of weight lifting.  I then got
Into Joseph Pilates for 15 years until my instructor moved  back to seattle.  I also took vigorous and demanding yoga classes.  Ashstanga, other yoga that extremely demanding.  I went through a year course to train to be a yoga instructor.  Then I took an 18month course to learn accupuncture and Chinese Medicine.  Yet, I am now at a point where walking is a challenge  due to inherited genetic problems.  Does anything really work to treat autoimmune problems?  The side effects of autoimmune meds are worse than the diseases they are treating.",Take it as it is,2018-04-19 00:31:11,,,
