title,isEdited,rating,userName,review,date
Nice features but the interface could use some work,False,3,donhessman,"Being able to communicate directly with my doctor through the app has been a game changer. Being able to see my medical records on the app is amazing!

Here are a couple of suggestions though. The messaging feature is a little clunky. Unless I access it from the records section of the app, it won’t let me reply to messages. Even worse, you have to start over each time on selecting your provider/facility, then your doctor. Can we please get the ability to just have that information saved and pre-populated when writing messages until we change it? Additionally, it would be really great to be able to share file attachments like images or PDFs. 

Lastly, I love the feature where you can share Fitbit data with your doctor. Will we one day be able to also share Apple Health data? It would be great to able to give my doctor access to data from my Apple Watch.",2020-01-26 02:02:56
Think app needs an update bc of iOS 15,False,2,Pennybink,"Can login but initially it was not being able to make an appointment and view records. Didn’t try sending message via the app as I had no reason to do so. Eventually was able to make an appointment. But still trouble login to view records pops up. Deleting app and all you should do with an app not responding as it should has not helped. Update: been reading other reviews. I had a drive through Covid test and because of that, I was in the medical clinics system with Healow being available that I didn’t know at the time. Later after seeing that place used Healow, I was able to use my phone number with some information to get in via a web browser on my computer. Can’t recall if I input a password in account there, suspect I did. But do know I did not know my user name from the browser computer version. So the app. Frustrating to get in. Think I clicked forgot password but do know that I was allowed to use my phone to login and from there saw my user name. No idea if others use FirstnameLastnameBirthyear for user name. I wish I could recall when the password was made, likely it was browser version. Capital first letter of first name and Capital first letter of last name then 19- - birth year and no spaces. This worked for my husband too.",2021-10-05 16:15:45
Zero Confidence in Healow,False,1,PJJJK in MA,"My health care provider swapped from Follow My Health to Healow. Prior to the change I was not too fond of Follow My Health. Since the transition I can honestly say that in my personal experience Follow My Health is a Rock Star when compared to Healow. I can only assume the “low” in Healow stands for low bidder.
      I initially gave up after multiple attempts to set up a Healo account to access my personal medical records. Recently (many months later) I made another attempt which proved just as frustrating and unsuccessful. Eventually support was received from my Medical Providers staff. Healow support is in my experience non-existent. 
       As to the Healow app’s content and ease of use. My experience thus far warrants Zero Stars ! I suspect Healow is in the profit business and not the medical records business. This patient’s experience allows Healow’s site was definitely not created from a patient’s perspective or needs. Their site does not even recognize my Primary Care Provider or The Medical Practice they service after requesting just that info !
     With no intention to create a negative this has thus far been my personal experience. Hopefully one that Healow will consider to improve their service. If and when they were to make improvements I will post a retraction with a better score. Till then 
I hope your experience is better than mine.",2022-01-18 20:25:05
Nonfunctional app,False,1,TheWallaby,"Wasted 2 hours trying to set up this app the night before an appointment.  Issue is I already had Healow installed in prep for a different appointment.  Process went fairly smoothly to log into the portal the first time but that appointment is days away.  I have an appointment tomorrow with another provider who unfortunately also requires Healow.  App is already installed and NOTHING works to add a new account from the app (using iPhone 11)...finds provider but subsequent prompts just will not accept input.  Bailed out and logged in from my newer laptop only to watch it reject every browser I tried (Chrome, IE, Edge) as “unsupported.”   Ended up giving up and logging on using the browser app from my iPhone, bypasses the app entirely. At least the test didn’t reject the browser, but it’s really not optimized for the main bike screen.  Due to COVID risk,I need these virtual visits. Guess if it doesn’t work tomorrow with my crazy workaround I’ll cancel my appointment and blame it on eClinicalWorks.  I know I won’t be the first to do so. As an IT professional in healthcare, I hate seeing buggy apps like these because I know it will be a barrier to healthcare for some non technical or older people. Sad.

Update:  assuming eCW took the backend down last evening with NO alert that maintenance was occurring.  Monday am functions like linking an account mysteriously work.  Wow.  What a waste of an evening.",2020-04-27 13:25:46
Frustratingly bad design,False,1,Real-Pro,"Like so many things in the American health care system, this app is a sprawling poorly organized mess, needlessly difficult to navigate and ultimately-give-up frustrating. Your incoming messages are on the landing page but how do you get to the thread of received AND sent? Not from there! And not by clicking on Messages either. No, you have to stumble on My Records and discover them buried there for some reason. Want to renew a prescription? You can do it if you know the secret (as in completely unlabeled) button 5 clicks deep from the main menu. Need to tell the app which pharmacy to use? Hope it’s not CVS because you will have to manually search through the list of EVERY CVS in the US, randomly listed, screen by screen, until you find your needle in the haystack. And don’t bother seeking advice on how to do this more efficiently: searching Help for the word “pharmacy” yields exactly zero results. Why would anyone make these boneheaded basic usability decisions? This app is like punishment for actually trying to perform basic healthcare functions online, as if your provider were yelling at you, “just pick up the phone, for God’s sake!”",2021-04-12 12:02:21
I can’t rate it any better,False,1,flowerlily1,"This app is extremely frustrating. I have not been able to log in since December. My Doctor’s office has reset it several times to no avail. I keep trying to retrieve/ reset my user name/password only to be told I am not registered. I have received ONE email from support and even though I explained the above and requested a phone call more than a week ago, nobody has replied. Right now my opinion of this app is that plus garbage and customer service none existent. 

Follow up: today I received an email notifying me that they are considering my case closed. Has anyone bothered to contact 
Me by phone (as I requested) or even by email?  NO! and they are closing my case??? Unfortunately I can’t give them any lower than a one star. This rating does not necessarily speak for the app. For all I know it’s a great app BUT I have not been able to use it so I can’t say. My issue is mainly with customer service.
I wonder, do they just have bad service? Incompetent reps? Or are they just so inundated with complaints that they have missed my request?  In any case, this app is useless to me as it stands.",2022-03-31 15:49:26
New to Dr Smart... app is an awesome 1st step,False,5,27thLetter,"After the worst transition from a great physician for over 2 years , to what I would say was beyond INSULTING new estab appt w/a PA yesterday, that was time wasted. The PA 1st stating a well known ADD med “didn’t exist,”then she “can’t find my history w/ this rx that I’ve been on for 1.5yrs...ergo, not going to refill or even reduce milligram, if THAT were the true reason she denied to write for 1 refill of an rx taken daily. She refused an antibiotic for severe sinus infection, stating “insurance won’t cover “, yet I have filled it in past w/out a problem? I left after 2 hours, w/ no progress & no refills. An antidepressant & ADD med taken daily that I’ll be out of next week, leaving me lost.I changed immediately to a Dr linked with app, if they care for patients as well as app assists, I will rest easy. It seems they do, we shall see. I have a great feeling about the Drs I will be linked to. Thank you for a great app.",2019-03-08 18:56:28
Works but needs work,False,3,teeblackley,"Though I installed this app a couple years ago, I haven’t needed to really use it until recently. How do I delete or even archive “we miss you” or “happy holidays” messages? Messages need the option to maintain their thread like in every other messaging app. 

I like having a history of my lab and test results and have been able to rely on this feature and is what has kept me using it.  

One of my main concerns is readability. The fonts are small, thin and lightweight which makes them difficult to read. I could rely more on the icons (appointments, records, etc) on the main screen if they’re easier to see (small, faint, and detailed). Ironically they are easier to see on the Help screen! The readability issue applies to every screen. 

Sadly, I think this app must be one of the lower priced among the options for medical professionals. The version history reflects a lot of bug response, but the last enhancement was 8 months ago and the last update 2 years ago. 

The in-app “report a problem” is non-functioning. I question whether the development team even follows reviews/suggestions for improvement or actively works to improve this app. It works, but comes in juuuust under the wire.",2020-10-01 12:42:23
No place in medicine,False,1,Zumba*chic,It’s very simple really. Apps have no place in medicine. This is our health we are talking about for which we must rely on yet another device. If something is done such as bloodwork or other tests we should receive a call. My glucose was out of range and rather than call me I had to download this silly app and Google what this might mean. I was told it wasn’t alarming because I had not fasted. I wanted to say I have not once in my life been out of range and had only ever once had a fasting glucose test. This is a huge fail on the part of healthcare. Impersonal and difficult for older generations. They will miss things. They will confuse people. Dr.’s hate it when the general public googles diagnosis and possible health concern scenarios yet they continue to alienate patients. This is just a new way to hold us at arms length. Few people know how to read cbc/chem analysis values and an entire generation struggles with the tech. We don’t need this. We need healthcare workers to do what they do best and communicate with us. Big thumbs down,2022-04-18 14:06:38
Don’t understand what most of you have Against security measures,False,5,SurvivorKym,"I for one like the added measures. If you’ve ever had your identity stolen and your medical information and insurance used and then have to fight for years to clean it up you should be happy that they’re taking these extra subs to protect you so one extra strap may be frustrating but in the long run it could be saving you 1 million other stops. Love the doctors love the app and the security. With having stage four bone cancer that is now going to the brain barrier my left orbital socket and plate the extra measures are good for me and I take them every time because I am not having my identity insurance and all of that stolen again so I praise the app, five stars I’d give it 10 if I could",2022-01-05 11:51:45
Good but messaging needs improvement,False,4,GP-1970,"This App is a well done application that provides good medical record keeping and communication between patient and doctors. 

The one issue that is a problem for this application is the messaging. When constructing a message addressed to a doctor, many times an error appears when attempting to send a message, “only valid characters are allowed (A-Z, a-z, 0-9), including all special characters“. Yet the message does not include any invalid characters or even special characters beyond “)” and “(“ according to the error message.

To work around this error, I have to construct my message in the IOS “note” app and then copy/paste the message to the Healow app. This is very inconvenient. But I still use this application to communicate with my doctors.",2022-04-11 16:37:37
App is not accessible to blind users,False,1,labishop123,"I rely on voiceover, a screen reader on Apple iPhones to use my phone and apps that I download onto it. Furthermore, I rely on my doctors health applications so that I can independently review my health information and make informed decisions in my healthcare. With this app, I am having problems accessing my Health information, the app refreshes while I am trying to navigate using voice over gestures, and I cannot utilize the messaging feature. In many situations, it has taken me over 30 or 45 minutes to read important information such as my lab results and vitals. It should normally take about 10 or so minutes to do this. I respectfully ask that you make the changes necessary for this application to be compatible with voiceover, as this electronic application is one of the only ways that blind people can independently access their health records. 
I thank you for your time and consideration reading this review.",2022-03-24 13:42:32
