,index,Unnamed: 0,reviewId,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at,replyContent,repliedAt,sentenceNumber,sentence,reviewNumber
0,0,0,gp:AOqpTOGA3rWeQ4j-Vr4Qy_NOCFI7zUxR7u4pW7-dWscd8kAg8DTpqTx05wPPeSbbV2UVGZRFxzWhui-hvoNa_Q,Kirk Severson,https://play-lh.googleusercontent.com/a-/AOh14GgOfo2qzS__Lo1tvUdHnhqz9vqtXzeR_yLat6t4mb4,kicks user out if you go to another app after authenticating.,2,0,8.8,2022-05-13 10:11:23,nan,nan,1,kicks user out if you go to another app after authenticating.,1
1,3,3,gp:AOqpTOGslZ_O5aL7WPplOjcdYJ1g4bktqvx2MNf557wBqxCrJz73kq5VQorXLfTPinHQxHn6U9t5csy6qScqrQ,Lisabeth Dixon,https://play-lh.googleusercontent.com/a/AATXAJxtfwB0TAhOcLttO_2dfo1dm2Or6UA5vlDDOaE2=mo,lisabethdixon save,5,0,nan,2022-05-08 22:59:38,nan,nan,1,lisabethdixon save,4
2,11,11,gp:AOqpTOE-tTs1Az41CerY8M-3Wq05DnybFHpUtHNtwhhIVsGb5JmbZA1QJmpE2-8iYxo18WNBf7qW8iozerqGmw,Feliciano Vargis,https://play-lh.googleusercontent.com/a-/AOh14GjE3AYJQM_ve2HtluRdKvYVwgtFySXyuJjSt559qw,after the new update i can't view messages,3,0,8.8,2022-05-07 05:48:45,nan,nan,1,after the new update i cannot view messages,8
3,53,53,gp:AOqpTOF6FIw4XIoSibHmTmmWgjd06KcH_jHtB_Qr7RqXxGEbKRcKsf2vwO-p5xed5UDj0s-fX1JNx95vYekCFA,Billy Mitchellsr.,https://play-lh.googleusercontent.com/a-/AOh14GiJ13HKWN-_2wbpguPm8W1tcm2aonS2qbbjD8dVjQ,i have multiple health issues and i go to the mayo clinic for a better understanding of my health conditions that my doctors do not do for me.,5,0,8.8,2022-04-24 05:57:15,nan,nan,1,i have multiple health issues and i go to the mayo clinic for a better understanding of my health conditions that my doctors do not do for me.,25
4,54,54,gp:AOqpTOE9NoFQ37QoEtBVUguvnOhI0ivekl2fxPfDaG-H8O7PGcBWH2rKeu3qD48Mkjf9pRN07j3mscuEqp8cBw,NO SWEAT,https://play-lh.googleusercontent.com/a-/AOh14GibdA9dNw6RYjuTGqDqGoiCwr9X9u5KhlOI31P3dw,"never works, complete garbage",1,0,nan,2022-04-21 10:09:26,nan,nan,1,"never works, complete garbage",26
5,55,55,gp:AOqpTOEoNEFST1U1yMQjZjPMsEaH4kYSKb10dSVQ2m5_yDucuDomypFLED89jpSJJw0I-kq0x8olOj3Q02gy5Q,Stacy LeDoux,https://play-lh.googleusercontent.com/a/AATXAJx3dy6N20NYuijqOASSI1MsNh1733o5SCo-HAbDsw=mo,does not work at all. can't even sign in.,1,0,8.8,2022-04-20 22:45:04,nan,nan,1,does not work at all.,27
6,56,56,gp:AOqpTOEoNEFST1U1yMQjZjPMsEaH4kYSKb10dSVQ2m5_yDucuDomypFLED89jpSJJw0I-kq0x8olOj3Q02gy5Q,Stacy LeDoux,https://play-lh.googleusercontent.com/a/AATXAJx3dy6N20NYuijqOASSI1MsNh1733o5SCo-HAbDsw=mo,does not work at all. can't even sign in.,1,0,8.8,2022-04-20 22:45:04,nan,nan,2,cannot even sign in.,27
7,129,129,gp:AOqpTOFQ9q7EHq2I_xyTj_xYlsMw9PH7cXxtnJhmU-SrjEp2mXHuq5ekU6r36CNBmcuSemS_unsUHSTCTJjgRg,Sonia Becker,https://play-lh.googleusercontent.com/a/AATXAJy7wClXPyRPv2QCwmI3qwMoOCG0LHWILlOSmjOj=mo,worthless,5,0,8.7,2022-04-05 07:43:20,nan,nan,1,worthless,64
8,134,134,gp:AOqpTOGCloW1QVGKB4UhixDdPujstNGBVaYT11XPfHRYp-i6cnjeAnCOEHcc0itLX4sYMQSpfQYNoS7sQiSs9A,Julie Willis,https://play-lh.googleusercontent.com/a/AATXAJycnrUquw9cMlGm-W0HS6l2zwcDZpjE9inDUdAO=mo,i have to say i am impressed by the fact that i can go to a grief group.,3,0,8.6,2022-03-31 17:38:35,nan,nan,1,i have to say i am impressed by the fact that i can go to a grief group.,68
9,157,157,gp:AOqpTOEI76l34jB_3Ukk9hLc1GTndHFH5fQuR-RluEQY2fpDTVdOCB346DgtqxYzoYplxKvwkSxXQ2hg0rp64w,sharon Rickert,https://play-lh.googleusercontent.com/a/AATXAJwnA2PdG8EKqU949sDBy0fTN_xRaxnnHgVvrnfH=mo,"do you have any ""minus"" stars???",1,0,8.6,2022-03-18 11:51:19,nan,nan,1,do you have any'minus'stars???,85
