,Word,Posed Correction,Frequency
0,holston,houston,16
1,intercommunity,intercommunity,12
2,sealy,seal,6
3,glycated,located,4
4,intermountain,intermountain,4
5,murfreesboro,murfreesboro,3
6,maimonides,maimonides,2
7,firsthealth,firsthealth,2
8,neurosciences,neuroscience,2
9,orthopaedics,orthopaedic,2
10,fmhmobil,fmhmobil,2
11,healthspring,healthspring,2
12,ridenoure,ridenoure,2
13,tmg4me,tmg4me,2
14,frohnhofer,frohnhofer,2
15,videochat,videochat,2
16,kotsonis,kotsonis,2
17,shikowitz,shikowitz,2
18,awsmtastik,awsmtastik,2
19,rbennyriver,rbennyriver,1
20,medicaloffice,medicaloffice,1
21,lnoddddd,lnoddddd,1
22,viperglen,viperglen,1
23,haakakhajs,haakakhajs,1
24,kdsewell,kdsewell,1
25,rafieza,rafieza,1
26,yksrose,yksrose,1
27,followmyeasy,followmyeasy,1
28,menorahgia,menorahgia,1
29,everrrrr,everrrrr,1
30,cattuzzo,cattuzzo,1
31,realllllly,realllllly,1
32,aaaaammmmazing,aaaaammmmazing,1
33,kernersville,kernersville,1
34,tkastelic,tkastelic,1
35,allllll,allllll,1
36,tegretol,tegretol,1
37,trekkiegalior,trekkiegalior,1
38,grrrrreeeeaaaatttt,grrrrreeeeaaaatttt,1
39,sweetpeatnt,sweetpeatnt,1
40,craptacular,craptacular,1
41,ponteprino,ponteprino,1
42,iiiiiitttttt,iiiiiitttttt,1
43,mdcrabmom,mdcrabmom,1
44,amyzeff,amyzeff,1
45,elhymec,elhymec,1
46,smkjwd,smkjwd,1
47,ml91s,ml91s,1
48,lynnsbritt,lynnsbritt,1
49,easypeasylemonsqueezy,easypeasylemonsqueezy,1
50,ambercrocker,ambercrocker,1
51,mommadbb,mommadbb,1
52,mostthorough,mostthorough,1
53,shadylady,shadylady,1
54,appointmentand,appointmentand,1
55,kizmitter,kizmitter,1
56,benningfield,benningfield,1
57,bigpftp,bigpftp,1
58,worksgreat,worksgreat,1
59,yonipako,yonipako,1
60,anthonypic,anthonypic,1
61,madelynorta,madelynorta,1
62,lmcmomoftwins,lmcmomoftwins,1
63,brownsapp,brownsapp,1
64,javastop,javastop,1
65,arch21plato,arch21plato,1
66,smrigney,smrigney,1
67,teeniemurph,teeniemurph,1
68,jbcastell,jbcastell,1
69,kitchiecat,kitchiecat,1
70,yhulusa,yhulusa,1
71,nidaliaaa,nidaliaaa,1
72,brondyke,brondyke,1
73,greatvapp,greatvapp,1
74,ahdndjd,ahdndjd,1
75,jdbrjx,jdbrjx,1
76,ndnrjxndidneienebrkfixjzbwbrifyzvw,ndnrjxndidneienebrkfixjzbwbrifyzvw,1
77,modifiable,modifiable,1
78,lifescreenings,lifescreenings,1
79,littlegirl,littlegirl,1
80,carfagna,carfagna,1
81,grubhub,grubhub,1
82,bdwubgbdvhkuji,bdwubgbdvhkuji,1
83,uggggh,uggggh,1
84,frankowski,frankowski,1
85,medlinepulse,medlinepulse,1
86,nonalphabetic,nonalphabetic,1
87,amazeballs,amazeballs,1
88,myhealthchart,myhealthchart,1
89,worstever,worstever,1
90,intercommunion,intercommunion,1
91,highschoolers,highschoolers,1
92,poplarville,poplarville,1
93,donnarae,donnarae,1
94,lovemydoctor,lovemydoctor,1
95,meppppp,meppppp,1
96,illinoisboy,illinoisboy,1
97,delvaglio,delvaglio,1
98,fmhportal,fmhportal,1
99,adduumy,adduumy,1
100,fmhmonile,fmhmonile,1
101,timrodlady,timrodlady,1
102,momoftwo,momoftwo,1
103,cjp523fhm,cjp523fhm,1
104,supposivley,supposivley,1
105,touchprint,touchprint,1
106,dreamforce,dreamforce,1
107,logitech,logitech,1
108,ultrathin,ultrathin,1
109,mammography,mammography,1
110,sgoldfischer,sgoldfischer,1
111,mrscsc,mrscsc,1
112,corondolet,corondolet,1
113,aplicaciones,aplicaciones,1
114,ginamichielini,ginamichielini,1
115,dizbelle,dizbelle,1
116,pergjoni,pergjoni,1
117,kingkree,kingkree,1
118,herramienta,herramienta,1
119,mcatharino,mcatharino,1
120,orlandofollowmyhealth,orlandofollowmyhealth,1
121,graywolfs,graywolfs,1
122,silverlight,silverlight,1
123,configurability,configurability,1
124,appawesome,appawesome,1
125,familyappuser,familyappuser,1
126,nfobgyn,nfobgyn,1
127,argggggggggggg,argggggggggggg,1
128,pleasssssse,pleasssssse,1
129,nicebutneedswork,nicebutneedswork,1
130,obammermyhealth,obammermyhealth,1
131,retirednurse,retirednurse,1
132,ioitall2god,ioitall2god,1
133,tom27mary,tom27mary,1
134,futurities,futurities,1
135,lehigh,leigh,1
136,dembitsky,dembitsky,1
137,sewickley,sewickley,1
138,cutezpinay,cutezpinay,1
139,hillsdale,hillsdale,1
140,orsadoc,orsadoc,1
141,pahlisch,pahlisch,1
142,mrgfella,mrgfella,1
143,caringthey,caringthey,1
144,pollocksville,pollocksville,1
145,hematologyhigh,hematologyhigh,1
146,quackinbush,quackinbush,1
147,healthvana,healthvana,1
148,kruenegel,kruenegel,1
149,menorrhagia,menorrhagia,1
150,mentreddi,mentreddi,1
151,lloesch,lloesch,1
152,degidio,degidio,1
153,finesilver,finesilver,1
154,nelboriqua,nelboriqua,1
155,bavakati,bavakati,1
156,hoferka,hoferka,1
157,recomendable,recomendable,1
158,lmbreeden,lmbreeden,1
159,cookinghill,cookinghill,1
160,telkamp,telkamp,1
161,kubiachi,kubiachi,1
