,Word,Posed Correction,Frequency
0,holston,houston,9
1,murfreesboro,murfreesboro,6
2,glycated,located,5
3,grrrrreat,grrrrreat,2
4,zernichs,zernichs,2
5,ll,all,2
6,intermountain,intermountain,2
7,kentuckyone,kentuckyone,2
8,tennova,tennova,2
9,mngmnt,mngmnt,2
10,intercommunity,intercommunity,2
11,convientant,convientant,1
12,sometimestakes,sometimestakes,1
13,nephritis,nephritis,1
14,pediotritist,pediotritist,1
15,cjsmhrd,cjsmhrd,1
16,updatebranch,updatebranch,1
17,showseverythinh,showseverythinh,1
18,amazballs,amazballs,1
19,nolasco,nolasco,1
20,haveaccess,haveaccess,1
21,sealy,seal,1
22,medicalrecords,medicalrecords,1
23,grrrrrreat,grrrrrreat,1
24,preauthorization,preauthorization,1
25,dejarnette,dejarnette,1
26,waykewl,waykewl,1
27,hyperscrutiny,hyperscrutiny,1
28,sometimesyou,sometimesyou,1
29,keepinterrific,keepinterrific,1
30,perscpition,perscpition,1
31,jackiecaldwell,jackiecaldwell,1
32,sandracullens,sandracullens,1
33,urdaneta,urdaneta,1
34,heathwell,heathwell,1
35,mybeaumontchart,mybeaumontchart,1
36,chapeskie,chapeskie,1
37,strassburg,strassburg,1
38,usingnit,usingnit,1
39,daggubati,daggubati,1
40,friendlyand,friendlyand,1
41,cavuoti,cavuoti,1
42,workingwell,workingwell,1
43,everrrrrr,everrrrrr,1
44,atmyoon,atmyoon,1
45,bankskylightvisa,bankskylightvisa,1
46,phonegap,phonegap,1
47,mypersonalhealth,mypersonalhealth,1
48,results4fastera,results4fastera,1
49,walkthru,walkthru,1
50,uninstalledand,uninstalledand,1
51,awesomesauce,awesomesauce,1
52,formetokeep,formetokeep,1
53,omfoation,omfoation,1
54,buuuuut,buuuuut,1
55,avsdavlr,avsdavlr,1
56,helpfulgreat,helpfulgreat,1
57,resultsyou,resultsyou,1
58,abdelshaheed,abdelshaheed,1
59,beingcable,beingcable,1
60,strobelight,strobelight,1
61,theaccess,theaccess,1
62,incongruencies,incongruencies,1
63,autoscroll,autoscroll,1
64,nessicary,nessicary,1
65,fleszar,fleszar,1
66,wysiwyg,wysiwyg,1
67,patientgreat,patientgreat,1
68,healthyness,healthyness,1
69,trendmicro,trendmicro,1
70,telemedical,telemedical,1
71,krehbiel,krehbiel,1
72,googleplay,googleplay,1
73,clarksville,clarksville,1
74,thiscapp,thiscapp,1
75,communicationtool,communicationtool,1
76,elzbieta,elzbieta,1
77,mcmurtrie,mcmurtrie,1
78,appfollowmy,appfollowmy,1
79,southwestmedical,southwestmedical,1
80,greeaaaattttt,greeaaaattttt,1
81,proffenail,proffenail,1
82,gaaaaaah,gaaaaaah,1
83,sllloooooww,sllloooooww,1
84,looooovvveee,looooovvveee,1
85,unfortionatlety,unfortionatlety,1
86,andupcoming,andupcoming,1
87,loovvveee,loovvveee,1
88,healthinformation,healthinformation,1
89,appthank,appthank,1
90,centerville,centerville,1
91,mahajen,mahajen,1
92,sangeeta,sangeeta,1
93,icanmotfind,icanmotfind,1
94,f0f0f0days,f0f0f0days,1
95,communicatewith,communicatewith,1
96,iowaclinic,iowaclinic,1
97,interfacecwith,interfacecwith,1
98,youredical,youredical,1
99,fhcfollowmyhealth,fhcfollowmyhealth,1
100,myhealthportal,myhealthportal,1
101,awsommmmmmmmmmmmm,awsommmmmmmmmmmmm,1
102,orthopaedics,orthopaedic,1
103,c3cfx,c3cfx,1
104,neurosciences,neuroscience,1
105,recrecommend,recrecommend,1
106,suuupppeeerrr,suuupppeeerrr,1
107,mmmmmmmmm,mmmmmmmmm,1
108,expenseced,expenseced,1
109,perfossinal,perfossinal,1
110,elhomsey,elhomsey,1
111,belleville,belleville,1
112,huddleston,huddleston,1
113,thornburg,thornburg,1
114,mcglarry,mcglarry,1
115,phycililty,phycililty,1
116,masonboro,masonboro,1
117,zulfiqur,zulfiqur,1
118,anout2my,anout2my,1
119,lisabethdixon,lisabethdixon,1
120,whstbus,whstbus,1
121,nannenga,nannenga,1
122,recognizpoint,recognizpoint,1
123,getbresults,getbresults,1
124,descriptionsare,descriptionsare,1
125,pendletons,pendletons,1
126,healthcarepartners,healthcarepartners,1
127,greatlayout,greatlayout,1
128,viorsoin,viorsoin,1
129,alsofind,alsofind,1
130,claysville,claysville,1
131,schoenbachler,schoenbachler,1
132,goldsboro,goldsboro,1
133,lumboperitoneal,lumboperitoneal,1
134,holtzapfel,holtzapfel,1
135,extensible,extensive,1
136,veryveasy,veryveasy,1
137,sufficientcient,sufficientcient,1
138,ihateapps,ihateapps,1
139,healthwise,healthwise,1
140,opoitments,opoitments,1
141,brookdale,brookdale,1
142,greaaaat,greaaaat,1
143,uncumberson,uncumberson,1
144,healthelife,healthelife,1
145,conversationwith,conversationwith,1
146,nesscerary,nesscerary,1
147,lakeville,lakeville,1
148,ridgecrest,ridgecrest,1
149,infoeasily,infoeasily,1
150,engageable,engageable,1
151,snailmail,snailmail,1
152,quickacces,quickacces,1
153,bfieasy,bfieasy,1
154,signaturehealth,signaturehealth,1
155,practioneer,practioneer,1
156,heidbrink,heidbrink,1
157,parekaittil,parekaittil,1
158,awwwesometast,awwwesometast,1
159,pensacola,pensacola,1
