,Word,Posed Correction,Frequency
0,jacksonville,,3
1,portability,probability,2
2,mayoclinic,,2
3,goodburn,,1
4,musallem,,1
5,okelokale,,1
6,sincerrally,,1
7,loooove,,1
8,mizoram,,1
9,downunder,,1
10,fibromyalgia,,1
11,hospitalmayo,,1
12,halouwa,,1
13,implementable,,1
14,prechecklist,,1
15,laptopbut,,1
16,eptwurth,,1
17,layperson,,1
18,tnmglllfl,,1
19,dxedeelmnnktgm,,1
20,marshfield,,1
21,harumph,,1
22,lisabethdixon,,1
23,throcrvcugh,,1
24,truelygood,,1
25,chippendales,,1
26,excelentes,,1
27,sbeenayear,,1
28,zimmermann,,1
