,Word,Posed Correction,Frequency
0,md,my,17
1,polymerase,polymers,8
2,glycated,located,4
3,mammography,mammography,4
4,harborview,harborview,2
5,valleywise,valleywise,2
6,ionescu,ionescu,2
7,eskanazi,eskanazi,2
8,playskool,playskool,2
9,mylaheychart,mylaheychart,2
10,healthpartners,healthpartners,2
11,mybonsecours,mybonsecours,2
12,eskenazi,eskenazi,2
13,finkelstein,finkelstein,2
14,paroxetine,paroxetine,2
15,electromyography,electromyography,2
16,areblank,areblank,1
17,bornemann,bornemann,1
18,rhatigan,rhatigan,1
19,umapatgybon,umapatgybon,1
20,preappointment,preappointment,1
21,gilchrist,gilchrist,1
22,bolenbaugh,bolenbaugh,1
23,reqythat,reqythat,1
24,horribleeeeee,horribleeeeee,1
25,fhcxhhcbjust,fhcxhhcbjust,1
26,udoetuk,udoetuk,1
27,dictirvvia,dictirvvia,1
28,secreayart,secreayart,1
29,misapplied,misapplied,1
30,typingcan,typingcan,1
31,kietzman,kietzman,1
32,wifyfytvitgyhbyojbojuujj,wifyfytvitgyhbyojbojuujj,1
33,optimeyes,optimeyes,1
34,phunomisa,phunomisa,1
35,aughfully,aughfully,1
36,ugggghhhh,ugggghhhh,1
37,kootenai,kootenai,1
38,downscaling,downscaling,1
39,taaaaaa,taaaaaa,1
40,eekkkk,eekkkk,1
41,unitypoint,unitypoint,1
42,kosciusko,kosciusko,1
43,tmkjtc,tmkjtc,1
44,arrrggghhh,arrrggghhh,1
45,wallaceduring,wallaceduring,1
46,mccracken,mccracken,1
47,mcneiltom,mcneiltom,1
48,havenevwr,havenevwr,1
49,lovebddn,lovebddn,1
50,carecredit,carecredit,1
51,pouchoscopy,pouchoscopy,1
52,allenbaugh,allenbaugh,1
53,jansalvato,jansalvato,1
54,mohyuddin,mohyuddin,1
55,tjcrumpjr,tjcrumpjr,1
56,recommendationsattempt,recommendationsattempt,1
57,interestsand,interestsand,1
58,thoseexperts,thoseexperts,1
59,excelencia,excelencia,1
60,bendecida,bendecida,1
61,explicando,explicando,1
62,not2stresd,not2stresd,1
63,uuuggghhh,uuuggghhh,1
64,purrrrrfect,purrrrrfect,1
65,mychartmyhealth,mychartmyhealth,1
66,comentario,comentario,1
67,fanacapanhayeswa,fanacapanhayeswa,1
68,symbecort,symbecort,1
69,glipright,glipright,1
70,thibodeaux,thibodeaux,1
71,czerkawska,czerkawska,1
72,paluchowska,paluchowska,1
73,tyminska,tyminska,1
74,lehigh,leigh,1
75,mypennmedicine,mypennmedicine,1
76,loopville,loopville,1
77,honorhealth,honorhealth,1
78,todayknow,todayknow,1
79,ughhhhh,ughhhhh,1
80,fitchitt,fitchitt,1
81,extensible,extensive,1
82,progressiveperv,progressiveperv,1
83,omronwellness,omronwellness,1
84,universityofwashington,universityofwashington,1
85,accesscode,accesscode,1
86,rxgrp,rxgrp,1
87,dkartcats,dkartcats,1
88,laudenbach,laudenbach,1
89,hortsmeyers,hortsmeyers,1
90,autopopulated,autopopulated,1
91,drhorgan,drhorgan,1
92,sinovacym,sinovacym,1
93,mukwonago,mukwonago,1
94,antisthisiolgist,antisthisiolgist,1
95,ettensohn,ettensohn,1
96,vanderburgh,vanderburgh,1
97,knightdale,knightdale,1
98,interfacelift,interfacelift,1
99,papsmear,papsmear,1
100,yjsybdhpuld,yjsybdhpuld,1
101,luvvvvvvv,luvvvvvvv,1
102,barricelli,barricelli,1
103,yobzmefivate,yobzmefivate,1
104,alimadadian,alimadadian,1
105,veryeasy,veryeasy,1
106,pepeoppeop,pepeoppeop,1
107,vandenhoff,vandenhoff,1
108,uugghh,uugghh,1
109,kennestone,kennestone,1
110,mhcsgde,mhcsgde,1
111,plc2fd,plc2fd,1
112,masengill,masengill,1
113,golkiewicz,golkiewicz,1
114,dukemychart,dukemychart,1
115,glamrsgie,glamrsgie,1
116,bonsecours,bonsecours,1
117,calendaring,calendaring,1
118,ohiohealth,ohiohealth,1
119,myunitypoint,myunitypoint,1
120,lumboperitoneal,lumboperitoneal,1
121,xxxxxx,xxxxxx,1
122,jdkzka,jdkzka,1
123,itzkowitz,itzkowitz,1
124,zamarripa,zamarripa,1
125,timenudeanminder,timenudeanminder,1
126,ericapostal,ericapostal,1
127,whhbhj,whhbhj,1
128,ihdjdjd,ihdjdjd,1
129,alreadyhave,alreadyhave,1
130,ddukemycart,ddukemycart,1
131,confusinghatr,confusinghatr,1
132,gainesville,gainesville,1
133,remindersand,remindersand,1
134,kornegay,kornegay,1
135,gavilyte,gavilyte,1
136,patievtcreview,patievtcreview,1
137,waaaaaaaay,waaaaaaaay,1
138,myhillchart,myhillchart,1
139,eldercare,eldercare,1
140,moorestown,moorestown,1
141,soltanzadeh,soltanzadeh,1
142,grawemeyer,grawemeyer,1
143,mybmgchart,mybmgchart,1
144,ramchand,ramchand,1
145,practicinerx,practicinerx,1
146,murchison,murchison,1
147,leesburg,leesburg,1
148,abbeville,abbeville,1
149,multnomah,multnomah,1
150,hfhmacomb,hfhmacomb,1
151,denisenovak,denisenovak,1
152,barricklow,barricklow,1
153,physiatrist,physiatrist,1
154,recordkeeping,recordkeeping,1
155,withlauren,withlauren,1
156,rwjbarnabas,rwjbarnabas,1
157,nonbinary,nonbinary,1
158,forwardminded,forwardminded,1
159,wvumedicine,wvumedicine,1
160,dispersamente,dispersamente,1
161,otolaryngologist,otolaryngologist,1
162,techteam,techteam,1
163,mandhadi,mandhadi,1
164,deshondra,deshondra,1
165,nontrivial,nontrivial,1
166,escanaba,escanaba,1
167,ordermedication,ordermedication,1
168,refillable,refillable,1
169,comorbidities,comorbidities,1
170,cheatlake,cheatlake,1
171,inconivient,inconivient,1
172,wenatchee,wenatchee,1
173,hilldale,hilldale,1
174,owenville,owenville,1
175,lansizera,lansizera,1
176,ucdavishealth,ucdavishealth,1
177,mccaskill,mccaskill,1
178,evolicontacting,evolicontacting,1
179,uggggh,uggggh,1
180,lsugranny,lsugranny,1
181,martharod,martharod,1
182,ranganath,ranganath,1
183,mooresville,mooresville,1
184,artsymom,artsymom,1
185,elosegui,elosegui,1
186,gaerthner,gaerthner,1
187,raccuglia,raccuglia,1
188,minttobe,minttobe,1
189,pamfonline,pamfonline,1
190,lookbwas,lookbwas,1
191,romanucci,romanucci,1
192,hasposted,hasposted,1
193,lakeville,lakeville,1
194,janettecincy,janettecincy,1
195,elmhurst,elmhurst,1
196,flourtown,flourtown,1
197,jospitalnsustoms,jospitalnsustoms,1
198,mypennmed,mypennmed,1
199,pissedoffpatient,pissedoffpatient,1
200,traceability,traceability,1
201,applehealth,applehealth,1
202,drumgoole,drumgoole,1
203,kreutzfeldt,kreutzfeldt,1
204,shringrix,shringrix,1
205,havingmychart,havingmychart,1
206,veryquickly,veryquickly,1
207,accessibilities,accessibilities,1
208,lillyelaine,lillyelaine,1
209,intermountain,intermountain,1
210,garroepstein,garroepstein,1
211,lemmertz,lemmertz,1
212,mychartand,mychartand,1
213,loganville,loganville,1
214,hackleman,hackleman,1
215,importantwarning,importantwarning,1
216,telecalls,telecalls,1
217,vvvvvvv,vvvvvvv,1
218,magnyfong,magnyfong,1
219,ridgeview,ridgeview,1
220,pleaaaase,pleaaaase,1
221,yubikey,yubikey,1
222,recomendable,recomendable,1
223,bertagnole,bertagnole,1
224,printstatements,printstatements,1
225,awesomesauce,awesomesauce,1
226,dipropylacetic,dipropylacetic,1
227,depakote,depakote,1
228,petrunick,petrunick,1
229,hungerford,hungerford,1
230,chittimerretty,chittimerretty,1
231,subeeshe,subeeshe,1
232,kardiacare,kardiacare,1
233,shelbylouann,shelbylouann,1
234,portneuf,portneuf,1
235,mimi4rel,mimi4rel,1
236,morningstar,morningstar,1
237,vlsalreno,vlsalreno,1
238,beenusually,beenusually,1
239,metairie,metairie,1
240,pittaluga,pittaluga,1
241,beaumontchart,beaumontchart,1
242,whiteside,whiteside,1
243,zarelto,zarelto,1
244,meyerhofer,meyerhofer,1
245,wynnefield,wynnefield,1
246,murrieta,murrieta's,1
247,babycarr,babycarr,1
