,Word,Posed Correction,Frequency
0,glycated,located,5
1,winbook,winbook,2
2,owensboro,owensboro,2
3,eberhart,eberhart,2
4,mountainstar,mountainstar,2
5,pflugerville,pflugerville,2
6,osfmychart,osfmychart,2
7,md,my,2
8,chillicothe,chillicothe,2
9,lehigh,leigh,2
10,softlocks,softlocks,1
11,ughhhhhh,ughhhhhh,1
12,larrazabal,larrazabal,1
13,ileoscopy,ileoscopy,1
14,flawedddd,flawedddd,1
15,kaiserpermanentes,kaiserpermanentes,1
16,orliwitz,orliwitz,1
17,calendaring,calendaring,1
18,askmygp,askmygp,1
19,whatnotconsistently,whatnotconsistently,1
20,developerjust,developerjust,1
21,bronchiectasis,bronchiectasis,1
22,mhealthfairview,mhealthfairview,1
23,covienence,covienence,1
24,nuerotypical,nuerotypical,1
25,ll,all,1
26,annoyawis,annoyawis,1
27,needhelp,needhelp,1
28,outfreakinstanding,outfreakinstanding,1
29,remdesivir,remdesivir,1
30,apkmirror,apkmirror,1
31,couldntvget,couldntvget,1
32,cannotrespond,cannotrespond,1
33,papadakis,papadakis,1
34,robophone,robophone,1
35,touchpoint,touchpoint,1
36,heeellllp,heeellllp,1
37,shamibski,shamibski,1
38,hagerstown,hagerstown,1
39,mooibroek,mooibroek,1
40,shirodkar,shirodkar,1
41,imaginenot,imaginenot,1
42,overpermissioned,overpermissioned,1
43,myalbertadigitalid,myalbertadigitalid,1
44,severaltimes,severaltimes,1
45,aesethics,aesethics,1
46,underprescribed,underprescribed,1
47,presyberterian,presyberterian,1
48,configurability,configurability,1
49,appntmints,appntmints,1
50,appflash,appflash,1
51,assecesable,assecesable,1
52,dustyblue,dustyblue,1
53,synergistically,synergistically,1
54,diganosises,diganosises,1
55,doctoredwards,doctoredwards,1
56,uncmychart,uncmychart,1
57,livewell,livewell,1
58,badddddddd,badddddddd,1
59,girardeau,girardeau,1
60,nessecceary,nessecceary,1
61,cantvopen,cantvopen,1
62,atenci,agency,1
63,underinsured,underinsured,1
64,geeerrr,geeerrr,1
65,dlsontact,dlsontact,1
66,teven,even,1
67,uglyyyyyy,uglyyyyyy,1
68,nshizznitzzz,nshizznitzzz,1
69,petersmith,petersmith,1
70,li99mlulloomokki,li99mlulloomokki,1
71,whensick,whensick,1
72,pprwrk,pprwrk,1
73,hemgoratic,hemgoratic,1
74,scrollfest,scrollfest,1
75,amlodipine,amlodipine,1
76,metoprolol,metoprolol,1
77,atorvastatin,atorvastatin,1
78,mucheadiertokerptrackofmy,mucheadiertokerptrackofmy,1
79,withthisapp,withthisapp,1
80,golisano,golisano,1
81,anypersonal,anypersonal,1
82,icancontactmy,icancontactmy,1
83,willingboro,willingboro,1
84,induranceandsctiption,induranceandsctiption,1
85,nicotrol,nicotrol,1
86,calengoo,calengoo,1
87,vanderburg,vanderburg,1
88,medivalbusi,medivalbusi,1
89,okeetok,okeetok,1
90,amerihealth,amerihealth,1
91,saweeeeet,saweeeeet,1
92,whaaaaaaat,whaaaaaaat,1
93,hennepin,hennepin,1
94,mindbody,mindbody,1
95,greeeeeat,greeeeeat,1
96,razormaxx,razormaxx,1
97,myunitypoint,myunitypoint,1
98,discoverability,discoverability,1
99,appointmentments,appointmentments,1
100,iverlycomplicated,iverlycomplicated,1
101,kyocera,kyocera,1
102,thankyouuuu,thankyouuuu,1
103,cyanogenmod,cyanogenmod,1
104,slooooowwwww,slooooowwwww,1
105,electromyography,electromyography,1
106,unitypoint,unitypoint,1
107,orginz3d,orginz3d,1
108,providerimplemented,providerimplemented,1
109,lgl34c,lgl34c,1
110,wherevhave,wherevhave,1
111,memorialcare,memorialcare,1
112,healthspan,healthspan,1
113,hattiesburg,hattiesburg,1
114,multifactor,multifactor,1
