,Word,Posed Correction,Frequency
0,jailbroken,jailbroken,2
1,saribalas,saribalas,2
2,robocallers,robocallers,2
3,reneembaer,reneembaer,1
4,mccrashalot,mccrashalot,1
5,thursdaynote,thursdaynote,1
6,hello2healow,hello2healow,1
7,touchpoint,touchpoint,1
8,afdclinics,afdclinics,1
9,lmlvuser,lmlvuser,1
10,slowwww,slowwww,1
11,samudrala,samudrala,1
12,naproxen,naproxen,1
13,whaaaaaaaaaa,whaaaaaaaaaa,1
14,uuuhhhggg,uuuhhhggg,1
15,firstnamelastnamebirthyear,firstnamelastnamebirthyear,1
16,thepassword,thepassword,1
17,slowwwwwwww,slowwwwwwww,1
18,applewatch,applewatch,1
19,helvetia,helvetia,1
20,venipuncture,venipuncture,1
21,healthwise,healthwise,1
22,heathmate,heathmate,1
23,ampersands,ampersands,1
24,edgebrowser,edgebrowser,1
25,suboxone,suboxone,1
26,volusia,volusia,1
27,uitextfielddelegate,uitextfielddelegate,1
28,allowcharacters,allowcharacters,1
29,dehaughted,dehaughted,1
30,glycated,located,1
31,waccamaw,waccamaw,1
32,tetracain,tetracain,1
33,mickeymouse,mickeymouse,1
34,livestrong,livestrong,1
35,trainertom,trainertom,1
36,sociomedia,sociomedia,1
37,verrrrrrrrrrrry,verrrrrrrrrrrry,1
38,lovelovelove,lovelovelove,1
39,extensible,extensive,1
