,Word,Posed Correction,Frequency
0,hello2healow,hello2healow,10
1,glycated,located,4
2,schererville,schererville,2
3,loveeeee,loveeeee,2
4,demopulois,demopulois,2
5,maldonado,maldonado,2
6,polymerase,polymers,2
7,wellfleet,wellfleet,2
8,veryhelpful,veryhelpful,1
9,pastelcolor,pastelcolor,1
10,loveeeeee,loveeeeee,1
11,teleappointment,teleappointment,1
12,appointmentments,appointmentments,1
13,thefutureishere,thefutureishere,1
14,sheluche,sheluche,1
15,drvwhile,drvwhile,1
16,outstandinding,outstandinding,1
17,kissimmee,kissimmee,1
18,stormontvail,stormontvail,1
19,manzanares,manzanares,1
20,messas3and,messas3and,1
21,technophobe,technophobe,1
22,ssssooo,ssssooo,1
23,march18th,march18th,1
24,busytime,busytime,1
25,respircare,respircare,1
26,myhealthsmmc,myhealthsmmc,1
27,increadabily,increadabily,1
28,accomando,accomando,1
29,testresults,testresults,1
30,bapisciottalambert,bapisciottalambert,1
31,electromyography,electromyography,1
32,ll,all,1
33,informationreally,informationreally,1
34,gerstenmaier,gerstenmaier,1
35,isuesat,isuesat,1
36,experiencement,experiencement,1
37,heartbleed,heartbleed,1
38,teledoctor,teledoctor,1
39,healthquests,healthquests,1
40,techsupport,techsupport,1
41,goodddddd,goodddddd,1
42,mychartmyhealth,mychartmyhealth,1
43,mycareonline,mycareonline,1
44,trendsand,trendsand,1
45,mapmyrise,mapmyrise,1
46,whaaaaaaaaat,whaaaaaaaaat,1
47,michalick,michalick,1
48,sorrynotsorry,sorrynotsorry,1
49,yxthjtn,yxthjtn,1
50,beginniningto,beginniningto,1
51,metformin,metformin,1
52,compatabal,compatabal,1
53,witnesses6like,witnesses6like,1
54,kalodner,kalodner,1
55,qauliiity,qauliiity,1
56,langworthy,langworthy,1
57,placheril,placheril,1
58,awesomeeeeee,awesomeeeeee,1
59,rodneyfisher,rodneyfisher,1
60,clinicalworksllc,clinicalworksllc,1
61,montecarlo,montecarlo,1
62,tumefactive,tumefactive,1
63,apptmonts,apptmonts,1
64,wunnrrfulll,wunnrrfulll,1
65,falfurrias,falfurrias,1
66,waccamaw,waccamaw,1
67,ruettinger,ruettinger,1
68,pattersonfamdcsc,pattersonfamdcsc,1
69,since12pm,since12pm,1
70,organiorganized,organiorganized,1
71,acuraretlly,acuraretlly,1
72,togetbwe,togetbwe,1
73,aaarrrggghhh,aaarrrggghhh,1
