,Word,Posed Correction,Frequency
0,dr,do,1383
1,fmh,fah,678
2,followmyhealth,followmyhealth,385
3,fmhmobile,immobile,262
4,appts,apps,237
5,drs,dry,183
6,appt,app,174
7,rx,re,95
8,md,my,72
9,myhealth,health,45
10,covid,couid,44
11,northwell,northwest,41
12,pc,pa,39
13,mr,my,35
14,pcp,pop,34
15,ms,is,33
16,mychart,chart,30
17,bp,be,27
18,touchid,touched,24
19,emr,ear,24
20,excelente,excelent,22
21,st,it,22
22,mrs,mars,21
23,mysharp,sharp,21
24,gp,go,21
25,fb,fu,20
26,ssl,sol,17
27,hmg,hug,16
28,rn,in,16
29,ehr,her,15
30,jardogs,pardons,15
31,apts,acts,15
32,usability,ability,14
33,np,no,13
34,ux,up,12
35,pih,pig,12
36,ct,it,12
37,optum,opium,12
38,fhm,fhe,12
39,allscripts,allscripts,11
40,stealy,steal,11
41,facey,face,11
42,uninstalled,installed,11
43,hippa,hippy,11
44,bc,be,11
45,timesaver,lifesaver,11
46,pt,it,10
47,pdf,edf,10
48,fm,am,10
49,healthkit,healthkit,10
50,obgyn,obey,10
51,afternoon,afternoon,10
52,msg,mug,10
53,vs,is,10
54,gw,go,9
55,hipaa,hip,9
56,cvs,cos,9
57,bmi,mi,9
58,fhmobile,mobile,8
59,fh,oh,7
60,obamacare,obamacare,7
61,pw,pa,7
62,followmy,followme,7
63,hrs,his,6
64,sr,so,6
65,smh,suh,6
66,evms,eves,6
67,prohealth,prohealth,6
68,uninstalling,installing,6
69,snd,and,6
70,srs,sis,6
71,corbie,corrie,5
72,faceid,faced,5
73,cigna,cinna,5
74,xrays,rays,5
75,hcp,hop,5
76,helpfull,helpful,5
77,copay,copy,5
78,fpa,spa,5
79,nc,no,5
80,mds,meds,5
81,telehealth,telehealth,5
82,permanente,permanent,4
83,davita,davits,4
84,thx,the,4
85,a1c,arc,4
86,tn,to,4
87,gelvin,melvin,4
88,servicio,service,4
89,rxs,res,4
90,faqs,fans,4
91,ll,all,4
92,emrs,ears,4
93,faq,far,4
94,phr,per,4
95,cerner,corner,4
96,cr,or,4
97,unintuitive,intuitive,3
98,acct,act,3
99,uhs,us,3
100,macbook,facebook,3
101,hx,he,3
102,appp,app,3
103,hr,he,3
104,btw,bow,3
105,llc,lac,3
106,healthapp,healthapp,3
107,ihc,ich,3
108,optumcare,optumcare,3
109,cshp,she,3
110,harma,harm,3
111,msgs,mugs,3
112,fhs,fhe,3
113,aaa,aka,3
114,pinehurst,pankhurst,3
