,Word,Posed Correction,Frequency
0,dr,do,2340
1,appts,apps,561
2,appt,app,387
3,drs,dry,323
4,pcp,pop,165
5,followmyhealth,followmyhealth,158
6,fmh,fah,146
7,rx,re,142
8,md,my,81
9,pc,pa,71
10,uninstalled,installed,53
11,samsung,sassing,49
12,msg,mug,45
13,northwell,northwest,33
14,xrays,rays,33
15,uninstalling,installing,30
16,mychart,chart,29
17,apts,acts,27
18,helpfull,helpful,27
19,convienent,convenient,25
20,bp,be,24
21,acess,access,21
22,vs,is,18
23,acct,act,18
24,st,it,18
25,pw,pa,17
26,covid,couid,17
27,labwork,labor,15
28,convienient,convenient,15
29,bc,be,14
30,thx,the,14
31,hrs,his,14
32,appoinments,appointments,14
33,mysharp,sharp,13
34,mds,meds,13
35,pdf,edf,12
36,ct,it,12
37,nd,and,12
38,perscription,prescription,11
39,optum,opium,11
40,convience,convince,11
41,grest,great,10
42,recieve,receive,10
43,ms,is,10
44,emr,ear,10
45,excellant,excellent,10
46,msgs,mugs,10
47,bs,is,10
48,perscriptions,prescriptions,10
49,lg,la,10
50,hx,he,10
51,sd,so,9
52,fb,fu,9
53,hmg,hug,9
54,np,no,8
55,effecient,efficient,8
56,spp,spy,8
57,reccomend,recomend,8
58,apointments,appointments,8
59,ppl,pal,8
60,manuver,maneuver,8
61,convienant,covenant,8
62,snd,and,8
63,javascript,javascript,7
64,auth,auto,7
65,pt,it,7
66,ll,all,7
67,ehr,her,7
68,bmi,mi,7
69,mmc,mic,6
70,covenient,convenient,6
71,myhealth,health,6
72,lt,it,6
73,pls,plus,6
74,smh,suh,6
75,gp,go,6
76,mr,my,6
77,followmyheath,followmyheath,6
78,rn,in,6
79,evms,eves,6
80,navagate,navigate,6
81,excelente,excelent,6
82,ck,ok,6
83,usability,ability,6
84,telehealth,telehealth,6
85,faq,far,5
86,todate,toate,5
87,imformative,informative,5
88,exellent,excellent,5
89,sofar,solar,5
90,a1c,arc,5
91,convinent,continent,5
92,tge,the,5
93,rxs,res,5
94,pcm,pum,5
95,responce,response,5
96,ofc,of,5
97,recieved,received,5
98,informitive,informative,5
99,excela,excel,5
100,assoc,also,5
101,accesible,accessible,5
102,intouch,touch,5
103,th,the,5
104,hv,he,5
105,hcp,hop,5
106,idk,ink,5
107,physicans,physicians,4
108,tp,to,4
109,plz,ply,4
110,followmy,followme,4
111,peazy,peasy,4
112,exelente,excelent,4
113,hipaa,hip,4
114,langone,anyone,4
115,wth,with,4
116,freindly,friendly,4
117,hc,he,4
118,reaults,results,4
119,rasy,easy,4
120,gw,go,4
121,appp,app,4
122,allscripts,allscripts,4
123,imformation,information,4
124,ggc,ggo,4
125,pts,its,4
126,cvs,cos,4
127,ux,up,4
128,aa,a,4
129,mt,it,4
130,dx,do,4
131,jcmg,jump,4
132,refils,refill,4
133,acurate,accurate,4
134,hr,he,4
135,heslth,health,4
136,kitkat,kita,4
137,exelent,excelent,4
138,hippa,hippy,4
139,kerp,keep,4
140,pm,am,4
141,manuever,maneuver,4
142,experiance,experience,3
143,appnts,pants,3
144,hiw,how,3
145,lgbt,lgby,3
146,infornation,information,3
147,messeges,messages,3
148,curtious,curious,3
149,efficent,efficient,3
150,facey,face,3
151,usless,unless,3
152,refil,refill,3
153,expedites,expedite,3
154,jpg,jog,3
155,uninstaller,installer,3
156,lbs,labs,3
157,davita,davits,3
158,uhs,us,3
159,practioner,practitioner,3
160,recieving,receiving,3
161,dc,do,3
162,imformed,informed,3
163,thr,the,3
164,dickerson,dickinson,3
165,walgreen,walgreens,3
166,pdfs,pass,3
167,obgyn,obey,3
168,nysw,now,3
169,ps,is,3
170,fyh,fy,3
171,essy,easy,3
172,txt,text,3
173,physican,physical,3
174,apointment,appointment,3
175,goid,good,3
176,veey,very,3
177,wasy,was,3
178,rns,runs,3
179,pcps,pops,3
180,motorola,motorola,3
181,crnp,crap,3
182,appoitments,appointments,3
183,convienence,convenience,3
184,crapp,crap,3
185,grt,get,3
186,uab,lab,3
187,appoiments,appointments,3
188,vitials,vitals,3
189,tn,to,3
190,timesaver,lifesaver,3
191,accesd,access,3
192,prohealth,prohealth,3
193,helful,helpful,3
194,thst,that,3
195,providor,provider,3
196,medline,midline,3
197,avaliable,available,3
198,healow,hellow,3
199,friendy,friend,3
200,ts,to,3
201,veiw,view,3
202,unsubscribed,subscribed,3
203,pmd,pod,3
204,tbi,fbi,3
205,sandhills,sandhill,3
206,ohone,phone,3
207,useage,usage,3
208,ng,no,3
209,mefical,medical,3
210,nps,ups,3
211,savy,say,3
212,nc,no,2
213,hsve,have,2
214,funtions,functions,2
215,appmts,apples,2
216,benifits,benefits,2
217,usfull,usefull,2
218,condtions,conditions,2
219,conveniant,convenient,2
220,aop,top,2
221,aggrevating,aggravating,2
222,amt,at,2
223,holston,houston,2
224,sr,so,2
225,utmb,bomb,2
226,communicte,communicate,2
227,xx,ex,2
228,hmmmm,hammy,2
229,fp,up,2
230,humbert,hubert,2
231,accesing,accusing,2
232,fustrating,frustrating,2
233,aggrivating,aggravating,2
234,inactivated,activated,2
235,sherrill,shrill,2
236,explanitory,explanatory,2
237,upmc,upma,2
238,cigna,cinna,2
239,thete,there,2
240,guick,quick,2
241,recive,receive,2
242,medicsl,medical,2
243,benifit,benefit,2
244,wld,old,2
245,aaaa,laaa,2
246,awesone,awesome,2
247,rs,is,2
248,easliy,easily,2
249,replys,reply,2
250,ovs,ops,2
251,avalible,availible,2
252,stealy,steal,2
253,geeat,great,2
254,reccommend,recommend,2
255,wellmont,belmont,2
256,informable,informal,2
257,appointmets,appointments,2
258,occured,occurred,2
259,hp,he,2
260,practioners,practitioners,2
261,lookups,hookups,2
262,informaton,information,2
263,freat,great,2
264,wrk,work,2
265,haq,had,2
266,physcians,physicians,2
267,vists,visits,2
268,hastle,castle,2
269,conveniet,convenient,2
270,latrobe,latrine,2
271,somtimes,sometimes,2
272,symthom,symptom,2
273,hepful,helpful,2
274,withings,withing,2
275,phr,per,2
276,truley,truly,2
277,gt,it,2
278,proplems,problems,2
279,grwat,great,2
280,abilty,ability,2
281,ables,able,2
282,refferals,referrals,2
283,suprisingly,surprisingly,2
284,abke,able,2
285,sble,able,2
286,easly,easy,2
287,allina,alina,2
288,appointnents,appointments,2
289,mg,my,2
290,pinehurst,pankhurst,2
291,uodated,updated,2
292,gd,go,2
293,manover,hanover,2
294,tweeking,tweeting,2
295,heathcare,healthcare,2
296,hma,ha,2
297,autofill,autofill,2
298,formated,formatted,2
299,accesss,access,2
300,eaiser,easier,2
301,veery,very,2
302,onfo,onto,2
303,acsess,access,2
304,zernichs,zernichs,2
305,resuts,results,2
306,iys,is,2
307,testings,testing,2
308,evansville,evansville,2
309,frendly,friendly,2
310,knw,know,2
311,cancelations,cancellations,2
312,informaci,informant,2
313,condions,conditions,2
314,docror,doctor,2
315,imo,limo,2
316,yse,use,2
317,conected,connected,2
318,medicial,medical,2
319,iformation,information,2
320,cbc,abc,2
321,intuative,intuitive,2
322,mefications,medications,2
323,grrrrreat,grrrrreat,2
324,inputing,inputting,2
325,kentuckyone,kentuckyone,2
326,parisi,parish,2
327,sakdc,said,2
328,overal,overall,2
329,greay,great,2
330,exedra,extra,2
331,aweaome,awesome,2
332,presciptions,prescriptions,2
333,dotor,door,2
334,extreamly,extremly,2
335,tco,to,2
336,gteat,great,2
337,greatfull,greatful,2
338,tennova,tennova,2
339,nagivate,navigate,2
340,coomunicate,communicate,2
341,unpresidented,unprecedented,2
342,deleat,defeat,2
343,imho,miho,2
344,fr,for,2
345,vora,fora,2
346,reveiw,review,2
347,cts,its,2
348,htc,etc,2
349,copay,copy,2
350,fhc,fhe,2
351,exrays,exams,2
352,telemedicine,telemedicine,2
353,rt,it,2
354,cchc,echo,2
355,recents,recent,2
356,uptodate,update,2
357,peezy,peepy,2
358,heatlh,health,2
359,csn,can,2
360,bussler,butler,2
361,evisit,visit,2
362,unsubscribe,subscribe,2
363,tyvm,tym,2
364,myfitnesspal,myfitnesspal,2
365,ph,oh,2
366,playstore,playstore,2
367,fnp,fop,2
368,esay,say,2
369,ft,it,2
370,mrs,mars,2
371,healrh,health,2
372,gwt,get,2
373,apots,spots,2
374,hendrick,hendricks,2
375,btw,bow,2
376,ths,the,2
377,hany,any,2
378,tht,the,2
379,mngmnt,mngmnt,2
380,verbage,verbiage,2
381,btwn,been,2
382,pih,pig,2
383,paticent,patient,2
384,saechin,sachin,2
385,veru,very,2
386,ahhh,ahah,2
387,wut,but,2
388,kellie,ellie,2
389,oic,oil,2
390,teack,teach,2
391,aok,ask,2
392,ccmh,come,2
393,assesible,assemble,2
394,indepth,depth,2
395,appis,apps,2
396,timr,time,2
397,afternoon,afternoon,2
398,grrrrr,grrrrr,2
399,ormc,orc,2
400,contantly,constantly,2
401,kerps,keeps,2
402,abq,abs,2
403,tv,to,2
404,himot,himto,2
405,manuvere,maneuver,2
406,userid,used,2
407,metrohealth,metrohealth,2
408,followmyheart,followmyheart,2
409,unintuitive,intuitive,2
410,nt,it,2
411,quck,fuck,1
412,goob,good,1
413,emais,email,1
414,sumit,suit,1
415,sansung,sensing,1
416,lolipop,lollipop,1
417,meical,medical,1
418,flowe,flower,1
419,mnts,ants,1
420,verru,verry,1
421,atmyoon,atmyoon,1
422,managible,tangible,1
423,amazballs,amazballs,1
424,effectivel,effective,1
425,mk,my,1
426,showseverythinh,showseverythinh,1
427,bankskylightvisa,bankskylightvisa,1
428,qty,ty,1
429,amezon,amazon,1
430,organations,organizations,1
431,tegarding,regarding,1
432,crappa,crappy,1
433,unistall,uninstall,1
434,hyperscrutiny,hyperscrutiny,1
435,oauth,oath,1
436,compatable,compatible,1
437,bailes,bailed,1
438,usmd,used,1
439,hiipa,hip,1
440,tems,terms,1
441,dl,do,1
442,conditoons,conditions,1
443,basicially,basically,1
444,greensboro,queensboro,1
445,shareable,saleable,1
446,dph,dah,1
447,grwt,grit,1
448,updatong,updating,1
449,downloadong,downloading,1
450,cofirmation,confirmation,1
451,unistalled,installed,1
452,conveniate,conversate,1
453,jetson,jetsons,1
454,pratices,practices,1
455,waaaaaay,waaaay,1
456,phycians,phocians,1
457,mistep,mister,1
458,disappontment,disappointment,1
459,kode,code,1
460,spamware,spyware,1
461,alsofind,alsofind,1
462,presc,press,1
463,spams,slams,1
464,tmc,tac,1
465,mybdr,cyber,1
466,blep,blew,1
467,phonegap,phonegap,1
468,explaintion,explaination,1
469,thhink,think,1
470,dload,load,1
471,inundates,inundated,1
472,corresonding,corresponding,1
473,aquestion,question,1
474,ihealth,health,1
475,brail,brain,1
476,requset,request,1
477,ihc,ich,1
478,weightt,weight,1
479,alwats,always,1
480,representives,representatives,1
481,athis,this,1
482,southcoast,southeast,1
483,healcare,healthcare,1
484,bygs,bags,1
485,hosputal,hospital,1
486,grrrrrreat,grrrrrreat,1
487,collogan,collagen,1
488,onr,on,1
489,lij,lie,1
490,heathwell,heathwell,1
491,gastrolgy,astrology,1
492,steuggle,struggle,1
493,lte,let,1
494,travking,tracking,1
495,medicalrecords,medicalrecords,1
496,megsmom,mesmo,1
497,woupd,would,1
498,tmobile,mobile,1
499,referal,referral,1
500,messagers,messages,1
501,preauthorization,preauthorization,1
502,professionism,professionalism,1
503,reporta,report,1
504,linkable,likable,1
505,creef,creep,1
506,alergies,allergies,1
507,sighned,signed,1
508,haveaccess,haveaccess,1
509,absoluetly,absolutely,1
510,existant,existent,1
511,remibder,reminder,1
512,southlake,southland,1
513,nolasco,nolasco,1
514,sim0le,simple,1
515,pwills,pills,1
516,vheck,check,1
517,pisssy,pissy,1
518,bewteen,between,1
519,borrago,barrage,1
520,dambach,sameach,1
521,worrks,works,1
522,hospitial,hospital,1
523,everytine,everytime,1
524,mypersonalhealth,mypersonalhealth,1
525,absuloutly,absolutly,1
526,usps,uses,1
527,pful,paul,1
528,mymedical,medical,1
529,comnunicating,communicating,1
530,n8ce,nice,1
531,callander,callender,1
532,susposed,supposed,1
533,wishi,wish,1
534,anywho,anywhe,1
535,diag,dig,1
536,barthare,carthage,1
537,downlowdeed,downloaded,1
538,swich,switch,1
539,qith,with,1
540,hfm,him,1
541,cuurent,current,1
542,postes,posted,1
543,conviency,convince,1
544,prn,pin,1
545,conveni,convent,1
546,kortje,forthe,1
547,wuick,quick,1
548,appointmdnts,appointments,1
549,acccess,access,1
550,avaable,available,1
551,pictues,pictures,1
552,srs,sis,1
553,tets,gets,1
554,betweem,between,1
555,terriffic,terrific,1
556,becuz,becoz,1
557,mybeaumontchart,mybeaumontchart,1
558,waitvtill,waittill,1
559,accoubt,account,1
560,gbuahn,guan,1
561,therebis,thereis,1
562,aic,air,1
563,nephritis,nephritis,1
564,greatfor,greater,1
565,adsress,address,1
566,updatebranch,updatebranch,1
567,arano,ayano,1
568,tryn,try,1
569,thereme,therese,1
570,fascile,facile,1
571,the5th,teeth,1
572,gso,so,1
573,nformation,information,1
574,messagibg,messaging,1
575,eayer,eager,1
576,appoiintments,appointments,1
577,helpfuk,helpful,1
578,frkm,from,1
579,lastpass,lastpass,1
580,ppc,pic,1
581,seriuosly,seriously,1
582,mistyping,mistaking,1
583,assecess,assess,1
584,everrrrrr,everrrrrr,1
585,nvr,nor,1
586,wtf,wif,1
587,andriod,android,1
588,fallowmyhealth,fallowmyhealth,1
589,html,himl,1
590,pertinant,pertinent,1
591,uoi,oi,1
592,nevigate,navigate,1
593,sometumes,sometimes,1
594,eirh,wirh,1
595,custooers,customers,1
596,respinds,responds,1
597,reponding,responding,1
598,holzer,holler,1
599,grreat,great,1
600,webmd,we'd,1
601,anotations,notations,1
602,bergg,berg,1
603,hotlinks,hotlines,1
604,explanstions,explanations,1
605,xoom,room,1
606,cannoy,cannot,1
607,nices,nice,1
608,hopital,hospital,1
609,mtg,mug,1
610,progrmg,program,1
611,informatio,information,1
612,keepinterrific,keepinterrific,1
613,issies,issues,1
614,teset,test,1
615,caremore,ardmore,1
616,buggiest,buggies,1
617,accutate,accurate,1
618,ptevious,previous,1
619,pesonal,personal,1
620,oppointments,appointments,1
621,ffice,office,1
622,emrs,ears,1
623,trogan,trojan,1
624,paulsen,paulson,1
625,homescreen,homescreen,1
626,doactor,doctor,1
627,husbsnds,husbands,1
628,friendlyand,friendlyand,1
629,trajedy,tragedy,1
630,kp,up,1
631,thxs,this,1
632,permiission,permission,1
633,explainnation,explaination,1
634,aviliable,available,1
635,keepd,keep,1
636,usuful,useful,1
637,workingwell,workingwell,1
638,convenien,convenient,1
639,yrself,yerself,1
640,fogether,together,1
641,daggubati,daggubati,1
642,tgive,give,1
643,kalafut,kalau,1
644,tors,torn,1
645,rqst,rest,1
646,parient,patient,1
647,cavuoti,cavuoti,1
648,aat,at,1
649,bmc,bac,1
650,practicioners,practitioners,1
651,geeze,geese,1
652,pther,other,1
653,rennew,renew,1
654,remembeers,remembers,1
655,vfm,vim,1
656,tlc,tac,1
657,docume,document,1
658,immidatly,immediatly,1
659,fcs,fas,1
660,qm,am,1
661,pthis,this,1
662,undeletable,undetectable,1
663,vg,ve,1
664,yiyou,yyou,1
665,osu,ou,1
666,affgord,afford,1
667,tls,tis,1
668,inboxes,boxes,1
669,convientant,convientant,1
670,misy,miss,1
671,evernote,everyone,1
672,thisapp,thisa,1
673,othet,other,1
674,medapp,medal,1
675,fongertips,fingertips,1
676,cn,in,1
677,stabile,stable,1
678,frm,from,1
679,pgs,pigs,1
680,ubber,rubber,1
681,forementioned,aforementioned,1
682,issuses,issues,1
683,hd,he,1
684,medicications,medications,1
685,gf,of,1
686,keepass,keeps,1
687,phyican,physical,1
688,discribe,describe,1
689,consrant,constant,1
690,munge,lunge,1
691,docotor,doctor,1
692,uhc,uh,1
693,derful,fearful,1
694,dependalbe,dependable,1
695,stufff,stuff,1
696,mtree,tree,1
697,appys,apps,1
698,cjsmhrd,cjsmhrd,1
699,connectio,connection,1
700,helath,health,1
701,dignosis,diagnosis,1
702,mph,mah,1
703,bb,be,1
704,verificatiion,verification,1
705,marsheh,marshes,1
706,shyt,shut,1
707,daffern,differ,1
708,pediotritist,pediotritist,1
709,razr,razor,1
710,mskes,makes,1
711,waykewl,waykewl,1
712,vist,visit,1
713,thnx,thne,1
714,pkease,please,1
715,hibdered,hindered,1
716,promts,prompts,1
717,bv,be,1
718,mynhealth,mynhealth,1
719,viorsoin,viorsoin,1
720,thks,this,1
721,imidiatly,immediatly,1
722,uninstalledand,uninstalledand,1
723,adrress,address,1
724,walkthru,walkthru,1
725,keepng,keeping,1
726,respone,response,1
727,iafter,after,1
728,fute,cute,1
729,unuser,unused,1
730,createing,creating,1
731,sutliff,stiff,1
732,foctirs,doctors,1
733,chk,chi,1
734,novant,novanta,1
735,adulti,adult,1
736,igning,signing,1
737,zte,ate,1
738,odom,doom,1
739,sk,so,1
740,icd,ice,1
741,rhit,hit,1
742,mwith,with,1
743,arnp,arn,1
744,fc,fu,1
745,relog,recog,1
746,vistitation,visitation,1
747,icant,cant,1
748,razrm,warm,1
749,encorporated,incorporated,1
750,suppliments,supplements,1
751,excellente,excellent,1
