,Word,Posed Correction,Frequency
0,ios,is,49
1,dr,do,18
2,appt,app,12
3,drs,dry,8
4,appts,apps,6
5,pdf,edf,4
6,immunizations,immunization,4
7,scottsdale,,3
8,thru,thou,3
9,mr,my,3
10,cc,ca,3
11,covid,couid,3
12,usability,ability,3
13,reinstalling,installing,3
14,jacksonville,,3
15,signin,signing,2
16,th,the,2
17,viewable,viable,2
18,echeckin,checking,2
19,applepay,,2
20,ps,is,2
21,calzadilla,,2
22,mrs,mars,2
23,bc,be,2
24,rx,re,2
25,md,my,2
26,rateing,rating,1
27,yourselves,ourselves,1
28,wharen,when,1
29,ll,all,1
30,hieb,hier,1
31,torkelson,,1
32,vut,but,1
33,landolfo,,1
34,sw,so,1
35,kisley,killed,1
36,hipaa,hip,1
37,llc,lac,1
38,ms,is,1
39,rj,re,1
40,doesnt,doesn't,1
41,recieptant,,1
42,evernote,everyone,1
43,louisethegreat,,1
44,cpr,car,1
45,txgal4evr,,1
46,compatable,compatible,1
47,arghhh,argh,1
48,logout,lookout,1
49,rds,ads,1
50,iirc,girl,1
51,offixing,affixing,1
52,ecommerce,commerce,1
53,mayoclinic,,1
54,customization,,1
55,cantees,canteen,1
56,iliuukokoo,,1
57,mk,my,1
58,logins,loins,1
59,qr,or,1
60,ckeller,keller,1
61,kahline,saline,1
62,tempe,temple,1
63,pl,pal,1
64,repots,reports,1
65,functionalities,,1
66,appoiments,appointments,1
67,usefull,useful,1
68,ezine,eine,1
69,fourtian,fountain,1
70,pt,it,1
71,pc,pa,1
72,pleasent,pleasant,1
73,outstand,outstayed,1
74,fl,fly,1
75,faqs,fans,1
76,gp,go,1
77,mc,my,1
78,insurnace,insurance,1
79,differnet,different,1
80,recieved,received,1
81,insuance,insurance,1
82,helloooooo,,1
83,ks,is,1
84,staffber,staffer,1
85,appstore,,1
86,overpayment,,1
87,amt,at,1
88,telemedicine,,1
89,gfr,gor,1
90,xl,al,1
91,neuroendocrine,,1
92,jmo,mo,1
93,newsfeed,newsreel,1
94,mps,maps,1
95,durning,during,1
96,cm,am,1
97,accupuncture,acupuncture,1
98,ashstanga,,1
99,medscape,escape,1
100,mpls,mils,1
101,minn,mind,1
102,sd,so,1
103,nd,and,1
104,aau,au,1
105,blackmon,blacken,1
106,teamm,team,1
107,warsing,warning,1
108,ct,it,1
109,devs,des,1
110,baidry,badly,1
111,microsoft,microdot,1
112,cashflow,,1
113,deletions,deletion,1
114,amati,math,1
115,eliquis,liquid,1
116,ditazelem,,1
117,holter,hotter,1
118,retrying,trying,1
119,iatrogenic,pathogenic,1
120,browsers,browser,1
121,brenna,brenda,1
122,cordell,cornell,1
123,brainer,trainer,1
124,lauralee,,1
125,mankato,mandate,1
126,ux,up,1
127,assessable,,1
128,emh,eh,1
129,bk,be,1
130,toggling,goggling,1
131,uninstalling,installing,1
132,mfa,ma,1
133,jk,ok,1
134,corse,course,1
135,cinxwb,,1
136,mris,iris,1
137,lx,la,1
138,hc,he,1
139,plaisted,plaited,1
140,infomertials,infomercials,1
141,pehl,peel,1
142,distractive,destructive,1
143,slooow,slow,1
144,tv,to,1
145,esrlier,earlier,1
146,schedulr,schedule,1
147,cologuard,,1
148,daibetes,diabetes,1
149,checkbox,checkbook,1
150,mychart,chart,1
151,st,it,1
152,cirrent,current,1
153,hotmail,hobnail,1
