,Word,Posed Correction,Frequency
0,dr,do,59
1,uninstall,install,18
2,uninstalled,installed,16
3,appts,apps,13
4,appt,app,11
5,everytime,overtime,10
6,uninstalling,installing,10
7,samsung,sassing,9
8,drs,dry,8
9,reinstalling,installing,7
10,fl,fly,6
11,nan,can,6
12,xrays,rays,5
13,pc,pa,5
14,mychart,chart,4
15,thru,thou,4
16,rx,re,4
17,ui,i,3
18,xxx,six,3
19,covid,couid,3
20,grrr,girl,3
21,precheck,recheck,3
22,youre,your,3
23,idk,ink,3
24,pw,pa,3
25,logout,lookout,3
26,doesnt,doesn't,3
27,jacksonville,,3
28,vs,is,3
29,alot,lot,3
30,gg,go,2
31,atena,arena,2
32,marsha,marshal,2
33,profesional,professional,2
34,mn,in,2
35,signup,sign,2
36,bc,be,2
37,hippa,hippy,2
38,ect,eat,2
39,md,my,2
40,mc,my,2
41,helpfull,helpful,2
42,pauling,hauling,2
43,mm,my,2
44,usability,ability,2
45,bariatric,barbaric,2
46,questionaire,questionnaire,2
47,truely,truly,2
48,mxxx,mix,2
49,rn,in,2
50,mayoclinic,,2
51,reguarly,regularly,1
52,begore,before,1
53,parkview,preview,1
54,bexause,because,1
55,tghe,the,1
56,goodburn,,1
57,pcp,pop,1
58,sincerrally,,1
59,exellent,excellent,1
60,educative,education,1
61,muxh,much,1
62,recieve,receive,1
63,okelokale,,1
64,mcjax,max,1
65,withy,with,1
66,litttty,litttle,1
67,fyi,fbi,1
68,ct,it,1
69,musallem,,1
70,mcmobile,mobile,1
71,sw,so,1
72,aug,bug,1
73,motorola,,1
74,razr,razor,1
75,maxx,max,1
76,godam,goddam,1
77,fustrating,frustrating,1
78,olauson,larson,1
79,laggy,baggy,1
80,frikin,frickin,1
81,aco,act,1
82,inr,in,1
83,nect,next,1
84,wich,with,1
85,doesnot,doesn't,1
86,polishment,punishment,1
87,uninsulated,insulated,1
88,convinient,convenient,1
89,awsome,awesome,1
90,bck,back,1
91,mizoram,,1
92,pdf,edf,1
93,loooove,,1
94,infornation,information,1
95,navogate,navigate,1
96,ither,other,1
97,downunder,,1
98,halcion,halcyon,1
