,Word,Posed Correction,Frequency
0,mychart,chart,2173
1,dr,do,713
2,covid,couid,472
3,appt,app,190
4,appts,apps,140
5,drs,dry,109
6,cvs,cos,63
7,pdf,edf,49
8,qr,or,46
9,ochsner,ocher,45
10,rx,re,45
11,healthkit,healthkit,38
12,md,my,37
13,st,it,33
14,pc,pa,28
15,telehealth,telehealth,27
16,pcp,pop,24
17,msg,mug,23
18,touchid,touched,22
19,ux,up,22
20,ucsf,ucs,22
21,rn,in,20
22,bp,be,20
23,faceid,faced,19
24,ssm,sum,18
25,vs,is,18
26,ms,is,17
27,mda,mad,17
28,pt,it,17
29,bc,be,16
30,ct,it,15
31,prisma,prima,15
32,usability,ability,14
33,uninstalled,installed,13
34,hipaa,hip,13
35,inova,nova,12
36,echeck,check,12
37,pacmed,packed,12
38,emr,ear,12
39,copay,copy,11
40,hippa,hippy,11
41,pw,pa,11
42,oschner,hotchner,11
43,wvu,vu,10
44,np,no,10
45,deaconess,deafness,10
46,mycharts,charts,10
47,apts,acts,10
48,myhealth,health,10
49,cc,ca,10
50,uninstalling,installing,10
51,langone,anyone,9
52,snd,and,9
53,followmyhealth,followmyhealth,9
54,ehr,her,9
55,excelente,excelent,9
56,mr,my,9
57,loyola,loyal,9
58,novant,novanta,9
59,geisinger,geisinger,9
60,wellstar,wellstar,8
61,ohsu,otsu,8
62,pm,am,8
63,pcr,per,8
64,osf,of,8
65,mrs,mars,8
66,btw,bow,8
67,overlake,overtake,8
68,healow,hellow,7
69,gbmc,game,7
70,carle,care,7
71,scripps,scripts,7
72,th,the,7
73,froedtert,froedtert,7
74,applepay,appleby,7
75,msgs,mugs,7
76,uva,una,7
77,cbc,abc,7
78,autofill,autofill,7
79,pdfs,pass,6
80,wth,with,6
81,osu,ou,6
82,bjc,bac,6
83,lcmc,lame,6
84,seybold,reybold,6
85,vax,van,6
86,gp,go,6
87,nyc,ny,6
88,sentara,sentry,6
89,telemedicine,telemedicine,6
90,montefiore,montefiore,6
91,trihealth,trihealth,6
92,parkview,preview,6
93,hoag,hog,6
94,ochin,chin,6
95,utsw,utw,6
96,afternoon,afternoon,6
97,echeckin,checkin,5
98,chn,can,5
99,coronavirus,coronavirus,5
100,copays,cops,5
101,ps,is,5
102,integris,integrity,5
103,vcu,vou,5
104,shands,hands,5
105,optum,opium,5
106,hsa,has,5
107,thx,the,5
108,healtheast,healthiest,5
109,utmb,bomb,5
110,opps,pops,5
111,upmc,upma,5
112,puyallup,puyallup,5
113,iwatch,watch,5
114,vpn,van,5
115,afterwards,afterwards,5
116,licensor,license,5
117,atrius,atrium,5
118,prohealth,prohealth,5
119,labcorp,labor,5
120,pls,plus,5
121,xrays,rays,5
122,skagit,skit,5
123,pipan,pipa,5
124,plz,ply,5
125,wbc,abc,4
126,essentia,essential,4
127,otc,ot,4
128,gw,go,4
129,moderna,modern,4
130,dh,do,4
131,clickable,lickable,4
132,mychat,chat,4
133,secours,scours,4
134,grrr,errr,4
135,mn,in,4
136,musc,must,4
137,retries,retires,4
138,sms,sums,4
139,mycart,rycart,4
140,polyclinic,polyclinic,4
141,customization,customization,4
142,uhs,us,4
143,mygeisinger,mygeisinger,4
144,wakemed,wakened,4
145,ynhh,yeah,4
146,pts,its,4
147,mychartplus,mychartplus,4
148,a1c,arc,4
149,hrs,his,4
150,virtua,virtual,4
151,checkins,checking,4
152,aftercare,aftercare,4
153,hr,he,4
154,faq,far,4
155,rd,red,4
156,cdc,cac,4
157,mho,who,4
158,mt,it,4
159,nd,and,4
160,fsa,sa,4
161,aplicaci,aplicaci,3
162,peacehealth,peacehealth,3
163,ihealth,health,3
164,ucsd,usd,3
165,conley,convey,3
166,jr,or,3
167,xr,or,3
168,eob,job,3
169,tmc,tac,3
170,evisits,visits,3
171,appstore,appstore,3
172,weill,will,3
173,redownloaded,downloaded,3
174,personalization,depersonalization,3
175,thedacare,thedacare,3
176,bassett,basset,3
177,flowsheets,flowsheets,3
178,shareable,saleable,3
179,mybassett,mybassett,3
180,mycarle,mycar,3
181,homekit,hopeit,3
182,imho,miho,3
183,umd,mud,3
184,straub,stab,3
185,lpn,lan,3
186,gcal,goal,3
187,misgendered,cisgendered,3
188,arnp,arn,3
189,redownload,download,3
190,obgyn,obey,3
191,nc,no,3
192,ppl,pal,3
193,hipa,hip,3
194,sheehan,sheen,3
195,evisit,visit,3
196,idk,ink,3
197,wv,we,3
198,perscription,prescription,3
199,spartanburg,spartanburg,3
200,precheck,recheck,3
201,unvaccinated,vaccinated,3
202,preregistration,preregistration,3
203,uhealth,health,3
204,emrs,ears,3
205,aspirus,aspires,3
206,acess,access,3
207,sw,so,3
208,layne,lane,3
209,ecare,care,3
210,bosque,mosque,3
211,myhealthevet,myhealthevet,3
212,dumc,dumb,3
213,mammo,ammo,3
214,sc,so,3
215,afterward,afterward,3
216,mydh,myth,3
217,mycare,mycar,3
218,mb,my,3
219,sch,such,2
220,airprint,imprint,2
221,mdanderson,anderson,2
222,mylaheychart,mylaheychart,2
223,intergration,integration,2
