,Word,Posed Correction,Frequency
0,mychart,chart,1880
1,dr,do,1668
2,appts,apps,395
3,covid,couid,380
4,appt,app,326
5,drs,dry,278
6,uninstalled,installed,197
7,pcp,pop,121
8,samsung,sassing,90
9,cvs,cos,85
10,uninstalling,installing,80
11,pc,pa,68
12,rx,re,67
13,pdf,edf,51
14,st,it,47
15,md,my,46
16,msg,mug,43
17,pw,pa,31
18,echeck,check,30
19,hrs,his,29
20,acct,act,28
21,ct,it,27
22,sd,so,27
23,msgs,mugs,27
24,apts,acts,26
25,hippa,hippy,26
26,helpfull,helpful,25
27,bs,is,25
28,novant,novanta,24
29,xrays,rays,24
30,bc,be,22
31,telehealth,telehealth,22
32,recieve,receive,22
33,copay,copy,21
34,eula,ella,21
35,qr,or,20
36,idk,ink,19
37,chromebook,chromebook,18
38,lg,la,16
39,htc,etc,15
40,vs,is,15
41,osf,of,15
42,myhealth,health,15
43,upmc,upma,15
44,ppl,pal,15
45,gp,go,13
46,geisinger,geisinger,13
47,apointments,appointments,13
48,vax,van,13
49,bp,be,13
50,ucsf,ucs,13
51,mycharts,charts,13
52,utmb,bomb,12
53,smh,suh,12
54,convience,convince,12
55,obgyn,obey,12
56,ssm,sum,12
57,plz,ply,11
58,recieved,received,11
59,multicare,multipart,11
60,ochsner,ocher,11
61,thx,the,10
62,hr,he,10
63,sentara,sentry,10
64,rn,in,10
65,captcha,catch,10
66,excelente,excelent,9
67,echeckin,checkin,9
68,usability,ability,9
69,dha,ha,9
70,followmyhealth,followmyhealth,9
71,occured,occurred,8
72,prohealth,prohealth,8
73,nd,and,8
74,pls,plus,8
75,convienent,convenient,8
76,perscription,prescription,8
77,ux,up,8
78,tx,to,8
79,excellant,excellent,8
80,telemedicine,telemedicine,8
81,montefiore,montefiore,8
82,ms,is,8
83,acess,access,8
84,utsw,utw,8
85,mr,my,8
86,afternoon,afternoon,8
87,redownload,download,8
88,uclh,uch,8
89,musc,must,7
90,precheck,recheck,7
91,ccf,caf,7
92,parkview,preview,7
93,christus,christ's,7
94,ll,all,7
95,ps,is,7
96,perscriptions,prescriptions,7
97,carilion,carillon,7
98,copays,cops,7
99,cc,ca,7
100,ss,is,7
101,reccomend,recomend,7
102,appoinments,appointments,7
103,gps,gas,7
104,bjc,bac,7
105,hoag,hog,7
106,afterwards,afterwards,7
107,pt,it,7
108,ck,ok,7
109,vist,visit,7
110,wth,with,6
111,grrr,errr,6
112,ehr,her,6
113,wellstar,wellstar,6
114,peacehealth,peacehealth,6
115,allina,alina,6
116,osu,ou,6
117,btw,bow,6
118,responce,response,6
119,permanente,permanent,6
120,pm,am,6
121,lte,let,6
122,nhs,nos,6
123,oshner,other,6
124,unistalled,installed,6
125,intouch,touch,6
126,froedert,freder,6
127,customization,customization,6
128,autofill,autofill,6
129,telemed,teemed,6
130,hipaa,hip,6
131,sr,so,6
132,virtua,virtual,6
133,signin,signing,6
134,essentia,essential,6
135,promedica,promedica,5
136,ecare,care,5
137,th,the,5
138,pcps,pops,5
139,sms,sums,5
140,prisma,prima,5
141,convienient,convenient,5
142,veiw,view,5
143,exelent,excelent,5
144,vcu,vou,5
145,lt,it,5
146,navagate,navigate,5
147,a1c,arc,5
148,messeges,messages,5
149,accts,acts,5
150,myceenta,myceenta,5
151,healow,hellow,5
152,motorola,motorola,5
153,mb,my,5
154,hmmm,ummm,5
155,playstore,playstore,5
156,nm,no,5
157,exellent,excellent,5
158,anmed,named,5
159,ts,to,5
160,ssn,son,5
161,mycare,mycar,5
162,uninstaller,installer,5
163,uhs,us,5
164,mygeisinger,mygeisinger,5
165,vpn,van,5
166,emr,ear,5
167,nyc,ny,5
168,nt,it,5
169,appontments,appointments,4
170,nc,no,4
171,savy,say,4
172,scripps,scripts,4
173,ucsd,usd,4
174,apointment,appointment,4
175,tbi,fbi,4
176,lastpass,lastpass,4
177,mychat,chat,4
178,snd,and,4
179,lakeridge,lakeside,4
180,shands,hands,4
181,auth,auto,4
182,grest,great,4
183,frustating,frustrating,4
184,unistall,uninstall,4
185,hassel,hassle,4
186,rxs,res,4
187,umass,mass,4
188,timesaver,lifesaver,4
189,secours,scours,4
190,todate,toate,4
191,ch,oh,4
192,prmc,pric,4
193,hmm,him,4
194,carle,care,4
195,frm,from,4
196,http,help,4
197,wvu,vu,4
198,xl,al,4
199,acount,count,4
200,spp,spy,4
201,inova,nova,4
202,appointmens,appointment,4
203,fsa,sa,3
204,gteat,great,3
205,idph,idea,3
206,scedule,schedule,3
207,rt,it,3
208,https,hates,3
209,careteam,careteam,3
210,univ,unit,3
211,tgh,ugh,3
212,uams,jams,3
213,overcomplicated,overcomplicate,3
214,hippaa,hippie,3
215,dosen,dozen,3
216,resalts,results,3
217,smdh,such,3
218,mds,meds,3
219,txt,text,3
220,convinent,continent,3
221,esy,easy,3
222,laggy,baggy,3
223,nolonger,longer,3
224,interoperability,interoperability,3
225,depts,depth,3
226,jpg,jog,3
227,yest,best,3
228,heathcare,healthcare,3
229,pdfs,pass,3
230,hsa,has,3
231,imo,limo,3
232,vists,visits,3
233,csn,can,3
234,checkins,checking,3
235,lmc,lac,3
236,mrs,mars,3
237,infro,info,3
238,meritus,merits,3
239,pwd,pod,3
240,mynm,myna,3
241,amt,at,3
242,cancell,cancel,3
243,usf,us,3
244,myscripps,myscripps,3
245,hd,he,3
246,tyvm,tym,3
247,recaptcha,recaptcha,3
248,userfriendly,overfriendly,3
249,s10e,she,3
250,otc,ot,3
251,ughh,ugh,3
252,dosnt,dont,3
253,lurie,lure,3
254,jps,ups,3
255,loggin,logging,3
256,exzam,exam,3
257,ceenta,cuenta,3
258,mylghealth,mylghealth,3
259,overlake,overtake,3
260,retrive,retrieve,3
261,mrn,man,3
262,gbmc,game,3
263,conveinent,convenient,3
264,ghc,the,3
265,practioners,practitioners,3
266,exelente,excelent,3
267,ohsu,otsu,3
268,adventist,adventists,3
269,holub,hold,3
270,grt,get,3
271,niw,now,3
272,recieving,receiving,3
273,linkable,likable,3
274,homescreen,homescreen,3
275,maryview,maryview,3
276,unintuitive,intuitive,3
277,dupage,damage,3
278,cdc,cac,3
279,np,no,3
280,evisit,visit,3
281,nch,inch,3
282,mt,it,3
283,imformative,informative,3
284,cs,is,3
285,cms,cos,3
286,hillcrest,hillcrest,3
287,mesages,messages,3
288,uofl,ofl,3
289,loging,losing,3
290,hhc,hoc,3
291,questionaire,questionnaire,3
292,thankx,thank,3
293,appointnents,appointments,3
294,pn,in,3
295,uofu,tofu,3
296,consice,convice,3
297,mcw,mow,3
298,hosptial,hospital,2
299,tgis,this,2
300,messges,messages,2
301,cp,up,2
302,phenominal,phenomenal,2
303,mdanderson,anderson,2
304,personell,personel,2
305,webapp,webrip,2
306,vacines,vaccines,2
307,uwhealth,health,2
308,imfo,info,2
309,vamc,vamp,2
310,manouver,maneuver,2
311,faq,far,2
312,unuseable,unusable,2
313,sinc,since,2
314,crapware,crapcake,2
315,fw,few,2
316,idc,id,2
317,aplicaci,aplicaci,2
318,tricare,triage,2
319,anthor,author,2
320,integris,integrity,2
321,grrrrr,grrrrr,2
322,recive,receive,2
323,labwork,labor,2
324,incompetently,incompetent,2
