,Word,Posed Correction,Frequency
0,healow,hellow,301
1,dr,do,219
2,appt,app,32
3,mychart,chart,31
4,healthkit,healthkit,29
5,drs,dry,25
6,appts,apps,17
7,ux,up,17
8,ecw,ew,15
9,usability,ability,14
10,rx,re,13
11,covid,couid,13
12,md,my,13
13,pc,pa,13
14,eclinicalworks,eclinicalworks,12
15,bp,be,10
16,hippa,hippy,10
17,iwatch,watch,10
18,unintuitive,intuitive,10
19,withings,withing,9
20,uninstalled,installed,9
21,xs,is,9
22,touchid,touched,8
23,telehealth,telehealth,7
24,msg,mug,7
25,pcp,pop,7
26,televisit,television,6
27,eclinical,clinical,6
28,garmin,armin,6
29,healo,hello,6
30,uninstalling,installing,6
31,bc,be,6
32,pw,pa,5
33,afternoon,afternoon,5
34,nokia,nakia,5
35,ms,is,5
36,eclinicalweb,eclinicalweb,4
37,userid,used,4
38,faceid,faced,4
39,snd,and,4
40,captcha,catch,4
41,emr,ear,4
42,pdf,edf,4
43,telemedicine,telemedicine,4
44,firefox,firebox,4
45,vs,is,4
46,onboarding,boarding,4
47,wth,with,4
48,bs,is,3
49,omron,moron,3
50,idk,ink,3
51,qr,or,3
52,pm,am,3
53,mr,my,3
54,uis,is,3
55,pls,plus,3
56,jga,ga,3
57,xr,or,3
58,esquivel,esquire,3
59,bmi,mi,3
60,imo,limo,3
61,rxs,res,3
62,tidelands,midlands,3
63,hrs,his,3
64,cvs,cos,3
65,televisits,television,3
66,kludgy,sludgy,2
67,signin,signing,2
68,sc,so,2
69,mds,meds,2
70,vaporware,vaporware,2
71,xxxx,xbox,2
72,redownloading,downloading,2
73,lastpass,lastpass,2
74,osx,ox,2
75,gp,go,2
76,robocallers,robocallers,2
77,cima,coma,2
78,clunkiest,luckiest,2
79,jailbroken,jailbroken,2
80,faq,far,2
81,smh,suh,2
82,ehr,her,2
83,lagrone,ladrone,2
84,quirino,quinine,2
85,imho,miho,2
86,ihealth,health,2
87,novant,novanta,2
88,accts,acts,2
89,hyphens,hyphen,2
90,hyperlinks,hyperlinks,2
91,readability,reliability,2
92,permanente,permanent,2
93,figueras,figures,2
94,msgs,mugs,2
95,plz,ply,2
96,macbook,facebook,2
97,ll,all,2
98,heallow,hallow,2
99,nicname,nickname,2
100,pdfs,pass,2
101,saribalas,saribalas,2
102,availabe,available,2
103,cwall,call,1
104,workflows,workflow,1
105,hyperlink,hyperbunk,1
106,hr,he,1
107,uninformative,informative,1
108,nemours,rumours,1
109,mccrashalot,mccrashalot,1
110,freida,frida,1
111,lemoyne,lemoine,1
112,kp,up,1
113,informaton,information,1
114,provie,prove,1
115,awefull,aweful,1
116,myfitnespal,myfitnespal,1
117,feauture,feature,1
118,quardio,cardio,1
119,crapp,crap,1
120,backspace,backstage,1
121,bfst,best,1
122,tweeking,tweeting,1
123,acct,act,1
124,covenient,convenient,1
125,thursdaynote,thursdaynote,1
126,aigi,aii,1
127,holliston,collision,1
128,malig,malign,1
129,wt,it,1
130,grewt,great,1
131,fhp,fhe,1
132,pucture,picture,1
133,pts,its,1
134,ughh,ugh,1
135,interoperabity,interoperabity,1
136,cathi,cathy,1
137,ps,is,1
138,intergrates,integrates,1
139,runkeeper,innkeeper,1
140,unuseable,unusable,1
141,unlabelled,unlabeled,1
142,estab,stab,1
143,nebh,neh,1
144,eclincalworks,eclincalworks,1
145,ccd,cod,1
146,phr,per,1
147,mesasages,messages,1
148,h2h,huh,1
149,cr,or,1
150,igslist,insist,1
151,grrrrr,grrrrr,1
152,gbmc,game,1
153,realllly,reallly,1
154,asjed,asked,1
155,capcha,catch,1
156,touchpoint,touchpoint,1
157,gynos,gyros,1
158,myhealth,health,1
159,reverifying,verifying,1
160,afdclinics,afdclinics,1
161,samudrala,samudrala,1
