,Word,Posed Correction,Frequency
0,dr,do,1642
1,healow,hellow,728
2,appt,app,307
3,appts,apps,266
4,drs,dry,172
5,uninstalled,installed,130
6,pcp,pop,96
7,covid,couid,94
8,samsung,sassing,86
9,mychart,chart,80
10,uninstalling,installing,70
11,pc,pa,61
12,rx,re,52
13,televisit,television,51
14,md,my,49
15,msg,mug,39
16,telehealth,telehealth,37
17,televisits,television,30
18,bs,is,25
19,pw,pa,23
20,ux,up,23
21,acct,act,21
22,apts,acts,21
23,telemedicine,telemedicine,19
24,bp,be,19
25,excelente,excelent,18
26,telemed,teemed,18
27,bc,be,18
28,helpfull,helpful,15
29,msgs,mugs,15
30,usability,ability,14
31,cvs,cos,13
32,lg,la,13
33,pdf,edf,13
34,vs,is,13
35,dosen,dozen,12
36,qr,or,12
37,unintuitive,intuitive,12
38,apointments,appointments,11
39,st,it,11
40,smh,suh,11
41,acess,access,10
42,pt,it,10
43,gp,go,10
44,excellant,excellent,10
45,garmin,armin,10
46,hippa,hippy,10
47,h2h,huh,10
48,idk,ink,10
49,hrs,his,9
50,recieve,receive,8
51,signin,signing,8
52,ms,is,8
53,convienient,convenient,8
54,th,the,7
55,labwork,labor,7
56,ll,all,7
57,hipaa,hip,7
58,ck,ok,7
59,hr,he,7
60,convience,convince,7
61,convienant,covenant,7
62,ecw,ew,7
63,exelent,excelent,7
64,helow,below,6
65,chromebook,chromebook,6
66,ct,it,6
67,unistalled,installed,6
68,htc,etc,6
69,thr,the,6
70,pincode,income,6
71,physican,physical,6
72,ppl,pal,6
73,txt,text,5
74,healo,hello,5
75,appoinments,appointments,5
76,ph,oh,5
77,recieved,received,5
78,sms,sums,5
79,intouch,touch,5
80,uninstaller,installer,5
81,eclinicalworks,eclinicalworks,5
82,imput,input,5
83,navagate,navigate,5
84,captcha,catch,5
85,sanitas,santas,5
86,perscriptions,prescriptions,5
87,phr,per,5
88,usless,unless,4
89,gps,gas,4
90,a1c,arc,4
91,tge,the,4
92,plz,ply,4
93,np,no,4
94,unuseable,unusable,4
95,chc,chi,4
96,refil,refill,4
97,lockscreen,lockscreen,4
98,vist,visit,4
99,mrs,mars,4
100,obgyn,obey,4
101,hc,he,4
102,nt,it,4
103,xl,al,4
104,xrays,rays,4
105,eclinical,clinical,4
106,coronavirus,coronavirus,4
107,otc,ot,4
108,vm,am,4
109,lt,it,4
110,lineageos,lineages,4
111,mg,my,4
112,bmi,mi,4
113,wth,with,4
114,convienent,convenient,4
115,fl,fly,4
116,ofc,of,4
117,auth,auto,4
118,faqs,fans,4
119,playstore,playstore,3
120,accts,acts,3
121,apointment,appointment,3
122,rxs,res,3
123,pwd,pod,3
124,compatable,compatible,3
125,privider,provider,3
126,gorgona,gorgon,3
127,swype,swipe,3
128,helful,helpful,3
129,dl,do,3
130,pls,plus,3
131,hcp,hop,3
132,ehr,her,3
133,conect,connect,3
134,redownloaded,downloaded,3
135,initally,initially,3
136,appoiments,appointments,3
137,lastpass,lastpass,3
138,btw,bow,3
139,hilo,hill,3
140,televist,televise,3
141,essy,easy,3
142,mt,it,3
143,manuever,maneuver,3
144,refils,refill,3
145,veiw,view,3
146,pm,am,3
147,thx,the,3
148,occured,occurred,3
149,copay,copy,3
150,thw,the,3
151,oneplus,onerous,3
152,healiw,health,3
153,friendy,friend,3
154,gd,go,3
155,reccomend,recomend,3
156,emr,ear,3
157,practioner,practitioner,3
158,obamacare,obamacare,3
159,sh,so,3
160,nd,and,3
161,imformative,informative,3
162,savy,say,3
163,afterwards,afterwards,3
164,unsubscribe,subscribe,3
165,conveinent,convenient,3
166,relog,recog,3
167,loging,losing,3
168,withings,withing,2
169,eclinic,clinic,2
170,dallor,pallor,2
171,cide,side,2
172,demopulois,demopulois,2
173,alsome,awsome,2
174,adena,arena,2
175,bd,be,2
176,dosnt,dont,2
177,intuituve,intuitive,2
178,userid,used,2
179,dt,it,2
180,careing,caring,2
181,uninformative,informative,2
182,conveniant,convenient,2
183,errored,error,2
184,mh,my,2
185,wt,it,2
186,medicene,medicine,2
187,pcs,pas,2
188,hipa,hip,2
189,pci,pi,2
190,calander,calender,2
191,cancle,cancel,2
192,thst,that,2
193,programer,programmer,2
194,aaa,aka,2
195,maldonado,maldonado,2
196,recomended,recommended,2
197,creditials,credentials,2
198,extreamly,extremly,2
199,patcher,pitcher,2
200,resetted,resented,2
201,tadolini,tamilini,2
202,provdes,proves,2
203,bsn,bin,2
204,loggin,logging,2
205,practicioner,practitioner,2
206,helth,health,2
207,evertime,overtime,2
208,inderstand,understand,2
209,ackward,awkward,2
210,afternoon,afternoon,2
211,emogi,emoji,2
212,dropdown,drawdown,2
213,aap,map,2
214,appointmemts,appointments,2
215,unistalling,installing,2
216,followmyhealth,followmyhealth,2
217,kods,kids,2
218,hx,he,2
219,recieving,receiving,2
220,loveeeee,loveeeee,2
221,uis,is,2
222,invaild,invalid,2
223,appoitments,appointments,2
224,nc,no,2
225,uave,have,2
226,heslow,hellow,2
227,reccommend,recommend,2
228,klunky,flunky,2
229,visists,visits,2
230,teladoc,celadon,2
231,havibg,having,2
232,ehrs,ears,2
233,qwerty,twenty,2
234,homescreen,homescreen,2
235,nyc,ny,2
236,vaporware,vaporware,2
237,pcps,pops,2
238,facil,fail,2
239,tmobile,mobile,2
240,fr,for,2
241,tht,the,2
242,pascode,passcode,2
243,disfunctional,dysfunctional,2
244,msging,making,2
245,heathcare,healthcare,2
246,teledoc,telecom,2
247,catawba,casaba,2
248,schererville,schererville,2
249,tooooo,nooooo,2
250,reoder,render,2
251,spams,slams,2
252,responce,response,2
253,learing,leaving,2
254,bb,be,2
255,ssn,son,2
256,clickable,lickable,2
257,zipcode,zipcode,2
258,wellmed,welled,2
259,khadour,chador,2
260,nw,no,2
261,loooong,looong,2
262,geeat,great,2
263,sofar,solar,2
264,bday,day,2
265,berhane,behave,2
266,statcare,stature,2
267,crapware,crapcake,2
268,pts,its,2
269,informstion,information,2
270,snd,and,2
271,bcuz,cuz,2
272,navagation,navigation,2
273,manuver,maneuver,2
274,fustrating,frustrating,2
275,vwry,very,2
276,recd,read,2
277,seemless,seamless,2
278,mgr,mar,2
279,tks,tis,2
280,andriod,android,2
281,dtr,der,2
282,paitient,patient,2
283,cs,is,2
284,appiontment,appointment,2
285,apl,all,2
286,bg,be,2
287,tku,tu,2
288,grest,great,2
289,dnt,dna,2
290,staf,stay,2
291,copc,cops,2
292,swip,ship,2
293,laggy,baggy,2
294,fuctions,functions,2
