,Word,Posed Correction,Frequency
0,to,to,27376
1,i,i,19832
2,app,app,18644
3,and,and,18158
4,my,my,16699
5,the,the,15237
6,it,it,12965
7,is,is,11608
8,this,this,10009
9,great,great,8955
10,a,a,8500
11,easy,easy,7012
12,of,of,6821
13,with,with,6478
14,health,health,6009
15,love,love,5996
16,in,in,5817
17,have,have,5800
18,very,very,5179
19,for,for,5021
20,use,use,4925
21,all,all,4884
22,not,not,4444
23,your,your,4221
24,you,you,4191
25,that,that,3896
26,so,so,3886
27,on,on,3795
28,me,me,3776
29,results,results,3749
30,can,can,3668
31,doctor,doctor,3327
32,information,information,3317
33,medical,medical,3302
34,appointments,appointments,2990
35,at,at,2595
36,get,get,2569
37,able,able,2542
38,be,be,2517
39,up,up,2483
40,like,like,2435
41,records,records,2369
42,see,see,2320
43,access,access,2317
44,as,as,2199
45,but,but,2176
46,convenient,convenient,2046
47,good,good,2022
48,way,way,2020
49,time,time,1988
50,one,one,1931
51,or,or,1925
52,are,are,1922
53,doctors,doctors,1906
54,has,has,1904
55,helpful,helpful,1900
56,am,am,1889
57,keep,keep,1872
58,an,an,1849
59,when,when,1849
60,info,info,1804
61,from,from,1719
62,follow,follow,1672
63,do,do,1593
64,having,having,1521
65,if,if,1480
66,being,being,1391
67,dr,do,1383
68,was,was,1375
69,test,test,1370
70,really,really,1338
71,need,need,1328
72,office,office,1323
73,would,would,1300
74,they,they,1297
75,also,also,1295
76,communicate,communicate,1290
77,works,works,1259
78,what,what,1232
79,just,just,1214
80,work,work,1208
81,nice,nice,1201
82,well,well,1175
83,no,no,1174
84,everything,everything,1169
85,been,been,1127
86,track,track,1127
87,awesome,awesome,1091
88,appointment,appointment,1066
89,s,i,1065
90,does,does,1046
91,makes,makes,1019
92,more,more,1017
93,much,much,1011
94,had,had,985
95,there,there,973
96,user,user,969
97,care,care,963
98,review,review,961
99,message,message,960
100,any,any,956
101,about,about,946
102,place,place,930
103,cannot,cannot,930
104,phone,phone,903
105,excellent,excellent,898
106,friendly,friendly,893
107,useful,useful,858
108,email,email,856
109,lab,lab,845
110,only,only,842
111,using,using,837
112,out,out,836
113,patient,patient,801
114,best,best,793
115,check,check,787
116,even,even,781
117,other,other,781
118,provider,provider,761
119,providers,providers,746
120,will,will,726
121,find,find,726
122,could,could,724
123,easier,easier,716
124,navigate,navigate,715
125,fingertips,fingertips,708
126,than,than,707
127,tool,tool,705
128,history,history,701
129,call,call,696
130,new,new,693
131,how,how,692
132,now,now,691
133,go,go,685
134,keeps,keeps,681
135,fmh,fah,678
136,make,make,676
137,log,log,676
138,send,send,670
139,messages,messages,663
140,back,back,655
141,them,them,654
142,portal,portal,641
143,know,know,638
144,communication,communication,634
145,quick,quick,632
146,contact,contact,632
147,because,because,630
148,without,without,628
149,touch,touch,597
150,through,through,594
151,far,far,593
152,always,always,591
153,thank,thank,587
154,helps,helps,572
155,right,right,568
156,available,available,567
157,etc,etc,562
158,crashes,crashes,558
159,questions,questions,547
160,better,better,543
161,wish,wish,540
162,needs,needs,529
163,date,date,528
164,recommend,recommend,527
165,by,by,522
166,their,their,522
167,look,look,515
168,used,used,514
169,wonderful,wonderful,514
170,quickly,quickly,512
171,never,never,507
172,update,update,504
173,every,every,503
174,staff,staff,502
175,after,after,499
176,easily,easily,489
177,stay,stay,488
178,allows,allows,484
179,healthcare,healthcare,481
180,super,super,470
181,login,login,466
182,updates,updates,462
183,some,some,462
184,ever,ever,460
185,data,data,453
186,times,times,451
187,keeping,keeping,439
188,view,view,438
189,record,record,434
190,getting,getting,432
191,help,help,431
192,mobile,mobile,431
193,things,things,428
194,medications,medications,428
195,handy,handy,427
196,refills,refills,427
197,issues,issues,427
198,site,site,426
199,sign,sign,426
200,prescriptions,prescriptions,425
201,updated,updated,424
202,which,which,417
203,amazing,amazing,415
204,then,then,407
205,most,most,406
206,simple,simple,403
207,physician,physician,397
208,visits,visits,392
209,before,before,390
210,informative,informative,387
211,request,request,385
212,followmyhealth,followmyhealth,385
213,visit,visit,383
214,service,service,383
215,we,we,382
216,enjoy,enjoy,373
217,thanks,thanks,372
218,going,going,368
219,tests,tests,367
220,too,too,366
221,did,did,361
