,Word,Posed Correction,Frequency
0,to,to,41873
1,and,and,25070
2,i,i,24057
3,my,my,23184
4,app,app,18476
5,it,it,18255
6,the,the,15662
7,easy,easy,14410
8,is,is,13635
9,great,great,12649
10,this,this,10391
11,very,very,10053
12,use,use,9769
13,a,a,9672
14,with,with,9186
15,love,love,8908
16,of,of,8660
17,in,in,7146
18,all,all,7146
19,have,have,7025
20,your,your,6675
21,health,health,6442
22,for,for,6436
23,me,me,5955
24,information,information,5687
25,medical,medical,5477
26,you,you,5425
27,on,on,5348
28,so,so,5206
29,can,can,5105
30,not,not,4807
31,results,results,4757
32,doctor,doctor,4701
33,appointments,appointments,4541
34,up,up,4477
35,records,records,4388
36,that,that,4292
37,at,at,3941
38,keep,keep,3924
39,good,good,3771
40,access,access,3709
41,able,able,3653
42,helpful,helpful,3622
43,like,like,3612
44,get,get,3590
45,way,way,3461
46,see,see,3446
47,info,info,3439
48,be,be,2750
49,convenient,convenient,2717
50,doctors,doctors,2508
51,when,when,2424
52,but,but,2349
53,dr,do,2340
54,or,or,2315
55,need,need,2308
56,has,has,2302
57,as,as,2293
58,one,one,2239
59,having,having,2151
60,time,time,2116
61,being,being,2079
62,everything,everything,2074
63,are,are,2073
64,track,track,2061
65,from,from,1957
66,am,am,1955
67,an,an,1945
68,do,do,1941
69,test,test,1906
70,what,what,1849
71,really,really,1836
72,nice,nice,1824
73,works,works,1752
74,s,i,1723
75,just,just,1674
76,awesome,awesome,1662
77,communicate,communicate,1641
78,office,office,1622
79,if,if,1583
80,makes,makes,1492
81,well,well,1484
82,much,much,1478
83,useful,useful,1462
84,appointment,appointment,1455
85,no,no,1447
86,keeps,keeps,1425
87,was,was,1403
88,also,also,1378
89,excellent,excellent,1332
90,about,about,1331
91,more,more,1317
92,place,place,1283
93,they,they,1274
94,would,would,1272
95,phone,phone,1271
96,helps,helps,1257
97,any,any,1228
98,fingertips,fingertips,1194
99,navigate,navigate,1189
100,been,been,1184
101,there,there,1173
102,friendly,friendly,1167
103,easier,easier,1163
104,user,user,1160
105,care,care,1157
106,far,far,1152
107,work,work,1118
108,informative,informative,1070
109,know,know,1063
110,cannot,cannot,1061
111,follow,follow,1054
112,lab,lab,1045
113,does,does,1040
114,check,check,1037
115,date,date,1032
116,its,its,1019
117,had,had,1017
118,out,out,1014
119,email,email,1014
120,other,other,990
121,history,history,989
122,quick,quick,964
123,without,without,952
124,contact,contact,951
125,make,make,949
126,than,than,932
127,go,go,928
128,message,message,925
129,always,always,922
130,call,call,920
131,provider,provider,916
132,will,will,914
133,right,right,910
134,find,find,903
135,new,new,894
136,available,available,884
137,how,how,878
138,best,best,865
139,providers,providers,863
140,keeping,keeping,859
141,even,even,839
142,tool,tool,837
143,only,only,834
144,better,better,829
145,using,using,828
146,now,now,825
147,them,them,801
148,touch,touch,786
149,look,look,785
150,could,could,777
151,messages,messages,764
152,send,send,760
153,updated,updated,756
154,refills,refills,749
155,etc,etc,745
156,prescriptions,prescriptions,730
157,stay,stay,728
158,back,back,728
159,through,through,713
160,fast,fast,700
161,staff,staff,687
162,handy,handy,676
163,easily,easily,662
164,wish,wish,659
165,view,view,651
166,things,things,644
167,help,help,640
168,updates,updates,636
169,getting,getting,636
170,meds,meds,636
171,used,used,622
172,wonderful,wonderful,619
173,never,never,616
174,update,update,609
175,thank,thank,605
176,issues,issues,604
177,lot,lot,604
178,record,record,603
179,questions,questions,600
180,log,log,598
181,quickly,quickly,598
182,going,going,594
183,communication,communication,593
184,medications,medications,585
185,visits,visits,575
186,request,request,575
187,because,because,566
188,simple,simple,563
189,appts,apps,561
190,understand,understand,547
191,still,still,545
192,needs,needs,542
193,review,review,541
194,notes,notes,535
195,allows,allows,530
196,reminders,reminders,520
197,sign,sign,518
198,let,let,507
199,every,every,506
200,healthcare,healthcare,506
201,finger,finger,502
202,gives,gives,502
203,times,times,501
204,patient,patient,500
205,ever,ever,497
206,recommend,recommend,494
207,read,read,487
208,some,some,484
209,after,after,476
210,visit,visit,472
211,needed,needed,470
212,by,by,467
213,password,password,465
214,tests,tests,464
215,informed,informed,460
216,super,super,453
217,too,too,452
218,set,set,446
219,site,site,442
220,here,here,442
221,amazing,amazing,442
222,account,account,441
223,then,then,439
224,physician,physician,438
225,prescription,prescription,437
226,enjoy,enjoy,436
227,most,most,436
228,their,their,435
229,thanks,thanks,426
230,tips,tips,417
231,before,before,416
232,which,which,414
233,schedule,schedule,409
234,waiting,waiting,408
235,portal,portal,404
236,ask,ask,400
237,labs,labs,398
238,want,want,397
239,pretty,pretty,393
240,anything,anything,392
241,over,over,391
242,should,should,391
243,thing,thing,390
244,appt,app,387
245,think,think,385
246,upcoming,upcoming,384
247,important,important,378
248,into,into,376
249,ability,ability,374
250,wait,wait,372
251,done,done,368
252,application,application,367
253,past,past,364
254,vitals,vitals,364
255,personal,personal,359
256,give,give,356
257,hand,hand,355
258,refill,refill,355
259,life,life,355
260,data,data,352
261,us,us,350
262,many,many,348
263,own,own,339
264,problems,problems,339
265,login,login,338
266,remember,remember,336
267,anytime,anytime,336
268,service,service,335
269,little,little,332
270,especially,especially,330
271,medication,medication,329
272,same,same,327
273,response,response,327
274,drs,dry,323
275,list,list,321
276,did,did,319
277,first,first,317
278,got,got,316
279,ease,ease,314
280,day,day,314
281,5,5,312
282,extremely,extremely,311
283,blood,blood,307
284,doc,doc,306
285,hospital,hospital,302
286,we,we,297
287,current,current,296
288,calling,calling,296
289,apps,apps,294
290,seeing,seeing,292
291,once,once,292
292,seems,seems,292
293,highly,highly,291
294,nothing,nothing,290
295,since,since,289
296,talk,talk,287
297,problem,problem,284
298,long,long,283
299,take,take,280
300,show,show,279
301,trying,trying,278
302,reports,reports,276
303,hold,hold,276
304,add,add,276
305,who,who,275
306,says,says,275
307,open,open,273
308,directly,directly,273
309,accessible,accessible,273
310,accurate,accurate,272
311,change,change,271
312,experience,experience,269
313,stars,stars,268
314,conditions,conditions,267
315,few,few,264
316,try,try,264
317,years,years,263
318,such,such,262
319,perfect,perfect,262
320,manage,manage,261
321,nurse,nurse,260
322,working,working,260
323,connect,connect,259
324,top,top,258
325,fact,fact,257
326,absolutely,absolutely,257
327,were,were,256
328,stuff,stuff,256
329,made,made,255
330,sometimes,sometimes,255
331,instead,instead,254
332,hard,hard,253
333,2,2,252
334,lots,lots,251
335,put,put,249
336,convenience,convenience,248
337,away,away,248
338,documents,documents,248
339,system,system,247
340,connected,connected,247
341,organized,organized,246
342,something,something,245
343,provides,provides,240
344,our,our,240
345,support,support,238
346,online,online,238
347,efficient,efficient,237
348,where,where,236
349,each,each,235
350,chart,chart,234
351,emails,emails,234
352,different,different,234
353,people,people,234
354,happy,happy,233
355,faster,faster,232
356,physicians,physicians,231
357,sure,sure,231
358,family,family,230
359,next,next,230
360,plus,plus,230
361,making,making,228
362,download,download,228
363,takes,takes,227
364,communicating,communicating,225
365,mobile,mobile,225
366,looking,looking,225
367,fantastic,fantastic,222
368,overall,overall,221
369,appreciate,appreciate,220
370,everyone,everyone,219
371,down,down,216
372,saves,saves,215
373,feel,feel,215
374,receive,receive,212
375,actually,actually,208
376,cool,cool,207
377,tried,tried,207
378,website,website,205
379,started,started,204
380,forget,forget,202
381,job,job,201
382,calls,calls,201
383,med,med,200
384,fix,fix,199
385,slow,slow,199
386,myself,myself,198
387,while,while,198
388,ok,ok,197
389,load,load,194
390,found,found,193
391,changes,changes,192
392,shows,shows,192
393,option,option,191
394,though,though,190
395,via,via,188
396,around,around,186
397,glad,glad,185
398,his,his,184
399,within,within,183
400,click,click,183
401,last,last,182
402,another,another,182
403,1,1,181
404,again,again,180
405,reply,reply,180
406,her,her,179
407,alot,alot,179
408,timely,timely,179
409,interface,interface,177
410,why,why,176
411,multiple,multiple,176
412,soon,soon,176
413,4,4,176
414,between,between,176
415,clinic,clinic,176
416,whenever,whenever,176
417,tells,tells,175
418,u,u,175
419,secure,secure,175
420,real,real,174
421,primary,primary,173
422,worked,worked,173
423,issue,issue,172
424,patients,patients,172
425,team,team,172
426,say,say,171
427,hours,hours,171
428,difficult,difficult,171
429,nurses,nurses,171
430,home,home,171
431,may,may,169
432,come,come,169
433,question,question,169
434,program,program,167
435,sent,sent,167
436,professional,professional,166
437,please,please,166
438,yet,yet,166
439,pcp,pop,165
440,renew,renew,165
441,computer,computer,164
442,he,he,163
443,added,added,162
444,page,page,162
445,order,order,161
446,useless,useless,160
447,followmyhealth,followmyhealth,158
448,3,3,158
449,anyone,anyone,157
450,spot,spot,156
451,notifications,notifications,155
452,several,several,155
453,days,days,154
454,concerns,concerns,153
455,pull,pull,153
456,file,file,153
457,detailed,detailed,152
458,tracking,tracking,152
459,definitely,definitely,152
460,idea,idea,152
461,diagnosis,diagnosis,150
462,print,print,150
463,bit,bit,150
464,features,features,149
465,fine,fine,149
466,listed,listed,148
467,leave,leave,148
468,often,often,147
469,frustrating,frustrating,146
470,fmh,fah,146
471,old,old,146
472,previous,previous,145
473,cancel,cancel,144
474,both,both,143
475,rx,re,142
476,clear,clear,142
477,answers,answers,142
478,busy,busy,142
479,button,button,141
480,tell,tell,141
481,medicine,medicine,140
482,someone,someone,140
483,immediately,immediately,140
484,she,she,139
485,must,must,139
486,pay,pay,138
487,dates,dates,137
488,reminder,reminder,137
489,finally,finally,137
490,scheduling,scheduling,136
491,complete,complete,136
492,compare,compare,135
493,name,name,135
494,however,however,133
495,checking,checking,133
496,gets,gets,133
497,allow,allow,132
498,link,link,132
499,files,files,132
500,share,share,132
501,else,else,131
502,dont,dont,130
503,year,year,130
504,readily,readily,129
505,weight,weight,129
506,reach,reach,129
507,messaging,messaging,128
508,intuitive,intuitive,128
509,said,said,127
510,future,future,127
511,knowing,knowing,127
512,details,details,127
513,part,part,126
514,cant,cant,126
515,feature,feature,126
516,reminds,reminds,125
517,fingerprint,fingerprint,125
518,posted,posted,124
519,usually,usually,124
520,answer,answer,124
521,unable,unable,123
522,two,two,122
523,helped,helped,122
524,almost,almost,122
525,during,during,121
526,managing,managing,121
527,screen,screen,121
528,bills,bills,121
529,comes,comes,121
530,shall,shall,120
531,regarding,regarding,120
532,recent,recent,119
533,waste,waste,119
534,point,point,119
535,uses,uses,118
536,resource,resource,117
537,wrong,wrong,116
538,confusing,confusing,116
539,pharmacy,pharmacy,116
540,seen,seen,115
541,respond,respond,115
542,longer,longer,115
543,off,off,115
544,kind,kind,114
545,status,status,113
546,direct,direct,113
547,ap,ap,113
548,correct,correct,113
549,full,full,112
550,bad,bad,112
551,doing,doing,111
552,these,these,111
553,version,version,111
554,comprehensive,comprehensive,111
555,thorough,thorough,111
556,kids,kids,110
557,reference,reference,109
558,items,items,109
559,together,together,109
560,otherwise,otherwise,109
561,until,until,108
562,im,im,108
563,manner,manner,108
564,anywhere,anywhere,108
565,ago,ago,108
566,offices,offices,107
567,pleased,pleased,107
568,emergency,emergency,107
569,enough,enough,106
570,24,24,106
571,crashes,crashes,106
572,trouble,trouble,105
573,contacting,contacting,105
574,docs,docs,105
575,requests,requests,105
576,thru,thru,104
577,vital,vital,103
578,told,told,103
579,downloaded,downloaded,103
580,taking,taking,102
581,person,person,102
582,quite,quite,102
583,monitor,monitor,101
584,instant,instant,101
