,Word,Posed Correction,Frequency
0,to,to,1134
1,the,the,1134
2,i,i,863
3,app,app,743
4,and,and,698
5,it,it,581
6,a,a,485
7,is,is,479
8,not,not,455
9,this,this,396
10,my,my,394
11,in,in,357
12,for,for,333
13,of,of,330
14,mayo,mayo,324
15,have,have,270
16,you,you,263
17,with,with,238
18,that,that,228
19,on,on,215
20,do,do,179
21,has,has,177
22,be,be,164
23,all,all,157
24,but,but,155
25,was,was,153
26,are,are,150
27,your,your,148
28,great,great,145
29,me,me,138
30,very,very,132
31,patient,patient,130
32,as,as,130
33,can,can,123
34,at,at,123
35,no,no,120
36,when,when,119
37,information,information,115
38,clinic,clinic,115
39,or,or,114
40,an,an,112
41,results,results,108
42,medical,medical,105
43,appointments,appointments,101
44,they,they,100
45,get,get,99
46,use,use,99
47,there,there,98
48,cannot,cannot,96
49,if,if,94
50,so,so,94
51,just,just,92
52,update,update,92
53,new,new,89
54,time,time,88
55,from,from,88
56,work,work,79
57,would,would,77
58,up,up,77
59,like,like,75
60,access,access,73
61,been,been,68
62,had,had,68
63,care,care,67
64,does,does,67
65,out,out,67
66,one,one,66
67,see,see,66
68,more,more,65
69,message,message,65
70,easy,easy,64
71,now,now,62
72,health,health,60
73,need,need,60
74,portal,portal,59
75,able,able,59
76,am,am,59
77,will,will,59
78,s,i,57
79,love,love,56
80,appointment,appointment,56
81,only,only,55
82,good,good,55
83,best,best,53
84,what,what,53
85,should,should,53
86,user,user,52
87,we,we,51
88,lab,lab,51
89,their,their,51
90,records,records,51
91,even,even,50
92,way,way,50
93,ios,is,49
94,how,how,49
95,could,could,49
96,info,info,48
97,doctors,doctors,48
98,used,used,47
99,better,better,47
100,test,test,47
101,log,log,46
102,go,go,46
103,well,well,46
104,version,version,46
105,by,by,45
106,patients,patients,45
107,about,about,44
108,much,much,44
109,still,still,43
110,please,please,43
111,notes,notes,42
112,after,after,42
113,any,any,42
114,friendly,friendly,41
115,messages,messages,41
116,also,also,40
117,send,send,40
118,know,know,40
119,fix,fix,40
120,works,works,39
121,some,some,38
122,which,which,38
123,really,really,37
124,helpful,helpful,37
125,back,back,36
126,team,team,36
127,every,every,36
128,help,help,36
129,other,other,36
130,find,find,36
131,crashes,crashes,36
132,keep,keep,36
133,through,through,35
134,having,having,35
135,most,most,35
136,than,than,35
137,account,account,35
138,email,email,35
139,check,check,35
140,useful,useful,35
141,reports,reports,35
142,iphone,iphone,34
143,9,9,34
144,since,since,33
145,them,them,33
146,thank,thank,32
147,billing,billing,32
148,because,because,31
149,available,available,31
150,into,into,30
151,everything,everything,30
152,doctor,doctor,30
153,issues,issues,29
154,ipad,ipad,29
155,updated,updated,29
156,did,did,29
157,times,times,29
158,never,never,29
159,amazing,amazing,29
160,old,old,29
161,needs,needs,28
162,password,password,28
163,using,using,28
164,excellent,excellent,28
165,website,website,27
166,working,working,27
