,Word,Posed Correction,Frequency
0,to,to,1581
1,the,the,1195
2,i,i,1192
3,and,and,973
4,it,it,854
5,app,app,752
6,my,my,710
7,not,not,629
8,a,a,553
9,is,is,527
10,in,in,506
11,this,this,428
12,for,for,376
13,of,of,374
14,on,on,310
15,have,have,309
16,me,me,303
17,you,you,301
18,great,great,294
19,very,very,284
20,with,with,277
21,mayo,mayo,263
22,has,has,238
23,get,get,231
24,do,do,223
25,easy,easy,218
26,cannot,cannot,211
27,use,use,209
28,all,all,203
29,but,but,199
30,that,that,197
31,at,at,176
32,when,when,170
33,love,love,170
34,time,time,168
35,good,good,167
36,no,no,161
37,can,can,161
38,so,so,157
39,be,be,154
40,log,log,143
41,will,will,142
42,information,information,141
43,was,was,141
44,are,are,140
45,or,or,135
46,as,as,135
47,update,update,135
48,results,results,134
49,does,does,127
50,work,work,123
51,an,an,123
52,your,your,122
53,like,like,120
54,medical,medical,119
55,appointments,appointments,118
56,just,just,117
57,up,up,117
58,from,from,114
59,need,need,111
60,clinic,clinic,109
61,what,what,108
62,been,been,101
63,password,password,101
64,they,they,100
65,able,able,99
66,now,now,99
67,works,works,98
68,had,had,98
69,login,login,98
70,if,if,96
71,see,see,96
72,patient,patient,95
73,info,info,94
74,care,care,93
75,access,access,92
76,out,out,89
77,portal,portal,82
78,phone,phone,81
79,helpful,helpful,81
80,would,would,80
81,even,even,80
82,message,message,79
83,sign,sign,77
84,new,new,75
85,messages,messages,74
86,there,there,74
87,am,am,71
88,unable,unable,70
89,excellent,excellent,69
90,one,one,68
91,test,test,67
92,never,never,67
93,go,go,67
94,s,i,67
95,health,health,64
96,about,about,63
97,best,best,63
98,having,having,62
99,still,still,62
100,only,only,61
101,know,know,60
102,find,find,60
103,records,records,59
104,appointment,appointment,59
105,dr,do,59
106,well,well,57
107,how,how,56
108,into,into,55
109,way,way,55
110,always,always,55
111,everything,everything,55
112,let,let,54
113,doctors,doctors,53
114,after,after,53
115,nice,nice,51
116,doctor,doctor,51
117,keep,keep,50
118,thank,thank,50
119,user,user,50
120,back,back,50
121,more,more,50
122,because,because,49
123,working,working,49
124,tried,tried,48
125,its,its,48
126,used,used,48
127,team,team,48
128,try,try,47
129,trying,trying,47
130,help,help,47
131,open,open,47
132,says,says,47
133,account,account,47
134,them,them,46
135,times,times,46
136,fix,fix,45
137,other,other,45
138,much,much,45
139,ever,ever,45
140,any,any,44
141,could,could,44
142,many,many,44
143,then,then,44
144,some,some,42
145,lab,lab,42
146,navigate,navigate,42
147,too,too,41
148,keeps,keeps,40
149,also,also,40
150,most,most,40
151,nothing,nothing,39
152,friendly,friendly,39
153,better,better,39
154,every,every,38
155,frustrating,frustrating,38
156,we,we,38
157,awesome,awesome,38
158,really,really,37
159,again,again,37
160,using,using,37
161,over,over,36
162,useful,useful,36
163,want,want,36
164,did,did,36
165,email,email,36
166,should,should,35
167,make,make,35
168,check,check,35
169,problems,problems,35
170,staff,staff,35
171,without,without,35
172,site,site,35
173,anything,anything,34
174,getting,getting,34
175,going,going,33
176,available,available,33
177,by,by,33
178,issues,issues,33
179,than,than,32
180,send,send,32
181,cant,cant,32
182,being,being,32
183,schedule,schedule,32
184,website,website,32
185,problem,problem,32
186,questions,questions,32
187,needs,needs,31
188,error,error,31
189,through,through,31
190,same,same,31
191,page,page,31
192,load,load,31
193,notes,notes,30
194,people,people,30
195,please,please,30
196,their,their,30
197,hard,hard,30
198,makes,makes,30
199,since,since,29
200,change,change,29
201,informative,informative,29
202,view,view,29
203,day,day,28
204,system,system,28
205,useless,useless,28
206,old,old,28
207,lot,lot,27
208,last,last,27
209,place,place,27
210,experience,experience,27
211,things,things,27
212,why,why,26
213,where,where,26
214,before,before,26
215,read,read,26
216,far,far,26
217,first,first,25
218,years,years,25
219,worked,worked,25
220,issue,issue,25
221,screen,screen,25
222,patients,patients,25
223,right,right,25
224,here,here,25
225,2,2,24
226,days,days,24
227,needed,needed,24
228,billing,billing,23
229,fingerprint,fingerprint,23
230,once,once,23
231,down,down,23
232,thing,thing,23
233,look,look,23
234,convenient,convenient,23
235,constantly,constantly,22
236,few,few,22
237,wonderful,wonderful,22
238,thanks,thanks,22
239,web,web,22
240,contact,contact,22
241,which,which,21
242,gives,gives,21
243,fine,fine,21
244,5,5,21
245,were,were,21
246,tests,tests,21
247,done,done,21
248,name,name,21
249,call,call,21
250,sometimes,sometimes,21
251,helps,helps,21
252,take,take,21
253,months,months,21
254,long,long,21
255,data,data,20
256,wish,wish,20
257,who,who,20
258,application,application,20
259,download,download,20
260,slow,slow,20
261,android,android,19
262,ok,ok,19
263,hospital,hospital,19
264,4,4,19
265,online,online,19
266,bad,bad,19
267,option,option,19
268,reinstall,reinstall,18
269,sure,sure,18
270,ago,ago,18
271,uninstall,install,18
272,track,track,18
273,communication,communication,18
274,answer,answer,18
275,though,though,18
276,different,different,18
277,shows,shows,18
278,until,until,18
279,support,support,18
280,easier,easier,18
281,date,date,18
282,got,got,18
283,tell,tell,17
284,notifications,notifications,17
285,wrong,wrong,17
286,understand,understand,17
287,etc,etc,17
288,often,often,17
289,past,past,17
290,updated,updated,17
291,home,home,17
292,terrible,terrible,17
293,family,family,17
294,takes,takes,17
295,crashes,crashes,17
296,later,later,16
297,uninstalled,installed,16
298,off,off,16
299,3,3,16
300,stars,stars,16
301,show,show,16
302,version,version,16
303,job,job,16
304,something,something,16
305,think,think,16
306,life,life,16
307,amazing,amazing,16
308,two,two,16
309,longer,longer,16
310,communicate,communicate,16
311,extremely,extremely,16
312,instead,instead,16
313,enter,enter,15
314,each,each,15
315,trouble,trouble,15
316,reports,reports,15
317,add,add,15
318,leave,leave,15
319,give,give,15
320,year,year,15
321,feel,feel,15
322,logging,logging,15
323,ability,ability,15
324,nurses,nurses,15
325,today,today,15
326,quick,quick,15
327,difficult,difficult,15
328,logged,logged,15
329,response,response,15
330,important,important,14
331,fantastic,fantastic,14
332,seems,seems,14
333,reset,reset,14
334,correct,correct,14
335,connect,connect,14
336,healthcare,healthcare,14
337,several,several,14
338,professional,professional,14
339,changed,changed,14
340,put,put,14
341,fast,fast,14
342,such,such,14
343,sucks,sucks,14
344,review,review,14
345,1,1,14
346,fingertips,fingertips,14
347,follow,follow,14
348,print,print,14
349,number,number,14
350,little,little,14
351,however,however,14
352,set,set,14
353,updates,updates,14
354,while,while,14
355,say,say,14
356,poor,poor,14
357,tool,tool,13
358,appts,apps,13
359,dont,dont,13
360,pretty,pretty,13
361,week,week,13
362,10,10,13
363,reinstalled,reinstalled,13
364,link,link,13
365,made,made,13
366,actually,actually,13
367,sent,sent,13
368,absolutely,absolutely,13
369,us,us,13
370,own,own,13
371,reply,reply,13
372,anymore,anymore,13
373,top,top,13
374,rochester,rochester,13
375,service,service,13
376,apps,apps,13
377,list,list,13
378,previous,previous,13
379,reason,reason,13
380,changing,changing,13
381,order,order,13
382,latest,latest,12
383,said,said,12
384,provider,provider,12
385,worst,worst,12
386,talk,talk,12
387,person,person,12
388,month,month,12
389,allow,allow,12
390,completely,completely,12
391,calendar,calendar,12
392,come,come,12
393,everyone,everyone,12
394,labs,labs,12
395,computer,computer,12
396,disappointed,disappointed,12
397,thought,thought,12
398,multiple,multiple,12
399,super,super,12
400,providers,providers,12
401,away,away,12
402,almost,almost,12
403,touch,touch,12
404,upcoming,upcoming,12
405,ask,ask,12
406,part,part,12
407,around,around,12
408,allows,allows,12
409,visit,visit,12
410,informed,informed,11
411,happy,happy,11
412,making,making,11
413,receive,receive,11
414,appt,app,11
415,mobile,mobile,11
416,bugs,bugs,11
417,report,report,11
418,feedback,feedback,11
419,start,start,11
420,options,options,11
421,both,both,11
422,stopped,stopped,11
423,t,i,11
424,waste,waste,11
425,world,world,11
426,waiting,waiting,11
427,clear,clear,11
428,question,question,11
429,via,via,11
430,saying,saying,11
431,browser,browser,11
432,handy,handy,11
433,loved,loved,11
434,worthless,worthless,11
435,services,services,11
436,ease,ease,11
437,everytime,overtime,10
438,uninstalling,installing,10
439,cool,cool,10
440,telling,telling,10
441,forever,forever,10
442,request,request,10
443,goes,goes,10
444,click,click,10
445,trust,trust,10
446,went,went,10
447,install,install,10
448,x,i,10
449,seen,seen,10
450,full,full,10
451,our,our,10
452,refill,refill,10
453,nurse,nurse,10
454,quickly,quickly,10
455,record,record,10
456,wants,wants,10
457,easily,easily,10
458,exceptional,exceptional,10
459,provided,provided,10
460,upgrade,upgrade,10
461,horrible,horrible,10
462,weeks,weeks,10
463,tells,tells,10
