,Word,Posed Correction,Frequency
0,to,to,5718
1,the,the,5175
2,i,i,4970
3,app,app,3843
4,it,it,3543
5,and,and,3339
6,not,not,2854
7,is,is,2755
8,my,my,2701
9,a,a,2682
10,this,this,2258
11,in,in,1563
12,have,have,1547
13,of,of,1515
14,for,for,1454
15,that,that,1150
16,you,you,1140
17,with,with,1138
18,on,on,1067
19,but,but,1009
20,me,me,901
21,be,be,829
22,cannot,cannot,822
23,does,does,796
24,use,use,792
25,do,do,757
26,no,no,757
27,doctor,doctor,729
28,an,an,700
29,or,or,685
30,so,so,654
31,work,work,634
32,get,get,608
33,time,time,589
34,when,when,568
35,all,all,568
36,can,can,563
37,was,was,560
38,are,are,560
39,your,your,557
40,if,if,553
41,as,as,531
42,has,has,527
43,will,will,512
44,up,up,491
45,would,would,467
46,even,even,458
47,just,just,456
48,am,am,451
49,password,password,444
50,they,they,441
51,there,there,440
52,one,one,430
53,from,from,424
54,like,like,422
55,great,great,407
56,very,very,401
57,results,results,397
58,at,at,395
59,s,i,385
60,message,message,372
61,phone,phone,368
62,health,health,361
63,had,had,356
64,see,see,353
65,office,office,349
66,what,what,344
67,doctors,doctors,334
68,information,information,330
69,only,only,329
70,log,log,327
71,login,login,308
72,new,new,304
73,able,able,304
74,now,now,303
75,healow,hellow,301
76,needs,needs,296
77,access,access,288
78,medical,medical,286
79,appointments,appointments,286
80,could,could,285
81,out,out,284
82,messages,messages,277
83,good,good,277
84,pin,pin,272
85,works,works,268
86,useless,useless,268
87,records,records,261
88,then,then,256
89,been,been,254
90,portal,portal,253
91,support,support,253
92,user,user,249
93,way,way,243
94,any,any,242
95,after,after,240
96,apple,apple,240
97,email,email,237
98,update,update,233
99,provider,provider,233
100,tried,tried,233
101,love,love,232
102,how,how,230
103,more,more,230
104,info,info,228
105,other,other,228
106,need,need,226
107,find,find,226
108,dr,do,219
109,using,using,219
110,never,never,217
111,by,by,215
112,account,account,214
113,also,also,212
114,appointment,appointment,210
115,their,their,209
116,them,them,208
117,used,used,208
118,easy,easy,207
