,Word,Posed Correction,Frequency
0,to,to,27365
1,i,i,18421
2,it,it,15854
3,the,the,14427
4,and,and,14307
5,app,app,13291
6,my,my,13002
7,is,is,9849
8,not,not,8983
9,a,a,8478
10,this,this,7234
11,in,in,5839
12,use,use,5773
13,easy,easy,5738
14,very,very,5413
15,have,have,5339
16,of,of,5113
17,for,for,5043
18,with,with,4881
19,me,me,4589
20,great,great,4529
21,you,you,4339
22,on,on,3942
23,doctor,doctor,3367
24,love,love,3308
25,that,that,3266
26,so,so,3221
27,all,all,3065
28,but,but,2961
29,your,your,2910
30,get,get,2792
31,good,good,2697
32,up,up,2597
33,can,can,2550
34,do,do,2479
35,cannot,cannot,2467
36,like,like,2455
37,be,be,2369
38,appointments,appointments,2321
39,results,results,2256
40,phone,phone,2047
41,or,or,2046
42,information,information,1987
43,no,no,1969
44,time,time,1968
45,does,does,1959
46,when,when,1881
47,at,at,1869
48,was,was,1817
49,if,if,1704
50,just,just,1688
51,see,see,1658
52,dr,do,1642
53,has,has,1641
54,will,will,1613
55,an,an,1613
56,am,am,1607
57,as,as,1597
58,access,access,1597
59,are,are,1585
60,work,work,1569
61,able,able,1562
62,medical,medical,1543
63,way,way,1455
64,one,one,1447
65,helpful,helpful,1441
66,keep,keep,1430
67,need,need,1400
68,office,office,1393
69,from,from,1368
70,info,info,1358
71,s,i,1341
72,would,would,1337
73,records,records,1276
74,out,out,1238
75,appointment,appointment,1232
76,works,works,1211
77,had,had,1206
78,what,what,1185
79,log,log,1178
80,user,user,1157
81,message,message,1118
82,there,there,1112
83,even,even,1111
84,password,password,1096
85,they,they,1077
86,now,now,1071
87,doctors,doctors,1068
88,health,health,1062
89,find,find,1055
90,could,could,1003
91,pin,pin,1002
92,messages,messages,989
93,really,really,966
94,convenient,convenient,963
95,friendly,friendly,955
96,only,only,920
97,keeps,keeps,898
98,how,how,888
99,far,far,884
100,well,well,881
101,more,more,880
102,having,having,878
103,everything,everything,873
104,been,been,857
105,lab,lab,846
106,any,any,839
107,using,using,836
108,new,new,818
109,track,track,814
110,much,much,812
111,test,test,806
112,other,other,797
113,login,login,795
114,set,set,779
115,meds,meds,774
116,back,back,774
117,nice,nice,773
118,then,then,768
119,navigate,navigate,761
120,let,let,760
121,provider,provider,753
122,also,also,744
123,healow,hellow,728
124,awesome,awesome,723
125,being,being,707
126,its,its,705
127,go,go,700
128,make,make,693
129,never,never,689
130,send,send,682
131,because,because,670
132,excellent,excellent,670
133,check,check,668
134,code,code,667
135,about,about,665
136,communicate,communicate,664
137,hard,hard,662
138,difficult,difficult,653
139,used,used,650
140,makes,makes,650
141,still,still,649
142,know,know,644
143,than,than,642
144,times,times,639
145,update,update,632
146,useful,useful,631
147,email,email,629
148,into,into,604
149,after,after,602
150,screen,screen,583
151,too,too,574
152,needs,needs,568
153,trying,trying,549
154,should,should,546
155,helps,helps,540
156,over,over,539
157,call,call,539
158,account,account,537
159,put,put,537
160,them,them,536
161,easier,easier,536
162,without,without,532
163,through,through,531
164,better,better,527
165,help,help,517
166,medications,medications,514
167,by,by,514
168,want,want,511
169,sign,sign,509
170,did,did,506
171,ever,ever,495
172,tried,tried,492
173,some,some,484
174,every,every,483
175,contact,contact,476
176,give,give,470
177,always,always,470
178,open,open,469
179,right,right,463
180,try,try,458
181,first,first,449
182,wish,wish,448
183,portal,portal,443
184,patient,patient,439
185,getting,getting,438
186,useless,useless,430
187,available,available,430
188,anything,anything,429
189,care,care,426
190,place,place,424
191,change,change,422
192,going,going,420
193,read,read,420
194,add,add,420
195,which,which,417
196,visit,visit,416
197,again,again,414
198,once,once,398
199,nothing,nothing,390
200,lock,lock,389
201,says,says,385
202,look,look,384
203,got,got,382
204,before,before,376
205,thank,thank,373
206,date,date,371
207,understand,understand,371
208,why,why,366
209,best,best,364
210,their,their,364
211,things,things,361
212,staff,staff,360
213,many,many,359
214,security,security,358
215,issues,issues,357
216,fingerprint,fingerprint,357
217,updated,updated,356
218,horrible,horrible,352
219,unable,unable,351
220,etc,etc,350
221,apps,apps,348
222,most,most,347
223,show,show,342
224,seems,seems,340
225,medication,medication,340
226,2,2,340
227,labs,labs,339
228,list,list,336
229,refills,refills,336
230,request,request,335
231,pretty,pretty,334
232,view,view,332
233,quick,quick,331
234,another,another,331
235,fix,fix,329
236,problems,problems,329
237,frustrating,frustrating,328
238,sucks,sucks,328
239,enter,enter,326
240,working,working,326
241,name,name,325
242,terrible,terrible,325
243,simple,simple,320
244,same,same,316
245,touch,touch,314
246,lot,lot,312
247,since,since,311
248,reset,reset,311
249,keeping,keeping,309
250,allow,allow,309
251,thing,thing,309
252,sent,sent,308
253,cant,cant,307
254,appt,app,307
255,please,please,304
256,informative,informative,303
257,problem,problem,303
258,5,5,297
259,think,think,297
260,wonderful,wonderful,294
261,little,little,292
262,we,we,292
263,worked,worked,291
264,4,4,288
265,ok,ok,285
266,option,option,285
267,number,number,284
268,experience,experience,281
269,take,take,279
270,communication,communication,278
271,providers,providers,277
272,appts,apps,266
273,stars,stars,260
274,reply,reply,258
275,needed,needed,258
276,where,where,257
277,fine,fine,256
278,sure,sure,255
279,link,link,252
280,physician,physician,252
281,reminders,reminders,251
282,different,different,250
283,who,who,248
284,takes,takes,248
285,system,system,248
286,application,application,247
287,download,download,244
288,data,data,244
289,were,were,242
290,slow,slow,242
291,tool,tool,241
292,fingertips,fingertips,240
293,handy,handy,239
294,practice,practice,239
295,stay,stay,239
296,3,3,236
297,wrong,wrong,236
298,site,site,235
299,refill,refill,235
300,thanks,thanks,234
301,waste,waste,234
302,device,device,233
303,easily,easily,233
304,questions,questions,233
305,super,super,232
306,bad,bad,232
307,confusing,confusing,229
308,past,past,227
309,doc,doc,227
310,website,website,225
311,recommend,recommend,225
312,worst,worst,222
313,done,done,222
314,digit,digit,218
315,visits,visits,216
316,notes,notes,216
317,review,review,215
318,fast,fast,215
319,day,day,213
320,figure,figure,213
321,though,though,212
322,upcoming,upcoming,212
323,connect,connect,211
324,started,started,210
325,page,page,210
326,old,old,209
327,multiple,multiple,209
328,history,history,209
329,ask,ask,208
330,1,1,207
331,amazing,amazing,207
332,several,several,206
333,print,print,206
334,clear,clear,204
335,people,people,204
336,impossible,impossible,202
337,last,last,202
338,especially,especially,201
339,load,load,199
340,response,response,199
341,yet,yet,197
342,until,until,197
343,something,something,197
344,logging,logging,196
345,us,us,196
346,service,service,195
347,absolutely,absolutely,195
348,text,text,194
349,already,already,194
350,delete,delete,193
351,android,android,193
352,address,address,192
353,features,features,192
354,support,support,192
355,long,long,191
356,issue,issue,191
357,took,took,191
358,interface,interface,190
359,instead,instead,189
360,sometimes,sometimes,189
361,hate,hate,188
362,actually,actually,188
363,here,here,188
364,made,made,187
365,few,few,187
366,6,6,186
367,extremely,extremely,184
368,own,own,184
369,next,next,183
370,idea,idea,183
371,passcode,passcode,183
372,patients,patients,183
373,start,start,182
374,finger,finger,180
375,such,such,180
376,schedule,schedule,180
377,allows,allows,179
378,gives,gives,178
379,each,each,178
380,down,down,177
381,correct,correct,177
382,found,found,176
383,dont,dont,175
384,video,video,175
385,however,however,174
386,intuitive,intuitive,173
387,waiting,waiting,173
388,our,our,172
389,drs,dry,172
390,around,around,171
391,talk,talk,171
392,create,create,170
393,poor,poor,170
394,off,off,169
395,listed,listed,169
396,trouble,trouble,169
397,tests,tests,168
398,making,making,168
399,clinic,clinic,168
400,days,days,168
401,order,order,167
402,important,important,167
403,personal,personal,167
404,leave,leave,167
405,shall,shall,166
406,online,online,164
407,said,said,164
408,say,say,163
409,record,record,162
410,finally,finally,161
411,shows,shows,161
412,her,her,160
413,error,error,160
414,quickly,quickly,159
415,prescriptions,prescriptions,159
416,enough,enough,159
417,location,location,158
418,tell,tell,158
419,while,while,158
420,ability,ability,157
421,his,his,156
422,wait,wait,155
423,calling,calling,154
424,tells,tells,154
425,saying,saying,153
426,healthcare,healthcare,153
427,remember,remember,151
428,pain,pain,150
429,life,life,150
430,blood,blood,149
431,star,star,149
432,med,med,149
433,looking,looking,146
434,happy,happy,146
435,t,i,146
436,feature,feature,145
437,username,username,145
438,constantly,constantly,144
439,years,years,144
440,he,he,142
441,bit,bit,142
442,went,went,142
443,u,u,142
444,two,two,142
445,crashes,crashes,142
446,requires,requires,141
447,asking,asking,140
448,between,between,140
449,computer,computer,140
450,perfect,perfect,139
451,gets,gets,139
452,via,via,139
453,current,current,139
454,secure,secure,139
455,logged,logged,139
456,emails,emails,137
457,closes,closes,137
458,today,today,136
459,installed,installed,136
460,fact,fact,136
461,install,install,136
462,later,later,136
463,reason,reason,135
464,overall,overall,134
465,follow,follow,134
466,away,away,134
467,annoying,annoying,133
468,kind,kind,133
469,longer,longer,133
470,worthless,worthless,132
471,primary,primary,132
472,either,either,132
473,updates,updates,131
474,uninstalled,installed,130
475,messaging,messaging,130
476,enjoy,enjoy,130
477,family,family,130
478,respond,respond,130
479,asks,asks,130
480,wants,wants,129
481,minutes,minutes,129
482,soon,soon,128
483,setup,setup,128
484,click,click,128
485,myself,myself,127
486,else,else,127
487,complete,complete,127
488,received,received,127
489,options,options,127
490,awful,awful,126
491,search,search,125
492,completely,completely,125
493,prescription,prescription,125
494,downloaded,downloaded,125
495,manage,manage,125
496,web,web,124
497,feel,feel,124
498,part,part,124
499,ease,ease,124
500,told,told,123
501,garbage,garbage,123
502,summary,summary,122
503,directly,directly,122
504,seem,seem,122
505,reminder,reminder,121
506,person,person,121
507,kept,kept,121
508,uses,uses,121
509,receive,receive,120
510,switch,switch,120
511,forget,forget,119
512,medicine,medicine,119
513,cool,cool,119
514,nurse,nurse,118
515,home,home,118
516,these,these,118
517,accounts,accounts,117
518,buggy,buggy,117
519,pay,pay,116
520,seeing,seeing,116
521,during,during,116
522,otherwise,otherwise,116
523,accept,accept,116
524,chart,chart,116
525,reports,reports,115
526,type,type,115
527,top,top,115
528,notifications,notifications,115
529,wont,wont,115
530,accurate,accurate,115
531,she,she,114
532,highly,highly,113
533,telling,telling,113
534,sending,sending,113
535,uninstall,uninstall,113
