,title,rating,isEdited,content,userName,date,developerBody,developerID,developerModified,sentenceNumber,sentence,reviewNumber
0,A pretty easy and inclusive app… except for ONE thing,4,False,"a pretty easy and inclusive app… except for one thing. this app is amazing in that you can set up appointments, see your appointment schedule, see your lab results and even converse with your medical team. it is failing in one aspect for me that would put it over the top: including a way to add appointments into ones own ical, google, hotmail, yahoo, whatever calendar without them having to do so manually. for a patient such as myself, when i have a full days worth of appointments, i’d like to be able to transfer it into my own calendar seamlessly so i may schedule work/events around it. as of now i’m having to add a full days worth of appointments (more than 7) individually and manually instead of it just syncing up or copying to my calendar. if you can add this feature, that would be amazing- thank you!",Nikkideez,2021-09-13 21:17:25,nan,nan,nan,1,a pretty easy and inclusive app  except for one thing.,1
1,A pretty easy and inclusive app… except for ONE thing,4,False,"a pretty easy and inclusive app… except for one thing. this app is amazing in that you can set up appointments, see your appointment schedule, see your lab results and even converse with your medical team. it is failing in one aspect for me that would put it over the top: including a way to add appointments into ones own ical, google, hotmail, yahoo, whatever calendar without them having to do so manually. for a patient such as myself, when i have a full days worth of appointments, i’d like to be able to transfer it into my own calendar seamlessly so i may schedule work/events around it. as of now i’m having to add a full days worth of appointments (more than 7) individually and manually instead of it just syncing up or copying to my calendar. if you can add this feature, that would be amazing- thank you!",Nikkideez,2021-09-13 21:17:25,nan,nan,nan,2,"this app is amazing in that you can set up appointments, see your appointment schedule, see your lab results and even converse with your medical team.",1
2,A pretty easy and inclusive app… except for ONE thing,4,False,"a pretty easy and inclusive app… except for one thing. this app is amazing in that you can set up appointments, see your appointment schedule, see your lab results and even converse with your medical team. it is failing in one aspect for me that would put it over the top: including a way to add appointments into ones own ical, google, hotmail, yahoo, whatever calendar without them having to do so manually. for a patient such as myself, when i have a full days worth of appointments, i’d like to be able to transfer it into my own calendar seamlessly so i may schedule work/events around it. as of now i’m having to add a full days worth of appointments (more than 7) individually and manually instead of it just syncing up or copying to my calendar. if you can add this feature, that would be amazing- thank you!",Nikkideez,2021-09-13 21:17:25,nan,nan,nan,3,"it is failing in one aspect for me that would put it over the top: including a way to add appointments into ones own ical, google, hobnail, yahoo, whatever calendar without them having to do so manually.",1
3,A pretty easy and inclusive app… except for ONE thing,4,False,"a pretty easy and inclusive app… except for one thing. this app is amazing in that you can set up appointments, see your appointment schedule, see your lab results and even converse with your medical team. it is failing in one aspect for me that would put it over the top: including a way to add appointments into ones own ical, google, hotmail, yahoo, whatever calendar without them having to do so manually. for a patient such as myself, when i have a full days worth of appointments, i’d like to be able to transfer it into my own calendar seamlessly so i may schedule work/events around it. as of now i’m having to add a full days worth of appointments (more than 7) individually and manually instead of it just syncing up or copying to my calendar. if you can add this feature, that would be amazing- thank you!",Nikkideez,2021-09-13 21:17:25,nan,nan,nan,4,"for a patient such as myself, when i have a full days worth of appointments, i had like to be able to transfer it into my own calendar seamlessly so i may schedule work  or  events around it.",1
4,A pretty easy and inclusive app… except for ONE thing,4,False,"a pretty easy and inclusive app… except for one thing. this app is amazing in that you can set up appointments, see your appointment schedule, see your lab results and even converse with your medical team. it is failing in one aspect for me that would put it over the top: including a way to add appointments into ones own ical, google, hotmail, yahoo, whatever calendar without them having to do so manually. for a patient such as myself, when i have a full days worth of appointments, i’d like to be able to transfer it into my own calendar seamlessly so i may schedule work/events around it. as of now i’m having to add a full days worth of appointments (more than 7) individually and manually instead of it just syncing up or copying to my calendar. if you can add this feature, that would be amazing- thank you!",Nikkideez,2021-09-13 21:17:25,nan,nan,nan,5,as of now i do not having to add a full days worth of appointments (more than 7) individually and manually instead of it just syncing up or copying to my calendar.,1
5,A pretty easy and inclusive app… except for ONE thing,4,False,"a pretty easy and inclusive app… except for one thing. this app is amazing in that you can set up appointments, see your appointment schedule, see your lab results and even converse with your medical team. it is failing in one aspect for me that would put it over the top: including a way to add appointments into ones own ical, google, hotmail, yahoo, whatever calendar without them having to do so manually. for a patient such as myself, when i have a full days worth of appointments, i’d like to be able to transfer it into my own calendar seamlessly so i may schedule work/events around it. as of now i’m having to add a full days worth of appointments (more than 7) individually and manually instead of it just syncing up or copying to my calendar. if you can add this feature, that would be amazing- thank you!",Nikkideez,2021-09-13 21:17:25,nan,nan,nan,6,"if you can add this feature, that would be amazing - thank you!",1
6,Navigating the Mayo system,3,False,navigating the mayo system. i love mayo and we have been with it since we lived in minnesota. but once we moved to scottsdale we could not move our primary care doctor here to mayo in that we were over 65. that was a low blow after being with mayo in rochester and having all of our medical care there for years. the other thing i find is that the mayo system is difficult to navigate. until you’re the one doing all of the navigating you don’t realize the difficulty involved. because they do not take medicare you have to pay the bills and never seem to match the payment schedule and so i put an xl spreadsheet together and put took it to the finance department. he told me that it is impossible to use the spreadsheet to figure out pay and even he had difficulty explaining it to me. that being said i still think it’s the finest medical facility in arizona but it certainly is difficult to navigate. on the website i find that if you request a response from the medical team you will get a quick response. i also find they telemedicine more and not being able to meet with doctors. i also find that pas and mps are meeting with you rather than doctors more often. i find them taking extraordinary covid precautions and felt very safe once i got into the facility.,kayaklafy,2020-07-17 16:48:47,nan,nan,nan,1,navigating the mayo system.,2
7,Navigating the Mayo system,3,False,navigating the mayo system. i love mayo and we have been with it since we lived in minnesota. but once we moved to scottsdale we could not move our primary care doctor here to mayo in that we were over 65. that was a low blow after being with mayo in rochester and having all of our medical care there for years. the other thing i find is that the mayo system is difficult to navigate. until you’re the one doing all of the navigating you don’t realize the difficulty involved. because they do not take medicare you have to pay the bills and never seem to match the payment schedule and so i put an xl spreadsheet together and put took it to the finance department. he told me that it is impossible to use the spreadsheet to figure out pay and even he had difficulty explaining it to me. that being said i still think it’s the finest medical facility in arizona but it certainly is difficult to navigate. on the website i find that if you request a response from the medical team you will get a quick response. i also find they telemedicine more and not being able to meet with doctors. i also find that pas and mps are meeting with you rather than doctors more often. i find them taking extraordinary covid precautions and felt very safe once i got into the facility.,kayaklafy,2020-07-17 16:48:47,nan,nan,nan,2,i love mayo and we have been with it since we lived in minnesota.,2
8,Navigating the Mayo system,3,False,navigating the mayo system. i love mayo and we have been with it since we lived in minnesota. but once we moved to scottsdale we could not move our primary care doctor here to mayo in that we were over 65. that was a low blow after being with mayo in rochester and having all of our medical care there for years. the other thing i find is that the mayo system is difficult to navigate. until you’re the one doing all of the navigating you don’t realize the difficulty involved. because they do not take medicare you have to pay the bills and never seem to match the payment schedule and so i put an xl spreadsheet together and put took it to the finance department. he told me that it is impossible to use the spreadsheet to figure out pay and even he had difficulty explaining it to me. that being said i still think it’s the finest medical facility in arizona but it certainly is difficult to navigate. on the website i find that if you request a response from the medical team you will get a quick response. i also find they telemedicine more and not being able to meet with doctors. i also find that pas and mps are meeting with you rather than doctors more often. i find them taking extraordinary covid precautions and felt very safe once i got into the facility.,kayaklafy,2020-07-17 16:48:47,nan,nan,nan,3,but once we moved to scottsdale we could not move our primary care doctor here to mayo in that we were over 65.,2
9,Navigating the Mayo system,3,False,navigating the mayo system. i love mayo and we have been with it since we lived in minnesota. but once we moved to scottsdale we could not move our primary care doctor here to mayo in that we were over 65. that was a low blow after being with mayo in rochester and having all of our medical care there for years. the other thing i find is that the mayo system is difficult to navigate. until you’re the one doing all of the navigating you don’t realize the difficulty involved. because they do not take medicare you have to pay the bills and never seem to match the payment schedule and so i put an xl spreadsheet together and put took it to the finance department. he told me that it is impossible to use the spreadsheet to figure out pay and even he had difficulty explaining it to me. that being said i still think it’s the finest medical facility in arizona but it certainly is difficult to navigate. on the website i find that if you request a response from the medical team you will get a quick response. i also find they telemedicine more and not being able to meet with doctors. i also find that pas and mps are meeting with you rather than doctors more often. i find them taking extraordinary covid precautions and felt very safe once i got into the facility.,kayaklafy,2020-07-17 16:48:47,nan,nan,nan,4,that was a low blow after being with mayo in rochester and having all of our medical care there for years.,2
