,reviewId,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at,replyContent,repliedAt,sentenceNumber,sentence,reviewNumber
0,gp:AOqpTOGA3rWeQ4j-Vr4Qy_NOCFI7zUxR7u4pW7-dWscd8kAg8DTpqTx05wPPeSbbV2UVGZRFxzWhui-hvoNa_Q,Kirk Severson,https://play-lh.googleusercontent.com/a-/AOh14GgOfo2qzS__Lo1tvUdHnhqz9vqtXzeR_yLat6t4mb4,kicks user out if you go to another app after authenticating.,2,0,8.8,2022-05-13 10:11:23,nan,nan,1,kicks user out if you go to another app after authenticating.,1
1,gp:AOqpTOH46pJ-etZ6z8Yklyw6tu8LxxCHcnnoTvlVO9kCvb40I2Aum_BICr_oUkb_om15mJqBZQBAMMyHMsswBw,Linda Chojnacki,https://play-lh.googleusercontent.com/a/AATXAJx9Yh7_3eASuPyaA5RKloJIzcKntRFfZNj7SvbBTQ=mo,difficult to find current information,3,0,nan,2022-05-09 14:09:46,nan,nan,1,difficult to find current information,2
2,gp:AOqpTOGiiF5aHVTWU6i3mH8PSUjijND1ldeTfe8z0n8FI6HjHwO_XOnOLd-LImbMtk3WrKNj5IHi_lYwXgM6_g,Rick George,https://play-lh.googleusercontent.com/a/AATXAJwtCC4ECcJ82DzKA5mwPYrQWlfP4MbW_VkL4vSP=mo,can't get logged into patient portal,1,0,8.8,2022-05-09 05:27:56,nan,nan,1,cannot get logged into patient portal,3
3,gp:AOqpTOGslZ_O5aL7WPplOjcdYJ1g4bktqvx2MNf557wBqxCrJz73kq5VQorXLfTPinHQxHn6U9t5csy6qScqrQ,Lisabeth Dixon,https://play-lh.googleusercontent.com/a/AATXAJxtfwB0TAhOcLttO_2dfo1dm2Or6UA5vlDDOaE2=mo,lisabethdixon save,5,0,nan,2022-05-08 22:59:38,nan,nan,1,lisabethdixon save,4
4,gp:AOqpTOEhIM0rMN8caC1jkWNQGujHDpx2E-gWykDRei78GZtllqPCVfgWGvSRCPPFxVObBft3DN0iRCJoCsCDlQ,Shelley Belsky,https://play-lh.googleusercontent.com/a-/AOh14GiPRAZx2S_lPq-mqnep2sz-eN22uDaoeecVb1m2jA,trouble free.,5,0,8.8,2022-05-08 13:45:36,nan,nan,1,trouble free.,5
5,gp:AOqpTOGm8CxJDbKZvqFBYNQtTSm1KAeZYdolNDcEFHUlLUqew8DQsbuyj1Zi1QmEzx8FKG6aKDoUPCOpiAzEWw,Craig Krueger,https://play-lh.googleusercontent.com/a/AATXAJw6wCGEu7S0PZ3vXx6WmtHZQvOkmW9kT_hcagha=mo,medical records are good 👍,5,0,8.8,2022-05-07 16:58:13,nan,nan,1,medical records are good  :thumbs_up:,6
6,gp:AOqpTOG7EwuV41D3_UIoJ4x3eRANJgggIBoXeykQaEyjdLxEKTafZQ_73ESryEfSOuTNOIRJk0hytsl8qR7B1Q,Bill York,https://play-lh.googleusercontent.com/a-/AOh14GgKdRpmt8ywTc0rJwZdCq5GHLkaiAJbaJa9Q7QsRg,"top notch doctor's & nurses & support staff. scheduled tests almost immediate call to perform test ordered, sometimes even before you sit down & wait for your name to be called. extremely top professionals. hallways & skyway & elevator help by many hallway assistants between buildings & clinics, to the point of escorting to appropriate elevators for your doctor's appointments & test clinics, blood draws, x-rays, ekg tests & general directions. my hotel was directly across the street door to door",5,0,8.8,2022-05-07 14:49:40,nan,nan,1,top notch doctor's  and  nurses  and  support staff.,7
7,gp:AOqpTOG7EwuV41D3_UIoJ4x3eRANJgggIBoXeykQaEyjdLxEKTafZQ_73ESryEfSOuTNOIRJk0hytsl8qR7B1Q,Bill York,https://play-lh.googleusercontent.com/a-/AOh14GgKdRpmt8ywTc0rJwZdCq5GHLkaiAJbaJa9Q7QsRg,"top notch doctor's & nurses & support staff. scheduled tests almost immediate call to perform test ordered, sometimes even before you sit down & wait for your name to be called. extremely top professionals. hallways & skyway & elevator help by many hallway assistants between buildings & clinics, to the point of escorting to appropriate elevators for your doctor's appointments & test clinics, blood draws, x-rays, ekg tests & general directions. my hotel was directly across the street door to door",5,0,8.8,2022-05-07 14:49:40,nan,nan,2,"scheduled tests almost immediate call to perform test ordered, sometimes even before you sit down  and  wait for your name to be called.",7
8,gp:AOqpTOG7EwuV41D3_UIoJ4x3eRANJgggIBoXeykQaEyjdLxEKTafZQ_73ESryEfSOuTNOIRJk0hytsl8qR7B1Q,Bill York,https://play-lh.googleusercontent.com/a-/AOh14GgKdRpmt8ywTc0rJwZdCq5GHLkaiAJbaJa9Q7QsRg,"top notch doctor's & nurses & support staff. scheduled tests almost immediate call to perform test ordered, sometimes even before you sit down & wait for your name to be called. extremely top professionals. hallways & skyway & elevator help by many hallway assistants between buildings & clinics, to the point of escorting to appropriate elevators for your doctor's appointments & test clinics, blood draws, x-rays, ekg tests & general directions. my hotel was directly across the street door to door",5,0,8.8,2022-05-07 14:49:40,nan,nan,3,extremely top professionals.,7
9,gp:AOqpTOG7EwuV41D3_UIoJ4x3eRANJgggIBoXeykQaEyjdLxEKTafZQ_73ESryEfSOuTNOIRJk0hytsl8qR7B1Q,Bill York,https://play-lh.googleusercontent.com/a-/AOh14GgKdRpmt8ywTc0rJwZdCq5GHLkaiAJbaJa9Q7QsRg,"top notch doctor's & nurses & support staff. scheduled tests almost immediate call to perform test ordered, sometimes even before you sit down & wait for your name to be called. extremely top professionals. hallways & skyway & elevator help by many hallway assistants between buildings & clinics, to the point of escorting to appropriate elevators for your doctor's appointments & test clinics, blood draws, x-rays, ekg tests & general directions. my hotel was directly across the street door to door",5,0,8.8,2022-05-07 14:49:40,nan,nan,4,"hallways  and  skyway  and  elevator help by many hallway assistants between buildings  and  clinics, to the point of escorting to appropriate elevators for your doctor's appointments  and  test clinics, blood draws, x - rays, ekg tests  and  general directions.",7
10,gp:AOqpTOG7EwuV41D3_UIoJ4x3eRANJgggIBoXeykQaEyjdLxEKTafZQ_73ESryEfSOuTNOIRJk0hytsl8qR7B1Q,Bill York,https://play-lh.googleusercontent.com/a-/AOh14GgKdRpmt8ywTc0rJwZdCq5GHLkaiAJbaJa9Q7QsRg,"top notch doctor's & nurses & support staff. scheduled tests almost immediate call to perform test ordered, sometimes even before you sit down & wait for your name to be called. extremely top professionals. hallways & skyway & elevator help by many hallway assistants between buildings & clinics, to the point of escorting to appropriate elevators for your doctor's appointments & test clinics, blood draws, x-rays, ekg tests & general directions. my hotel was directly across the street door to door",5,0,8.8,2022-05-07 14:49:40,nan,nan,5,my hotel was directly across the street door to door,7
11,gp:AOqpTOE-tTs1Az41CerY8M-3Wq05DnybFHpUtHNtwhhIVsGb5JmbZA1QJmpE2-8iYxo18WNBf7qW8iozerqGmw,Feliciano Vargis,https://play-lh.googleusercontent.com/a-/AOh14GjE3AYJQM_ve2HtluRdKvYVwgtFySXyuJjSt559qw,after the new update i can't view messages,3,0,8.8,2022-05-07 05:48:45,nan,nan,1,after the new update i cannot view messages,8
12,gp:AOqpTOF_3oNARB7mKgcNLID87i1BEjfdlK4HerMGyBwN5JvwxmVpO8sN4nXuMcV3cKvaSWM0I30jsS2G9Rsr5g,Angela Roberson,https://play-lh.googleusercontent.com/a-/AOh14GjPB0oSEdLRO5ZvrvHoT1NJL9HmdTjty6MGnQBD,excellent way of capturing information.,5,0,8.8,2022-05-06 04:47:20,nan,nan,1,excellent way of capturing information.,9
13,gp:AOqpTOGALHC_9vI10OHH8ZW-Jm8Nny0rlWF2IXHG1vosnBEKf5xd5sKnuk7EVRo15jUjPO2RecjHmeQ5jFYaUg,Dorothy Morson,https://play-lh.googleusercontent.com/a-/AOh14Gj642r_jFUi8cZxQ6gTPlJN5BOTd-djpWk0w8ksFw,not very friendly to those who are visually impaired.,3,0,8.8,2022-05-05 18:13:43,nan,nan,1,not very friendly to those who are visually impaired.,10
14,gp:AOqpTOGVQxTbKayYRvjE_RKnSdGz1xGY93F3UU1QL43pyoEavHzVbb2xaWeniZZg09VNYSa_q4zJxUkTcqgBqw,Dennis Toussaint,https://play-lh.googleusercontent.com/a/AATXAJwS0IxtWdSEE4SDbH-nTlVnPhgvH7FUsIcamDTa=mo,so far great,5,0,8.8,2022-05-05 07:15:35,nan,nan,1,so far great,11
15,gp:AOqpTOFZQ10BfUjULCucRj_oNwj7tF9QDlADIdL4qUmPs19FW23T-5NnAue4b2JrkoT5gHVkTUqe0o1RujWvmQ,sunvalley surf,https://play-lh.googleusercontent.com/a-/AOh14GhJ-0T8uVtXrhb2kanqX5ocETk69SvkShBhJ44xHug,excelente,5,0,8.8,2022-05-04 19:01:15,nan,nan,1,excellent,12
16,gp:AOqpTOFa1XDyw2xbXnsX0zqR7ow7uLgB2R-wCk98aoGONsC4pj_ykzKAxPLyRgG4e4tjmi4WqKlzkjBsk5d-DQ,Kristin L,https://play-lh.googleusercontent.com/a/AATXAJw1hyy7G2BDZiSuVrrYcpn6-6D5VOJ95W-5oVuj=mo,"after recent updates, login keeps resetting and taking me back to the website.",2,5,8.8,2022-05-03 08:24:45,nan,nan,1,"after recent updates, login keeps resetting and taking me back to the website.",13
17,gp:AOqpTOErrcFZgznc32EyUC596EGyf_crufAzGP2CAKeq6ZlVNOhe8EpOEmw5WcMyUaR87a2L7qyBznl9K5DP9w,Roberta Obezo,https://play-lh.googleusercontent.com/a/AATXAJzvRkR0whp9UqwRE_TqsKbNKv0oSWNTFgvTLjtG=mo,easy to use and understand.,5,0,8.8,2022-05-02 21:27:26,nan,nan,1,easy to use and understand.,14
18,gp:AOqpTOH0b0GtytajWX4jXQHoyb6KzlA5bCIpEbK0JWOZXnLyko1TQQPd0oV8Knbpx8ENUtcj1191oibLMYDteg,Susan Curran,https://play-lh.googleusercontent.com/a/AATXAJy4j4aOo97c7TnozqfyWAw5Ed9b0qQ0d6XTu5PW=mo,is completely useless.. nothing opens,1,0,8.8,2022-05-02 17:31:12,nan,nan,1,is completely useless.. nothing opens,15
19,gp:AOqpTOGbbRUIjgXpGC-yxsFlRSEFinQrDbZnVRu9WxoZJs7RVnAJ9_vhs5H9RdnbZV6tw-v65y8P2vEBQrDjMw,Melissa Hallum,https://play-lh.googleusercontent.com/a-/AOh14GhO6cx6e7V4FQJuJMPBJCbRJVCaOYVvRlrt668_3k8,"always having issues with logging in. actually have to use the website just to log in 80% of the time, but i like the push notifications that come from the app. just recently signed up for two-factor authentication hoping it might fix some issues, but now im just stuck in an endless loop. wish they'd just go to mychart instead.",1,0,8.8,2022-05-02 17:23:10,nan,nan,1,always having issues with logging in.,16
20,gp:AOqpTOGbbRUIjgXpGC-yxsFlRSEFinQrDbZnVRu9WxoZJs7RVnAJ9_vhs5H9RdnbZV6tw-v65y8P2vEBQrDjMw,Melissa Hallum,https://play-lh.googleusercontent.com/a-/AOh14GhO6cx6e7V4FQJuJMPBJCbRJVCaOYVvRlrt668_3k8,"always having issues with logging in. actually have to use the website just to log in 80% of the time, but i like the push notifications that come from the app. just recently signed up for two-factor authentication hoping it might fix some issues, but now im just stuck in an endless loop. wish they'd just go to mychart instead.",1,0,8.8,2022-05-02 17:23:10,nan,nan,2,"actually have to use the website just to log in 80  percent  of the time, but i like the push notifications that come from the app.",16
21,gp:AOqpTOGbbRUIjgXpGC-yxsFlRSEFinQrDbZnVRu9WxoZJs7RVnAJ9_vhs5H9RdnbZV6tw-v65y8P2vEBQrDjMw,Melissa Hallum,https://play-lh.googleusercontent.com/a-/AOh14GhO6cx6e7V4FQJuJMPBJCbRJVCaOYVvRlrt668_3k8,"always having issues with logging in. actually have to use the website just to log in 80% of the time, but i like the push notifications that come from the app. just recently signed up for two-factor authentication hoping it might fix some issues, but now im just stuck in an endless loop. wish they'd just go to mychart instead.",1,0,8.8,2022-05-02 17:23:10,nan,nan,3,"just recently signed up for two - factor authentication hoping it might fix some issues, but now im just stuck in an endless loop.",16
22,gp:AOqpTOGbbRUIjgXpGC-yxsFlRSEFinQrDbZnVRu9WxoZJs7RVnAJ9_vhs5H9RdnbZV6tw-v65y8P2vEBQrDjMw,Melissa Hallum,https://play-lh.googleusercontent.com/a-/AOh14GhO6cx6e7V4FQJuJMPBJCbRJVCaOYVvRlrt668_3k8,"always having issues with logging in. actually have to use the website just to log in 80% of the time, but i like the push notifications that come from the app. just recently signed up for two-factor authentication hoping it might fix some issues, but now im just stuck in an endless loop. wish they'd just go to mychart instead.",1,0,8.8,2022-05-02 17:23:10,nan,nan,4,wish they had just go to mychart instead.,16
23,gp:AOqpTOGCH_rMaxP4ybPAXKqbCJ3NTbxFr5Pu8tpH-suI2aHx-Qwiy7MeA19Socjq169Y-719EEfEBK2gIKVEtg,April,https://play-lh.googleusercontent.com/a/AATXAJyEE-XZbPR3oFWcj1zD2orbP7lRzJTBeUGz96h2=mo,easy to navigate. have had no issues with this app,5,0,nan,2022-04-30 21:44:17,nan,nan,1,easy to navigate.,17
24,gp:AOqpTOGCH_rMaxP4ybPAXKqbCJ3NTbxFr5Pu8tpH-suI2aHx-Qwiy7MeA19Socjq169Y-719EEfEBK2gIKVEtg,April,https://play-lh.googleusercontent.com/a/AATXAJyEE-XZbPR3oFWcj1zD2orbP7lRzJTBeUGz96h2=mo,easy to navigate. have had no issues with this app,5,0,nan,2022-04-30 21:44:17,nan,nan,2,have had no issues with this app,17
25,gp:AOqpTOEHvNtZ3r8omyKiFmsyHahI-RtMp_6gcRU59INw74HOe2kjBURh73XsvmRvF8BNPH9fdlR6JdMNgwx5Wg,Kara M,https://play-lh.googleusercontent.com/a/AATXAJxt6YoV7s7IzOBjuS_sOYekmj_HKI3p0WM7tgNg=mo,you have to go to web site to login before using. no biometric login. real pain now.,1,0,8.8,2022-04-29 15:02:26,nan,nan,1,you have to go to web site to login before using.,18
26,gp:AOqpTOEHvNtZ3r8omyKiFmsyHahI-RtMp_6gcRU59INw74HOe2kjBURh73XsvmRvF8BNPH9fdlR6JdMNgwx5Wg,Kara M,https://play-lh.googleusercontent.com/a/AATXAJxt6YoV7s7IzOBjuS_sOYekmj_HKI3p0WM7tgNg=mo,you have to go to web site to login before using. no biometric login. real pain now.,1,0,8.8,2022-04-29 15:02:26,nan,nan,2,no biometric login.,18
27,gp:AOqpTOEHvNtZ3r8omyKiFmsyHahI-RtMp_6gcRU59INw74HOe2kjBURh73XsvmRvF8BNPH9fdlR6JdMNgwx5Wg,Kara M,https://play-lh.googleusercontent.com/a/AATXAJxt6YoV7s7IzOBjuS_sOYekmj_HKI3p0WM7tgNg=mo,you have to go to web site to login before using. no biometric login. real pain now.,1,0,8.8,2022-04-29 15:02:26,nan,nan,3,real pain now.,18
28,gp:AOqpTOGTZriiz33rvOexzpEC1MWq8_dpJSRBZMn1oZJYEd9JQwcBu4IYD44RCnvubA_xtW1BPoKLCtYbel4aWg,Jeremy Barton,https://play-lh.googleusercontent.com/a-/AOh14GiCSbtx977N7AXXfPpLB2H1Hbp0pg6Q8zwT6STSoQ,"i've been in and out of the mayo hospital since my vehicle accident delivering mail north of colfax, wi. the app has kept me up to date on all my lab, radiology and other test results. i love how i can access the notes and documents on my visits from all departments. those are all helpful tools that allow me to track my progress, and at times, answer a question that had saved me from needing to call. the message system works as nice as texting.",5,8,8.8,2022-04-28 14:47:32,nan,nan,1,"it is been in and out of the mayo hospital since my vehicle accident delivering mail north of collar, wi.",19
29,gp:AOqpTOGTZriiz33rvOexzpEC1MWq8_dpJSRBZMn1oZJYEd9JQwcBu4IYD44RCnvubA_xtW1BPoKLCtYbel4aWg,Jeremy Barton,https://play-lh.googleusercontent.com/a-/AOh14GiCSbtx977N7AXXfPpLB2H1Hbp0pg6Q8zwT6STSoQ,"i've been in and out of the mayo hospital since my vehicle accident delivering mail north of colfax, wi. the app has kept me up to date on all my lab, radiology and other test results. i love how i can access the notes and documents on my visits from all departments. those are all helpful tools that allow me to track my progress, and at times, answer a question that had saved me from needing to call. the message system works as nice as texting.",5,8,8.8,2022-04-28 14:47:32,nan,nan,2,"the app has kept me up to date on all my lab, radiology and other test results.",19
30,gp:AOqpTOGTZriiz33rvOexzpEC1MWq8_dpJSRBZMn1oZJYEd9JQwcBu4IYD44RCnvubA_xtW1BPoKLCtYbel4aWg,Jeremy Barton,https://play-lh.googleusercontent.com/a-/AOh14GiCSbtx977N7AXXfPpLB2H1Hbp0pg6Q8zwT6STSoQ,"i've been in and out of the mayo hospital since my vehicle accident delivering mail north of colfax, wi. the app has kept me up to date on all my lab, radiology and other test results. i love how i can access the notes and documents on my visits from all departments. those are all helpful tools that allow me to track my progress, and at times, answer a question that had saved me from needing to call. the message system works as nice as texting.",5,8,8.8,2022-04-28 14:47:32,nan,nan,3,i love how i can access the notes and documents on my visits from all departments.,19
31,gp:AOqpTOGTZriiz33rvOexzpEC1MWq8_dpJSRBZMn1oZJYEd9JQwcBu4IYD44RCnvubA_xtW1BPoKLCtYbel4aWg,Jeremy Barton,https://play-lh.googleusercontent.com/a-/AOh14GiCSbtx977N7AXXfPpLB2H1Hbp0pg6Q8zwT6STSoQ,"i've been in and out of the mayo hospital since my vehicle accident delivering mail north of colfax, wi. the app has kept me up to date on all my lab, radiology and other test results. i love how i can access the notes and documents on my visits from all departments. those are all helpful tools that allow me to track my progress, and at times, answer a question that had saved me from needing to call. the message system works as nice as texting.",5,8,8.8,2022-04-28 14:47:32,nan,nan,4,"those are all helpful tools that allow me to track my progress, and at times, answer a question that had saved me from needing to call.",19
32,gp:AOqpTOGTZriiz33rvOexzpEC1MWq8_dpJSRBZMn1oZJYEd9JQwcBu4IYD44RCnvubA_xtW1BPoKLCtYbel4aWg,Jeremy Barton,https://play-lh.googleusercontent.com/a-/AOh14GiCSbtx977N7AXXfPpLB2H1Hbp0pg6Q8zwT6STSoQ,"i've been in and out of the mayo hospital since my vehicle accident delivering mail north of colfax, wi. the app has kept me up to date on all my lab, radiology and other test results. i love how i can access the notes and documents on my visits from all departments. those are all helpful tools that allow me to track my progress, and at times, answer a question that had saved me from needing to call. the message system works as nice as texting.",5,8,8.8,2022-04-28 14:47:32,nan,nan,5,the message system works as nice as texting.,19
33,gp:AOqpTOHGpIWpsVarX1QPR3f6aTDBJuP2q4v_HiH0Tb87PfwUFGPRgvHTk3UAvxbzYzpjEFu5dM0T4RyxRHktag,robby wahl,https://play-lh.googleusercontent.com/a/AATXAJzkreSo3-aPh9cQba9FJS40hIk13hmCHz8vdsmy=mo,very helpful tool to get a hold of your doctors and find out information,5,0,8.8,2022-04-27 12:48:32,nan,nan,1,very helpful tool to get a hold of your doctors and find out information,20
34,gp:AOqpTOGcqz9HKgK_Fy_A3fEOWjTIpWWFarul7FSGLp9xP2H4M1Z3eI8jEjEIxdcu2UrZOLphRGLscztlYqTGgQ,Becky Reynolds,https://play-lh.googleusercontent.com/a-/AOh14Gh9w6clHAGT2zVraHk4CnSIeh_9LjI6VlSvL6msbw,excellent,5,0,8.8,2022-04-26 10:42:13,nan,nan,1,excellent,21
35,gp:AOqpTOEY34-PS3f9BvJOAPmBKkURGp8xXF-pBlYRBXioOma2eX3BNjjnBbc-DkJH4HD_vC6RyOn4XHZS4v3DTw,Carole furness white,https://play-lh.googleusercontent.com/a-/AOh14Gju3hIR4FmCDW_lLUYnR-FZ6i4R7cRTivwWG8yD,i have had more trouble with this satellite clinic i need rochrster mayo the actual mayo clinic. i cannot walk...they don't care about this or me. i am alone with no family....i need a safe place to live. i not safe here an refuse to go into details. i lost my doctor who cared about me. they know nothing about chronic anxiety. my bp is 188 over 109....i have sasha helping me. i like dr. .i've dr. michele...want nothing to do with some dr. named kashi or some nameike that. i have doctors,1,0,8.8,2022-04-26 10:32:40,nan,nan,1,i have had more trouble with this satellite clinic i need rochester mayo the actual mayo clinic.,22
