"conversation_id"	"disease_id"	"title"	"url"
"HIF2016_DIS02_CONV19"	"HIF2016_DIS02"	"solid cystic complex cyst at 6 o' clock position"	"http://www.medhelp.org/posts/Breast-Cancer/solid-cystic-complex-cyst-at-6-o-clock-position/show/2782062"
"HIF2016_DIS02_CONV20"	"HIF2016_DIS02"	"Bleeding nipple led to MRI led to 3 masses found... :("	"http://www.medhelp.org/posts/Breast-Cancer/Bleeding-nipple-led-to-MRI-led-to-3-masses-found-/show/2750037"
"HIF2016_DIS02_CONV21"	"HIF2016_DIS02"	"Intraductal papilloma"	"http://www.medhelp.org/posts/Breast-Cancer/Intraductal-papilloma-/show/2796638"
"HIF2016_DIS02_CONV22"	"HIF2016_DIS02"	"Why not biopsy fine, linear calcifications?"	"http://www.medhelp.org/posts/Breast-Cancer/Why-not-biopsy-fine--linear-calcifications/show/2790381"
"HIF2016_DIS02_CONV23"	"HIF2016_DIS02"	"Incision from lumpectomy opened after 2 wks"	"http://www.medhelp.org/posts/Breast-Cancer/Incision-from-lumpectomy-opened-after-2-wks/show/932930"
"HIF2016_DIS02_CONV24"	"HIF2016_DIS02"	"Does this mean breast cancer?"	"http://www.medhelp.org/posts/Breast-Cancer/Does-this-mean-breast-cancer/show/2678948"
"HIF2016_DIS02_CONV25"	"HIF2016_DIS02"	"scared"	"http://www.medhelp.org/posts/Breast-Cancer/scared/show/2571869"
"HIF2016_DIS02_CONV26"	"HIF2016_DIS02"	"30 y old with breast lesion"	"http://www.medhelp.org/posts/Breast-Cancer/30-y-old-with-breast-lesion/show/2390294"
"HIF2016_DIS02_CONV27"	"HIF2016_DIS02"	"Invasive Ductal Carcinoma Breast Cancer"	"http://www.medhelp.org/posts/Breast-Cancer-Stage-3--4/Invasive-Ductal-Carcinoma-Breast-Cancer/show/592033"
"HIF2016_DIS02_CONV28"	"HIF2016_DIS02"	"what is the prognois when breast cancer is now in the bones"	"http://www.medhelp.org/posts/Breast-Cancer-Stage-3--4/what-is-the-prognois-when-breast-cancer-is-now-in-the-bones/show/751559"
"HIF2016_DIS02_CONV29"	"HIF2016_DIS02"	"Should I start Fentanyl patch?"	"http://www.medhelp.org/posts/Breast-Cancer-Stage-3--4/Should-I-start-Fentanyl-patch/show/1306572"
