"sentence_id"	"factuality"
"3200641"	"EXPERIENCE"
"723669985"	"EXPERIENCE"
"854000624"	"FACT"
"1391179720"	"EXPERIENCE"
"498105525"	"EXPERIENCE"
"1812727407"	"NOT_LABELED"
"62677744"	"OPINION"
"1755719858"	"FACT"
"1519275040"	"EXPERIENCE"
"311439097"	"FACT"
"693470924"	"OPINION"
"1319895279"	"FACT"
"1638474666"	"OPINION"
"905622767"	"FACT"
"2368849"	"NOT_LABELED"
"372890119"	"EXPERIENCE"
"1686062363"	"EXPERIENCE"
"539236361"	"EXPERIENCE"
"1199405826"	"EXPERIENCE"
"151255906"	"OPINION"
"2049077610"	"EXPERIENCE"
"732130386"	"OPINION"
"162100320"	"FACT"
"1638614757"	"EXPERIENCE"
"1217049528"	"OPINION"
"10058081"	"FACT"
"1658197122"	"FACT"
"357633874"	"FACT"
"2073128684"	"FACT"
"969267348"	"OPINION"
"2108049750"	"OPINION"
"5814195"	"NOT_LABELED"
"1675462675"	"OPINION"
"859206477"	"OPINION"
"16826722212"	"NOT_LABELED"
"600421756"	"NOT_LABELED"
"1371470956"	"NOT_LABELED"
"978100421"	"EXPERIENCE"
"2039809941"	"EXPERIENCE"
"1726337131"	"EXPERIENCE"
"45765876876"	"NOT_LABELED"
"1882684995"	"OPINION"
"1628172103"	"OPINION"
"1421848086"	"FACT"
"9374785"	"FACT"
"850463349"	"NOT_LABELED"
"1574932099"	"OPINION"
"539543380"	"EXPERIENCE"
"754044811"	"NOT_LABELED"
"1169023776"	"NOT_LABELED"
"59875963"	"NOT_LABELED"
"1564083323"	"NOT_LABELED"
"1489697776"	"FACT"
"1535481816"	"FACT"
"1122279503"	"FACT"
"644426490"	"NOT_LABELED"
"533221960"	"OPINION"
"546954081"	"NOT_LABELED"
"1627986864"	"FACT"
"28690323"	"FACT"
"1186772257"	"FACT"
"1728862905"	"FACT"
"1461688562"	"OPINION"
"1213127301"	"FACT"
"844830024"	"FACT"
"479878042"	"OPINION"
"1235527675"	"EXPERIENCE"
"308585013"	"FACT"
"1486693509"	"EXPERIENCE"
"862178379"	"EXPERIENCE"
"1185837189"	"EXPERIENCE"
"9241650"	"EXPERIENCE"
"237471698"	"EXPERIENCE"
"14428241"	"EXPERIENCE"
"1662218916"	"EXPERIENCE"
"187414046"	"EXPERIENCE"
"1444523861"	"EXPERIENCE"
"1924179098"	"OPINION"
"1933583773"	"NOT_LABELED"
"1175483145"	"EXPERIENCE"
"2067728968"	"EXPERIENCE"
"262568896"	"EXPERIENCE"
"1221713039"	"EXPERIENCE"
"1087508984"	"OPINION"
"2066420127"	"OPINION"
"570129863"	"FACT"
"762521868"	"EXPERIENCE"
"1796731347"	"OPINION"
"1904042908"	"OPINION"
"831638210"	"FACT"
"71572759"	"FACT"
"1927789875"	"FACT"
"66520145"	"FACT"
"1394333439"	"FACT"
"939521909"	"OPINION"
"1782905003"	"EXPERIENCE"
"1589109314"	"EXPERIENCE"
"1476656006"	"FACT"
"718921282"	"EXPERIENCE"
"1212185823"	"EXPERIENCE"
"2087976920"	"EXPERIENCE"
"674787377"	"EXPERIENCE"
"1885721267"	"EXPERIENCE"
"335207002"	"EXPERIENCE"
"386016851"	"EXPERIENCE"
"1450997466"	"EXPERIENCE"
"1262589102"	"EXPERIENCE"
"321157945"	"EXPERIENCE"
"686038999"	"EXPERIENCE"
"887434415"	"EXPERIENCE"
"2085619352"	"EXPERIENCE"
"683983237"	"EXPERIENCE"
"709328464"	"NOT_LABELED"
"262737796"	"FACT"
"2134288089"	"EXPERIENCE"
"1866483988"	"EXPERIENCE"
"2034329751"	"EXPERIENCE"
"667534424"	"EXPERIENCE"
"614947021"	"EXPERIENCE"
"9729629"	"EXPERIENCE"
"344614279"	"EXPERIENCE"
"2120486510"	"NOT_LABELED"
"128937231"	"EXPERIENCE"
"1603953479"	"EXPERIENCE"
"322377853"	"EXPERIENCE"
"1867514701"	"EXPERIENCE"
"1932414044"	"OPINION"
"644836440"	"EXPERIENCE"
"1981584201"	"EXPERIENCE"
"690587416"	"OPINION"
"1679128809"	"OPINION"
"1908656022"	"EXPERIENCE"
"1878043190"	"EXPERIENCE"
"868023078"	"EXPERIENCE"
"152009135"	"EXPERIENCE"
"613591560"	"EXPERIENCE"
"1688912719"	"EXPERIENCE"
"612703318"	"EXPERIENCE"
"48069383"	"EXPERIENCE"
"919428087"	"EXPERIENCE"
"848326480"	"EXPERIENCE"
"105264009"	"NOT_LABELED"
"1293256009"	"EXPERIENCE"
"1671910197"	"NOT_LABELED"
"1977723636"	"EXPERIENCE"
"5922268"	"OPINION"
"1690196307"	"EXPERIENCE"
"922182"	"EXPERIENCE"
"2128805109"	"EXPERIENCE"
"1704826779"	"EXPERIENCE"
"897078533"	"EXPERIENCE"
"696051937"	"OPINION"
"1301632843"	"OPINION"
"964467454"	"OPINION"
"852631363"	"FACT"
"1567069889"	"FACT"
"2345445656"	"FACT"
"589171702"	"FACT"
"1372751764"	"FACT"
"1369037780"	"EXPERIENCE"
"641703786"	"OPINION"
"315141950"	"FACT"
"965448192"	"FACT"
"813444280"	"EXPERIENCE"
"89606540"	"EXPERIENCE"
"66344832"	"EXPERIENCE"
"811325727"	"EXPERIENCE"
"805642126"	"NOT_LABELED"
"933917996"	"OPINION"
