"sentence_id"	"polarity"
"3200641"	"NEGATIVE"
"723669985"	"NEGATIVE"
"854000624"	"NEUTRAL"
"1391179720"	"NEUTRAL"
"498105525"	"NEUTRAL"
"1812727407"	"NOT_LABELED"
"62677744"	"NEUTRAL"
"1755719858"	"NEUTRAL"
"1519275040"	"NEUTRAL"
"311439097"	"NEUTRAL"
"693470924"	"NEUTRAL"
"1319895279"	"NEUTRAL"
"1638474666"	"NEGATIVE"
"905622767"	"NEUTRAL"
"2368849"	"NOT_LABELED"
"372890119"	"NEUTRAL"
"1686062363"	"NEGATIVE"
"539236361"	"NEGATIVE"
"1199405826"	"NEGATIVE"
"151255906"	"NEGATIVE"
"2049077610"	"NEUTRAL"
"732130386"	"NEGATIVE"
"162100320"	"NEUTRAL"
"1638614757"	"NEUTRAL"
"1217049528"	"NEGATIVE"
"10058081"	"NEUTRAL"
"1658197122"	"NEUTRAL"
"357633874"	"POSITIVE"
"2073128684"	"NEGATIVE"
"969267348"	"NEUTRAL"
"2108049750"	"NEUTRAL"
"5814195"	"NOT_LABELED"
"1675462675"	"POSITIVE"
"859206477"	"NEGATIVE"
"16826722212"	"POSITIVE"
"600421756"	"NOT_LABELED"
"1371470956"	"POSITIVE"
"978100421"	"NEUTRAL"
"2039809941"	"NEUTRAL"
"1726337131"	"NEGATIVE"
"45765876876"	"NOT_LABELED"
"1882684995"	"NEGATIVE"
"1628172103"	"NEGATIVE"
"1421848086"	"NEUTRAL"
"9374785"	"NEUTRAL"
"850463349"	"NEUTRAL"
"1574932099"	"POSITIVE"
"539543380"	"POSITIVE"
"754044811"	"NEUTRAL"
"1169023776"	"POSITIVE"
"59875963"	"POSITIVE"
"1564083323"	"NOT_LABELED"
"1489697776"	"NEUTRAL"
"1535481816"	"NEUTRAL"
"1122279503"	"NEUTRAL"
"644426490"	"NEUTRAL"
"533221960"	"POSITIVE"
"546954081"	"NOT_LABELED"
"1627986864"	"NEUTRAL"
"28690323"	"NEUTRAL"
"1186772257"	"NEGATIVE"
"1728862905"	"NEGATIVE"
"1461688562"	"NEUTRAL"
"1213127301"	"NEUTRAL"
"844830024"	"POSITIVE"
"479878042"	"NEUTRAL"
"1235527675"	"NEGATIVE"
"308585013"	"NEGATIVE"
"1486693509"	"NEGATIVE"
"862178379"	"NEUTRAL"
"1185837189"	"NEUTRAL"
"9241650"	"NEUTRAL"
"237471698"	"NEGATIVE"
"14428241"	"NEGATIVE"
"1662218916"	"NEGATIVE"
"187414046"	"NEGATIVE"
"1444523861"	"NEUTRAL"
"1924179098"	"NEUTRAL"
"1933583773"	"NEUTRAL"
"1175483145"	"NEUTRAL"
"2067728968"	"NEGATIVE"
"262568896"	"NEGATIVE"
"1221713039"	"NEGATIVE"
"1087508984"	"NEUTRAL"
"2066420127"	"NEUTRAL"
"570129863"	"NEUTRAL"
"762521868"	"NEUTRAL"
"1796731347"	"NEUTRAL"
"1904042908"	"NEUTRAL"
"831638210"	"POSITIVE"
"71572759"	"NEGATIVE"
"1927789875"	"NEUTRAL"
"66520145"	"NEGATIVE"
"1394333439"	"NEGATIVE"
"939521909"	"POSITIVE"
"1782905003"	"NEGATIVE"
"1589109314"	"POSITIVE"
"1476656006"	"NEUTRAL"
"718921282"	"NEUTRAL"
"1212185823"	"NEUTRAL"
"2087976920"	"NEGATIVE"
"674787377"	"NEGATIVE"
"1885721267"	"NEGATIVE"
"335207002"	"POSITIVE"
"386016851"	"NEGATIVE"
"1450997466"	"NEGATIVE"
"1262589102"	"NEGATIVE"
"321157945"	"NEGATIVE"
"686038999"	"NEGATIVE"
"887434415"	"NEUTRAL"
"2085619352"	"NEGATIVE"
"683983237"	"NEGATIVE"
"709328464"	"NEUTRAL"
"262737796"	"NEUTRAL"
"2134288089"	"NEUTRAL"
"1866483988"	"NEGATIVE"
"2034329751"	"POSITIVE"
"667534424"	"NEGATIVE"
"614947021"	"NEGATIVE"
"9729629"	"NEGATIVE"
"344614279"	"NEUTRAL"
