text	factuality
I have been a coffee drinker on and off since I was little.	EXPERIENCE
I notice now that I am older, and perhaps I have always had this issue just did not correlate the connection between the two, but I have to wonder if it is possible for me to have an allergy to coffee.	OPINION
When I drink it, if I drink about 2 cups a day spaced out, it takes about a week for me to get these symptoms: - sore throat, increased nasal drainage and nasal drip in the back of my throat, sometimes slight eye swelling, slight cough.	EXPERIENCE
I always kind of said oh it's just allergies from pollen or I am catching a cold...	OPINION
but in fact when I do not consume coffee, I am back to normal in about 3 days.	EXPERIENCE
I tried to find some information on this but it seems hard to read up on.	EXPERIENCE
Would be great if anyone had any feedback on this.	OPINION
Thanks so much.	NOT_LABELED
Are you drinking decaf or caffeinated?	FACT
That does sound like you have a food sensitivity to coffee.	OPINION
I don't think it's the caffeine, but one way you can figure out if it's caffeine is to try black or green tea (both are from the same plant).	OPINION
Just be mindful that the green tea can still carry a problem with lead from the processing.	FACT
Dr. Mercola has articles that explain this more thoroughly.	FACT
There are some that he explains don't have this risk.	FACT
I know it seems like there shouldn't be a risk, since they are steaming, then drying to keep the leaves green.	OPINION
So, I'm not sure where the lead comes from.	OPINION
But, black tea doesn't carry the same risk.	OPINION
I myself simply can't drink tea, though, because the tannin bothers me.	EXPERIENCE
I can tolerate tea for about 3 days it seems and that is black tea, herbal teas do not bother me, green tea gives me headaches.	EXPERIENCE
I did try Dr. Mercola's suggestion of teas and actually bought about 6 packs of the varieties, but it wasn't too pleasing to the pallet for me.	EXPERIENCE
Black tea will make me nauseated on an empty stomach and I think that's because of the tannins too.	EXPERIENCE
So far it has been about 3 days without the coffee or tea and my sinuses have dried up.	EXPERIENCE
My throat is no longer swollen and my cough went away.	EXPERIENCE
And yes this is caffeinated coffee and tea.	FACT
Hardest food allergy/intolerance to break when you adore the smells of coffee :(	OPINION
But at the same time frustrating if I have really consumed these things for over 20 some years not knowing it was causing these symptoms and never putting the two together.	OPINION
I tried in ernest to switch myself to green tea a few years ago and was able to get off the coffee, but then I started developing consistent headaches daily.	EXPERIENCE
Read up on that and some people have an intolerance to green tea that causes this, grr, so back to coffee I ended up going.	FACT
Now it looks like herbal tea and rooibos tea are my only options.	OPINION
I think you're right.	OPINION
I don't tolerate the tea plant at all myself.	FACT
The GERD is bothered by it, but I also get headaches from the tea plant.	EXPERIENCE
So, like you, I can't touch the real tea.	FACT
It doesn't really surprise me that you are so attracted to the smell of coffee, even though you are clearly allergic to it.	OPINION
I've learned a few years ago that often both people and pets tend to crave the very things they are allergic or sensitive to.	OPINION
I know that this is true even of my cat.	OPINION
She is definitely allergic to grains, but if there is something that smells really good to her that is loaded with grains, she wants it.	FACT
And, she will try to take it.	EXPERIENCE
She isn't normally like this with foods she isn't allergic to.	FACT
If I'm eating meat, which she doesn't seem to have any allergies to that I don't have, she behaves herself quite nicely.	EXPERIENCE
She might beg, but she begs politely instead of trying to take something.	OPINION
When I saw that this happens even with the cat, I knew that what I had read about craving things one is allergic to is true and it can't be just psychological.	OPINION
Cats are obligate carnivores after all.	FACT
There is likely a psychological connection, but it seems that there must be a physical connection, too, since the cat does this somewhat if something is really rich, like muffins, which I haven't had in forever since I haven't figured out how to make gluten free.	OPINION
Yeah we had switched our cats to a grain free food and our dog too called Tasted of the Wild: http://www.tasteofthewildpetfood.com/ You can find their food at your Tractor Supply stores.	EXPERIENCE
It costs a little more than normal cheap dogwoods/catfoods but has really been worth it for them.	OPINION
Their coats thickened up and they are eating less because they are actually full.	EXPERIENCE
As for my coffee intolerance yes amazing that I enjoy the smell of it so much :( Gotta retrain myself.	FACT
I think after a while you do actually start to feel more displeasure from the stuff you crave.	OPINION
There are times when my body has had enough coffee, so I have no pleasure in the coffee aisle--just a lot of sneezing.	EXPERIENCE
I don't drink it all the time, but it does actually help with migraines if I don't drink too much of it.	EXPERIENCE
That's a good resource for dog owners to know about.	OPINION
I don't personally have a dog, but so many people do, so it's greatly appreciated that you posted that information.	OPINION
It's been about 6 days without coffee or tea, grrr	EXPERIENCE
lol Definitely a challenge for me.	OPINION
Everyone always says try herbal teas, but yes they are not quite the same.	OPINION
I do feel good and I am sleeping well.	EXPERIENCE
My throat is not dry or irritated.	EXPERIENCE
And besides for just regular pollen sneezes I am not having a lot of phlegm or runny noses.	EXPERIENCE
I just have to take it one day at a time and get myself acclimated.	EXPERIENCE
You get used to having something and it's hard to let go of it.	OPINION
Glad you enjoyed the link, I had to do a lot of research to get to that myself so love to share it when it applies :D.	OPINION
I am allergic to coffee.	FACT
A scratch test showed the allergy.	EXPERIENCE
However, I am allergic to coffee only if I drink it.	FACT
Smelling it does not bother me.	FACT
I also have to avoid mocha.	FACT
Since coffee is roasted, the protein must be in the roasted bean.	OPINION
I don't know if this is right or not, but it seems like I remember there being a common protein or a common natural chemical in both coffee and chocolate.	OPINION
I know that both have to be roasted in order to use them, too.	FACT
You are both right actually I was reading about this recently as well that it is actually the protein in the coffee that causes this.	OPINION
I had broke down this past week and had coffee and then I wake up the next day with swollen eyes and face.	EXPERIENCE
It's one thing with shrimp I recently had a pretty bad reaction that I never had before and broke out in a rash and welts all over my legs--- I know now not to eat shellfish.	EXPERIENCE
But the caffeine habit is hard to break because I get the physical addiction of a headache, nausea, fatigue.	EXPERIENCE
So what I am going to do this week is cut out the coffee/tea etc and if I get a caffeine headache, take an Excendrin for Tension headaches.	FACT
(that has tylenol/caffeine 65 mg) and just ween myself that way.	FACT
It's obvious this is causing a reaction so using coffee to ween isn't helping.	FACT
I'm really glad to hear of others with the same issue.	OPINION
It makes me feel better.	OPINION
I am allergic to coffee, but bc it has a high content of nickel (which I'm allergic to).	FACT
If you notice feeling sick after eating other nickel-high foods (beans, chocolate, peas, whole wheats), or if you react when wearing cheap jewlry, you may want to get tested for nickel allergy.	OPINION
Another note...tea is also high in nickel and fish....you should get tested for allergies...	OPINION
I've recently become very intolerant because of an increase in nickel in my body (as I got a body implant), so now every time I'm exposed to nickel (even in medications, and even aspirin) I react...	EXPERIENCE
If you recently got cavities filled, a surgery...you should look into a metal allergy.	OPINION
Melisa.org has many great resources to educate about metal allergy.	OPINION
That's a good resource.	OPINION
I bookmarked it.	FACT
I have relatives with nickel allergies, and they might not be aware of the foods that make them feel worse.	EXPERIENCE
Plus, several of us have chronic illnesses, so this might be a contributing factor.	OPINION
Great resource betbri, I never knew about metal allergies.	OPINION
Nor did I realize it has a high content of nickel in it.	OPINION
That is very interesting indeed.	OPINION
I actually had some of the metals removed from my mouth and replaced with white fillings.	EXPERIENCE
I did read up on some of the vapors that can be given off from amalgam fillings and was astonished.	OPINION
I have a few that still need to be replaced, but better than the many I had in there.	OPINION
Did you do the Melisa test betbri or just go to your allergy doctor to be tested?	FACT
I did get the Melisa test done.	EXPERIENCE
In the last couple weeks I have taken all the nickel out of my diet and feel much better!	EXPERIENCE
I still have many symtoms of allergies but there is finally hope!	EXPERIENCE
I learned a few important facts to consider when trying to track down the source of chronic problems such as fatigue, and pain.	EXPERIENCE
So I will list them and hope it helps you two, and possibly someone else reading this :)	OPINION
Doctors are very much unaware of metal allergies in the US (versus other countries that have done loads of research and some countries test every patient for metal allergy before putting fillings, implants in).	OPINION
According to study after study, around 10% of the population is allergic to nickel (with a higher percentage of women affected).	FACT
If a person is allergic to one metal, it's over 50% of those that are allergic to 2 or 3 metals (so it's important to be tested until you rule out allergy to multiple metals).	FACT
Eating certain food for someone allergic to metal causes illness (not just skin rashes to jewelry).	FACT
It's very important when suspecting an allergy to medications to look at the INACTIVE ingredients in pills.	FACT
For instance I have a list of meds I'm allergic to and the docs just put ""allergic to aspirin, wellbutrin, etc..."" when in reality the one common element in all I'm allergic to is certain types of metal in the coating.	EXPERIENCE
You're doctor will not help figure out your REAL allergy because almost no one is actually allergic to the active ingredients in pills, but doctors only list the pill your allergic to and don't ask what it is about those pills you are allergic to.	EXPERIENCE
You can test allergic to foods that contain metals (brocolli, chocoate, whole wheat, etc...) and again, it may be that you're allergic to those food because of a metal or additive added....so if a person is allergic to multiple foods it's important to rule out the possibility of a common element in all of them.	OPINION
