"sentence_id"	"post_id"	"conversation_id"	"disease_id"	"text"
"1880352762"	"HIF2016_DIS00_CONV00_POST000"	"HIF2016_DIS00_CONV00"	"HIF2016_DIS00"	"I have been a coffee drinker on and off since I was little."
"2103490373"	"HIF2016_DIS00_CONV00_POST000"	"HIF2016_DIS00_CONV00"	"HIF2016_DIS00"	"I notice now that I am older, and perhaps I have always had this issue just did not correlate the connection between the two, but I have to wonder if it is possible for me to have an allergy to coffee."
"562514089"	"HIF2016_DIS00_CONV00_POST000"	"HIF2016_DIS00_CONV00"	"HIF2016_DIS00"	"When I drink it, if I drink about 2 cups a day spaced out, it takes about a week for me to get these symptoms: - sore throat, increased nasal drainage and nasal drip in the back of my throat, sometimes slight eye swelling, slight cough."
"983780520"	"HIF2016_DIS00_CONV00_POST000"	"HIF2016_DIS00_CONV00"	"HIF2016_DIS00"	"I always kind of said oh it's just allergies from pollen or I am catching a cold..."
"849700531"	"HIF2016_DIS00_CONV00_POST000"	"HIF2016_DIS00_CONV00"	"HIF2016_DIS00"	"but in fact when I do not consume coffee, I am back to normal in about 3 days."
"1892450727"	"HIF2016_DIS00_CONV00_POST000"	"HIF2016_DIS00_CONV00"	"HIF2016_DIS00"	"I tried to find some information on this but it seems hard to read up on."
"1704311769"	"HIF2016_DIS00_CONV00_POST000"	"HIF2016_DIS00_CONV00"	"HIF2016_DIS00"	"Would be great if anyone had any feedback on this."
"1453867436"	"HIF2016_DIS00_CONV00_POST000"	"HIF2016_DIS00_CONV00"	"HIF2016_DIS00"	"Thanks so much."
"1083744548"	"HIF2016_DIS00_CONV00_POST001"	"HIF2016_DIS00_CONV00"	"HIF2016_DIS00"	"Are you drinking decaf or caffeinated?"
"350940492"	"HIF2016_DIS00_CONV00_POST002"	"HIF2016_DIS00_CONV00"	"HIF2016_DIS00"	"That does sound like you have a food sensitivity to coffee."
"1099837313"	"HIF2016_DIS00_CONV00_POST002"	"HIF2016_DIS00_CONV00"	"HIF2016_DIS00"	"I don't think it's the caffeine, but one way you can figure out if it's caffeine is to try black or green tea (both are from the same plant)."
"1422180636"	"HIF2016_DIS00_CONV00_POST002"	"HIF2016_DIS00_CONV00"	"HIF2016_DIS00"	"Just be mindful that the green tea can still carry a problem with lead from the processing."
"1934892816"	"HIF2016_DIS00_CONV00_POST002"	"HIF2016_DIS00_CONV00"	"HIF2016_DIS00"	"Dr. Mercola has articles that explain this more thoroughly."
"1902757391"	"HIF2016_DIS00_CONV00_POST002"	"HIF2016_DIS00_CONV00"	"HIF2016_DIS00"	"There are some that he explains don't have this risk."
"1882214592"	"HIF2016_DIS00_CONV00_POST002"	"HIF2016_DIS00_CONV00"	"HIF2016_DIS00"	"I know it seems like there shouldn't be a risk, since they are steaming, then drying to keep the leaves green."
"513567436"	"HIF2016_DIS00_CONV00_POST002"	"HIF2016_DIS00_CONV00"	"HIF2016_DIS00"	"So, I'm not sure where the lead comes from."
"416554499"	"HIF2016_DIS00_CONV00_POST002"	"HIF2016_DIS00_CONV00"	"HIF2016_DIS00"	"But, black tea doesn't carry the same risk."
"684960171"	"HIF2016_DIS00_CONV00_POST002"	"HIF2016_DIS00_CONV00"	"HIF2016_DIS00"	"I myself simply can't drink tea, though, because the tannin bothers me."
"404906152"	"HIF2016_DIS00_CONV00_POST003"	"HIF2016_DIS00_CONV00"	"HIF2016_DIS00"	"I can tolerate tea for about 3 days it seems and that is black tea, herbal teas do not bother me, green tea gives me headaches."
"230350390"	"HIF2016_DIS00_CONV00_POST003"	"HIF2016_DIS00_CONV00"	"HIF2016_DIS00"	"I did try Dr. Mercola's suggestion of teas and actually bought about 6 packs of the varieties, but it wasn't too pleasing to the pallet for me."
"891130275"	"HIF2016_DIS00_CONV00_POST003"	"HIF2016_DIS00_CONV00"	"HIF2016_DIS00"	"Black tea will make me nauseated on an empty stomach and I think that's because of the tannins too."
"1985709305"	"HIF2016_DIS00_CONV00_POST003"	"HIF2016_DIS00_CONV00"	"HIF2016_DIS00"	"So far it has been about 3 days without the coffee or tea and my sinuses have dried up."
"2143623069"	"HIF2016_DIS00_CONV00_POST003"	"HIF2016_DIS00_CONV00"	"HIF2016_DIS00"	"My throat is no longer swollen and my cough went away."
"1899162147"	"HIF2016_DIS00_CONV00_POST003"	"HIF2016_DIS00_CONV00"	"HIF2016_DIS00"	"And yes this is caffeinated coffee and tea."
"84026695"	"HIF2016_DIS00_CONV00_POST003"	"HIF2016_DIS00_CONV00"	"HIF2016_DIS00"	"Hardest food allergy/intolerance to break when you adore the smells of coffee :("
"6684026695"	"HIF2016_DIS00_CONV00_POST003"	"HIF2016_DIS00_CONV00"	"HIF2016_DIS00"	"But at the same time frustrating if I have really consumed these things for over 20 some years not knowing it was causing these symptoms and never putting the two together."
"911422625"	"HIF2016_DIS00_CONV00_POST003"	"HIF2016_DIS00_CONV00"	"HIF2016_DIS00"	"I tried in ernest to switch myself to green tea a few years ago and was able to get off the coffee, but then I started developing consistent headaches daily."
"1281066004"	"HIF2016_DIS00_CONV00_POST003"	"HIF2016_DIS00_CONV00"	"HIF2016_DIS00"	"Read up on that and some people have an intolerance to green tea that causes this, grr, so back to coffee I ended up going."
"1029256788"	"HIF2016_DIS00_CONV00_POST003"	"HIF2016_DIS00_CONV00"	"HIF2016_DIS00"	"Now it looks like herbal tea and rooibos tea are my only options."
"576436274"	"HIF2016_DIS00_CONV00_POST004"	"HIF2016_DIS00_CONV00"	"HIF2016_DIS00"	"I think you're right."
"866997827"	"HIF2016_DIS00_CONV00_POST004"	"HIF2016_DIS00_CONV00"	"HIF2016_DIS00"	"I don't tolerate the tea plant at all myself."
"1536643017"	"HIF2016_DIS00_CONV00_POST004"	"HIF2016_DIS00_CONV00"	"HIF2016_DIS00"	"The GERD is bothered by it, but I also get headaches from the tea plant."
"2043428188"	"HIF2016_DIS00_CONV00_POST004"	"HIF2016_DIS00_CONV00"	"HIF2016_DIS00"	"So, like you, I can't touch the real tea."
