review,userName,rating,date,title,isEdited,body,id,modified
"i
I  have several doctors and each seems to have their own portal and very few use the portals to best advantage like sharing information if the share an zan app like Healow. So it remains a hard place to navigate information. But… My Health One  is the two year summary of all my hospital, or urgent care visits. One place. Thank you very much for quieting the issues and making it  easy to find dates and doctors.  Also my appreciation toweekendCustomer Service Jody for walking me through the information and navigation.",pennyln,5,2022-05-07 19:04:28,One True Thing,False,,,
"The app started out working great. My youngest son recently had to be seen, and they gave me the instructions on how to get him linked to my acct.. linking to one acct (would be the 5 ⭐️for me, bc no one wants to login & keep up with all the login user info w/multiple accts). However, when he was first linked up, things were great.. he was linked on the 17th (day after visiting the ER), then on the 26th (day after getting sonogram images done) his info (ALL OF IT), just disappeared. I called the number, and spoke with someone, who found it odd, couldn’t give me the reason why his info just disappeared. Yet we could both see he was still linked to my acct. I know it’s not some random malfunction for the day, bc my med records are still there to view. So, it got sent over to tech support…. and currently the issue isn’t resolved. Side note: I also went into the web browser version, and the same problem is happening there that I am having with the app. All his hospital info is just GONE. This needs to get fixed, when it does and stays that way I will come back in and update my review.",Thorn-PMS,2,2022-01-26 14:46:52,"This would have got more stars, but started having problems.",False,,,
I need to get Covid results for my son but it’s only showing me results for myself. The location in Dickinson told me to download the app and I should find my sons test results there. However she did not explain how to obtain those results. I tried creating an account in his name but I was unable to so I have no idea how to get his results. The app does not explain if you can add dependents or not. Now I have to drive to the Care Now location to pick up my sons Covid results in order for him to return to school. I was originally told to download the LabCorp app and the results would be downloaded there. I did and his results are still not there. I was Covid positive over a month ago and my results are still not in LapCorp. So I have now downloaded two apps and neither can give me the documentation I need.,CareNow- Horrible,1,2021-09-22 14:34:28,Patient Test Results,False,"We are sorry to hear you've had trouble accessing your son's results. In order to view minor records within MyHealthONE, you will first need to complete a proxy form - either in clinic or by phone at (855) 422-6625. This will authorize you to connect your son's records to your portal account and view his results. Please give us a call and an agent will be happy to assist. Thank you. ",25301132.0,2021-09-24T12:49:25Z
I just really wanted to say that’s from the time that I walked in to the main lobby was greeted  by the Admit section   At 5 30 Am  with smiles and warm ness then was sent to the back post surgery waiting  room  and was  greeted we a smile and a very warm welcome  it there with so many smiles and so much kindness I also want to send a special thanks to both the nurses that attended me while I was there especially to Emily in recovery she was very kind very sweet I will always be very Grateful for the care I received 😇from everyone,mayaasiahmilan,5,2022-01-29 20:49:22,Kindness that  I received at Sunrise Hospital,False,,,
"I have given this Application 5 stars because of how user friendly, easy to navigate and a plethora of information. If I need to contact my physician or hospital this is the easy and quickest way possible. I can see test results, medical records, past and upcoming appointments, radiology reports. I can register only for pre-op and get discharge instructions if I lose the papers I receive being discharged from my facility.",Irish*girl,5,2021-05-04 19:15:19,So easy!!!,False,,,
"I always appreciate info provided by medical record apps and have especially been grateful for this one while dealing with various aspects of our visits to JMS and Doctors Hospital. MYHEALTHONE can be confusing to navigate but functioned well enough until recently when doctors reports disappeared from the site. That may be a problem on the hospital side but it impacts our usage for updates to various insurance/disability agencies/ other doctors that we deal with. If the problem is on the app side, I do hope it is fixed soon.",vidosc,3,2021-12-09 17:23:48,Currently incomplete app,False,"Hi, thank you for your feedback. We apologize for the inconvenience when Provider Reports were unavailable, but are happy to report that they are back online. If you have not already, please log into your account to view. If we can provide any further assistance, please give us a call at (855) 422-6625. Thank you.",26804120.0,2021-12-13T13:31:12Z
"1st visit to Medical City McKinney and would 100% recommend!  I have a chronically I’ll child and the staff was phenomenal, from housekeeping, clerical, nursing and physicians we could not have had a better experience.  Everyone listened and also explained the plan so very well.  
Hospital was also environmentally very well maintained.  
Great qualified staff and we will definitely come again if we ever need a hospital!",hunnyb1,5,2022-04-30 18:30:06,Absolutely wonderful experience!,False,,,
"Updating my previous review since they fixed the issues! Thanks for a quick fix!

After the latest update I can’t get past the loading screen after choosing state and hospital. Up until recently it was working fine.",Irlucid,5,2020-07-08 15:19:21,Fixed! Great App!,False,,,
This makes the third time in a row I’ve been directed by St David’s to go to MyHealthone app to preregister for a scheduled procedure only to be to told by popup my app is out of date. Last update lost my fingerprint log in to an account that I had never established a password for; ended up getting locked out and jumping through a lot of hoops just to get in and preregister with info that hasn’t changed. Why bother having an app if it’s going to require a download each time which by use it potentially cost me access?,Nobody from Del Valle,2,2021-10-05 02:03:58,Too many updates and still the same issues.,False,,,
"Something broke in early September 2021 making daily provider reports unavailable. While the app says this is temporary, after more than three months without a fix, it sure feels permanent! What is the hold up!? How about better managing customer expectations by telling us why this happened and when it will be fixed. It is nearly impossible these days to get doctors on the phone when you need them, so having these in-app updates for loved ones staying long in the hospital had been a godsend.",Whirlpool Dreyer,1,2021-12-03 14:39:55,Provider Reports Missing for Months,False,"Thank you for your feedback. We understand the difficulty it has caused to not have immediate access to provider reports, and appreciate your patience as our teams are working constantly to ensure the data is accurate and able to be viewed again within the app and website. We do anticipate having them available later this week. If we can assist with any other matters, please call us at (855) 422-6625. Thank you.",26671937.0,2021-12-06T14:39:03Z
