reviewId,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at,replyContent,repliedAt
gp:AOqpTOEwKBkRlrcEobYDtKIyUg_DLhKqvlRdrrVBlq5E2jN6DmjgX_fZ6X3UkY32gEv4AuNwhekljblcZ5lKhFo,Lisabeth Dixon,https://play-lh.googleusercontent.com/a/AATXAJxtfwB0TAhOcLttO_2dfo1dm2Or6UA5vlDDOaE2=mo,LisabethDixon Save,5,0,,2022-05-08 22:53:02,,
gp:AOqpTOHBYOIaVf_oyiCvkxAmZKAoM6BVzS_AdCuAOltoY_kQqyX88aHMzXd1PQUK8SeEXIsjOwMp8CZw6iSmP54,Annette McCrae,https://play-lh.googleusercontent.com/a-/AOh14GicwvUQ6SvsFYrPCatKlS3_R8x3HnhMkX6J8X57-Q,My labs don't show up half the time.,2,0,1.2.14,2022-05-07 13:48:52,,
gp:AOqpTOEkzVtaObS3epIoqY70u_5_KC6MxYbfU9w1HcbnkwO4qwks42oRCK_9jSnCLmwyGb3DOTuPGLe7PGuMqrg,MUSTAFA_FGC,https://play-lh.googleusercontent.com/a-/AOh14GgAPXJWjchglrJeF7NC21PDq7f7Md622ifMOjBnYw,"Great App!! Love that i can see my results from the clinic/hospital almost INSTANTLY after my visit. Very easy to set up & create an account, as well as finding doctors, scheduling appointments, etc... !",4,3,1.2.19,2022-05-06 11:07:06,,
gp:AOqpTOHoCVVGmJRBF-csWEaHrTbq3Dg4QFzWgO4qWszHxINBt-b_d3VDPcdcDc0sPWUb8mELiWGFL6H3nooDLWo,aleja Duque Marin,https://play-lh.googleusercontent.com/a-/AOh14GgCgJlnl-2W_Pwf7XeTw5HlNai_2-WdA5fHJRX6iQU,doesn't work,1,0,1.2.19,2022-05-03 16:46:28,,
gp:AOqpTOEVglquCIMls0urTh5m5QJZXqXEiEB3R4tVrCKtLLH1Dl83DOrPV6ORfESaUQ2MtZ4sDSRpDIKSB9UKKfo,Jackeline Velez,https://play-lh.googleusercontent.com/a-/AOh14GjnArPAR0Ll6dNeD7mv6E5Mqsj1I3pFt_xpkkEDW2s,the web good the hospital and staff bad human being.,5,0,1.2.14,2022-05-01 13:15:21,,
gp:AOqpTOHpPf033zSO_NlnisrDLAk6YuvIM7_3sb9BuCjlYQAJvhBFN00QFbh7PBOPUk9SRPYIEvcjTanj4ZYp9Ls,Joyce Long,https://play-lh.googleusercontent.com/a/AATXAJwBFxwRIxh6E3pbC4Z9_8nUyzwNxAOOzYBHMe5m=mo,I can contact my doctor faster,5,0,1.2.9,2022-05-01 10:45:12,,
gp:AOqpTOEhiK_zmD6QfPGIA49memXGppPKoZJWJ1bKdwQFy00lkJ2biY1-LGC4klRKX2shWnC_48y3ljiH7wCiPMo,Betty Smith,https://play-lh.googleusercontent.com/a-/AOh14GjekICdLWg8Hy_b3DNcKQfX17Jv4yyZURDpLmUD,"It's been very easy to read and understand the results, and information.",5,0,1.2.14,2022-05-01 03:27:02,,
gp:AOqpTOGSBd9hzRjutZWj450rnUnlKoy3gRG1tBkKOMGP4gOz5YmCcvruMHnF6tdgn1xlGuvLbvVwl4g9nVVBQ6I,Mr. Kenneth Lenard Ennis,https://play-lh.googleusercontent.com/a-/AOh14Gi84O6KNuVFHOP1ragvuox9ToXsoFZXNMG6wLIMFEA,"Very Very, useful.",5,0,1.2.14,2022-04-28 22:07:38,,
gp:AOqpTOH6aWrXGlrX_cBsbF7SyWMyG7bbZb5RCwor4AV369m383hBvbxpV2dEOjFbr57drTomISLb8UM7nXWBZhM,Kat Mathis,https://play-lh.googleusercontent.com/a-/AOh14GijikU7bXB_sVvSG7NOc61qT1jURwVdRRb3o7nCbQ,Not as accurate as it says to be..!,1,0,1.2.14,2022-04-19 18:34:33,,
gp:AOqpTOHkuSiucwv5MelrjMkp6BK3q9oEDhbGtWClPNxYiLqLMExMv2AZ6TXRlyzZ-NJbU1yRAE2gpA2sP7rtIhc,mattie OQuinn,https://play-lh.googleusercontent.com/a-/AOh14GjS4DuCnIQH4PDY0zXHwdiIPx1z3ZV6rEDTB_MjNg,Can't get it to work 😫,5,0,1.2.14,2022-04-14 11:33:07,,
