isEdited,title,userName,review,rating,date,body,id,modified
False,You are in Control of Your Own Health Results!,MieneKatzen,All my friends tell me how they hate using these “online portal accounts” because they believe that they are difficult to use. I used to feel that way too! But the UPMC portal was easy to setup and easy to use. It really does make reordering prescriptions easier and lab and test results are there usually in one day or less!! You can’t beat that! How awesome to not have to sit and worry about a blood test result or a scan until you can get another appointment to see your doctor for your result. There’s a brief review of your results right there at your fingertips! You have the control of your results! And you can message your doctor any questions that you may have. I especially like that I don’t have to call the office and take up the nurses time asking them questions that I can now directly message to my doctor. And I’m sure they appreciate it too!,5,2020-07-11 04:10:55,We’re so glad you’re enjoying MyUPMC and appreciate your positive review! We’d like to share your review with other UPMC patients to encourage them to use the app.  Can you please email us at MyUPMC_Feedback@upmc.edu so that we can share more details?,18155985.0,2020-09-28T18:53:49Z
False,Still needs work,Ellisaurus,"I like that I can see all of my test results in the app - that is a nice feature. The scheduling feature is ok, but about half the time I still need to call UPMC for assistance.

The appointment scheduler is 50/50. I find myself still having to call places to make appointments fairly often. But I do like that I can see when my next appointments is, with whom, and where it is located. That is very helpful on the day of the appointment.

However billing (and billing across UPMC in general) is ridiculous and needs work. If I select “details” to find out why I owe a certain amount, I should see the reason for the amount. Not the number merely repeated again without stating which service this fee is for. If I go to statements to see details, it once again just restates the fee but not the reason for the fee/service provided. I’ve had a lot of medical appointments recently and I’m finding it very hard to keep track of what I paid for which appointment when I am given no information. Also, some services like PT can’t be paid for in the app or on UPMC’s main website in the normal billing place?! Their bills state you can pay online, but I have to spend 30 minutes trying to find that specific bill and payment method. If the app had provided details of what I was paying for, I might not have received threats of sending me to collections in the mail from PT’s billing dept.",3,2021-01-08 13:33:20,"Hi, thanks for letting us know about the problem you're having with billing in the MyUPMC app. We are sorry that you've had a frustrating experience. Your feedback is very important to us, and we'd love the opportunity to work with you to fix the problem. If you'd like, please send an email with a brief description of the problem to our technical team at MyUPMC_Feedback@upmc.edu, and we will be happy to work with you to fix this issue. Thank you so much.",20788290.0,2021-02-01T16:53:53Z
False,Quick App for GREAT information!,daynee73,"It took a bit to open and get it installed etc.. However, the wonderful UPMC call person was as patient as a mother teaching her child... ok, I am not very tech savvy... 
We were on the phone over an hour!! Yet they never were anything but polite and helpful. 
Once installed, I have yet to have a problem using it for whatever I wanted to see or do. Do I still call offices to make appointments, or check in to my appointment on the office itself? Yes, but the days of calling to ask when and what time my appointment is ( because I can’t find it in my iPhone) are over. Plus, you can see test results instead of waiting, calling, and holding for a nurse .",5,2021-01-26 14:27:32,Hi! We’re so glad you’re enjoying MyUPMC and appreciate your positive review! We’d like to share your review with other UPMC patients to encourage them to use the app. Can you please email us at MyUPMC_Feedback@upmc.edu so that we can share more details?,20788134.0,2021-02-01T16:46:55Z
True,"Great app, but questionable privacy features",J.Lev,"The app is fine, but after looking at the App Privacy Report in iOS 15.2, I’m curious why the MyUPMC app has been using data from the microphone twice in the past couple days even though I haven’t had any virtual visits with a doctor in nearly a year. After talking with UPMC support, they’re unable to provide an explanation why their app continues to use the microphone and have not provided a resolution since I last emailed them in February of 2022. The developer response here is that it’s used for virtual visits (even though I haven’t had any recently and the app continues to regularly access the microphone) and despite them asking me to reach out to support, their support agents have not emailed back. 

Check for yourself! Go to the App Privacy Report under Settings > Privacy > App Privacy Support > Data & Sensor Access to see if MyUPMC is also unexpectedly accessing the microphone on your phone.",3,2022-04-19 11:02:46,"Hello, thank you for leaving your feedback. Our technical teams are aware and are working to resolve this issue. MyUPMC only requires permissions to access your camera, microphone, and files on your device so that you can participate in telemedicine visits, or send images and attachments to your provider. We apologize for the inconvenience. For any additional questions, please email MyUPMC_Feedback@upmc.edu and we'll be happy to assist. Thank you.",29244666.0,2022-04-19T11:02:46Z
True,Compare test results,Old app user,"You used to be able to compare previous test results with the most recent test results. With the new update that function is no longer available anymore. As mentioned in an email to me, “We're always looking for ways to improve the app and sorting lab results is a great suggestion.” although, the email said it was a great suggestion, it was not a new suggestion. That is the way it functioned before the update or before that, as I had not chosen the function in some time. I used to be able to see and compare several years of results of the same test. I am unable to do that now. I’m not really sure when it changed, but it has. It would be great if that function could be reinstated. Thanks for listening!",4,2020-08-27 06:12:32,"Hi, thanks for bringing this to our attention! We're always looking for ways to improve the app and sorting lab results is a great suggestion. Thank you for taking the time to let us know!",17520453.0,2020-08-27T06:12:32Z
False,Maaaan/Guuuuurl LISTEN!!,Billie1979,"I do so much better managing my healthcare with this app. I have REALLY bad anxiety so it’s hard for me to even CALL and make appointments sometimes let alone call to discuss a problem I’m experiencing. I love having access to message my doctor and staff so easily. It’s perfect too because on weekends if I’m having symptoms I won’t follow up if I’m feeling better Monday, but it’s something my doc needs to know... I’m more likely to tell her. Also knowing the exact time/location for an appointment without making a phone call. It’s your entire healthcare at your fingertips for REAL!",5,2021-06-07 18:31:16,"Hi there! We're so glad that you find the MyUPMC app easy to use and a good tool for managing your health. Thank you for taking the time to review! We'd like to share your review with other UPMC patients to encourage them to use the app. Can you please email us at MyUPMC_Feedback@upmc.edu so that we can share more?
",23287885.0,2021-06-09T12:54:18Z
False,It works most of the time for most things,A Long 1515,"I don’t like that I can’t sort my test results by date or have the same functionality as the website. I can’t show the results on the graphs or compare previous results. Sometimes past appointments are not able to be viewed by some error or programming fault. They video visits usually work. It has a lot of room for improvement. The website is better for most things. It’s faster than the website, I think, but the functionality (especially the viewing of test results and appointments) needs to improve significantly for me to give 5 stars. I think UPMC knows all these problems, but I’m just putting them here in case they don’t…",3,2021-06-24 11:46:44,"Hello, thanks for telling us about the problem you're having. Thank you for your feedback as we're always looking for ways to improve. We'd love the opportunity to walk you through any functions. For more help, please send an email to MyUPMC_Feedback@upmc.edu or call our support line at 1-866-884-8579 and we'll be happy to assist.
",23590688.0,2021-06-25T15:30:57Z
False,Haven’t been able to access,Kristim2008,"I loved this app when it worked. Now I have a child with health issues and I haven’t been able to access this app or app support in weeks. I’m hoping by submitting this review it will call attention to this. This is the error message I get:

My UPMC is currently unavailable. Please try again later. For additional assistance please contact MyUPMC support. 

When I try to access my UPMC via a web browser is says the server could not be found. I would like to be able to send messages to my child’s doctor.",5,2020-08-11 17:10:17,"Hi! We can help! If you'd like, please call 1-866-884-8579 or send an email to MyUPMC_Feedback@upmc.edu. Our team has been alerted to your issue.",17261956.0,2020-08-13T11:58:14Z
False,MyUPMC app is the best🍁🧠,dbrains🍁🧠,"🍁🧠This app works perfectly on my iPhone; it definitely helps keep my doctors posted constantly on my health concerns with pictures of my concerns to add to my medical files so they remember what it looks like at first; it’s so much easier than driving to the UPMC place to keep the doctors posted in person trust me!; I always get a reply back either from the doctor themselves or their nurses, medical assistants or other colleagues with the doctors. If you are a patient with UPMC I strongly recommend setting up your account information with a password & download this app immediately.🍁🧠 thank you.",5,2019-05-10 11:58:09,We're so glad that you find the app so useful and would recommend it!,8666533.0,2019-05-14T14:26:58Z
False,Great way to keep in touch,b.b.blllllllahhhhh,Anytime I’ve had a question about a test that was done this system was always up to let me know early as possible so it definitely can help for those who worry a lot like me about test and any findings . May save lives one day if you think about it with doctors being so busy to spread news to point a to point b you can have your access right in Palm of your fingers ready to get the ball going on ur health.. god bless the sick and hope that they find this system helpful as I did.,5,2019-06-10 17:00:15,Hi -- thanks so much for taking the time to let us know that you like the app and enjoy getting your test results. We appreciate the feedback and will continue to add more features that we hope you like. Thanks again for your time!,9135987.0,2019-06-12T18:37:48Z
False,Better on iPhone than iPad,rlbyer,"I really like this App and use it a lot.  But it does not work as well on my iPad.  I have an iPad Pro that I use with the smart cover & keyboard.  That requires that the iPad be in Landscape mode.  However, the MyUPMC App stays in portrait mode and will not switch to landscape when I rotate the screen.  That makes it difficult for me to type (messages, appointment requests, entering health tracking information, filling out pre-visit questionaires, etc) while using the app on my iPad.  There has to be some way to fix that.  If you are able to fix that, the App would be near perfect!  Thank you.",4,2019-12-28 17:25:37,"Hi, thanks for sending your feedback. We appreciate hearing from our users on how we can improve their experience across various devices and give them better access to their care. Your feedback is important to us, and if you would like to share more, please email MyUPMC_Feedback@upmc.edu. Thanks so much.",12754758.0,2020-01-06T20:42:29Z
False,Mobile app not well integrated with desktop app,JBM997,The mobile app version of MyUPMC is inconsistent with and not well integrated with the desktop version of the application.  Numerous times I have received an email alerting me to the availability of new test results or new communication from my physician only to find that they were not available on the mobile (iPad/iPhone) versions of the MyUPMC app. But if I logged in through the desktop web version of MyUPMC those new tests or communications were visible. It sometimes takes hours for the mobile app data to catch up to the desktop web version.,3,2021-09-21 12:54:52,"Hello, thanks for telling us about the issue you're having with the app, we apologize for the inconvenience. We'd love the opportunity to help walk you through any issues you may be experiencing or listen to any additional feedback you may have. Please call 1-866-884-8579 or email MyUPMC_Feedback@upmc.edu and we'll be happy to assist.",25259374.0,2021-09-22T18:31:20Z
False,Visit instructions for Radiology Dexa scan appointment details,Jdsvhudt,"The visit instructions for the Dexa Scan “Upcoming Appointment” notice needs to be updated to include “Do not take Vitamin D on the day of the Dexa scan appointment.” Unbeknownst to me, I took my morning Vitamin D since it was not on the do-not-take list of the system generated uncoming appointment details. I was refused the scan and had to reschedule. I called the MyUPMC help desk regarding this omission to no avail. I also sent an email to the MYUPMC help address in the app. What a waste of my time and UPMC staff time. Otherwise, I have had no issues with using MyUPMC. Thank you!",4,2021-05-20 12:58:59,"Hello, we apologize that you've had a frustrating experience. Your feedback is very important to us and helps us to improve. We will share your comments with the team to review. Thank you for taking the time to share your thoughts.
",22943127.0,2021-05-21T19:32:55Z
False,Making appointment-unable to pick provider from a practice,improvement requsest1,I have been going to the same fabulous practice for 40 years for routine gynecological exams.  The practice is made up of several Drs/PA’s/CNP’s. There are 3 individuals that have seen most often in the last 10 years and naturally I want to use the app to look at availability in the practice schedule to see if one of them is available. But the app does not allow this. It will only check availability of the last doctor I saw. It is annoying. I should be able to select from several providers within a practice and see who has openings available - not only the last doctor I saw.,3,2019-09-13 21:40:57,"Hi, thanks for letting us know about the frustrating experience you've been having trying to schedule an appointment. Please send an email to MyUPMC_Feedback@upmc.edu with the name of the practice and your preferred physicians so we can assist you. Thank you so much.",10841339.0,2019-09-23T13:21:42Z
False,"Access to health info is good, billing is unacceptable!",gtcgtb,"Feedback for doctor visits and test results is wonderful, and since it’s written you have time to digest and even do a bit of research if you wish. However if you are looking for billing information you can forget about it. Access to outdated billing is available, although like the actual bill, is not straight forward. Current billing information has a link to details that takes you to a page without any additional information. Very frustrating.",4,2021-01-01 15:24:46,"Hi -- We are sorry that you've had a frustrating experience. We'd like to assist you. If you'd like, please send an email with your feedback to MyUPMC_Feedback@upmc.edu.",20245434.0,2021-01-07T15:25:06Z
False,No big changes - ho hum,maryann117,"The new app doesn’t appear to really offer anything more than the other app (myChart) offered, just a different look.

I was hoping for an improvement, but it still lacks the ability to message all my UPMC doctors -only select ones that opt in are available.  The ability to see doctors’ notes is attractive, but only if they enter info - out of 5 doctors, and 2 recent hospital visits only 2 entered any information at all, and that was limited to vitals and current diagnoses. When I click on schedule an appointment, I get a phone number to call - surely UPMC can do better that than.  Finally, wishful thinking on my part, but I was hoping for iOS health app integration instead of a UPMC silo.",2,2018-11-09 15:21:45,"Hi, thanks for sharing your feedback. Our team is working on adding more features in future releases of the app so we can continually improve the experience for our users. Your feedback is very important to us, and we will pass this along to our team. Thank you so much.",5878631.0,2018-11-09T18:05:35Z
False,Messaging/Prescription Renewal,savsch1,"I thought that I really liked this app at first because it’s convenient, but it turns out it’s not convenient because the workers don’t make it that way. I tried to renew my prescription (which is important) on November 4th. I hadn’t heard anything back so I waited a little. About a week went by and I still hadn’t heard anything. So I sent a message to my doctor, which can be read by any of the staff, and still no response. It is now November 19th and I still don’t have my prescription renewed. I even sent them a message stating that this is important and if something isn’t done today then I’m going to switch providers. And still nothing. So today I am going to have to go the ER to get the medication that I need. This is disgusting.",1,2019-11-19 15:08:19,"Hi -- we are so sorry to hear about the negative experience that you had trying to renew your prescription. We would like to learn more about what happened. If you'd like, please call the toll-free Patient Relations Customer Service Line at 1‑866‑705‑7020. Thanks so much. ",11938896.0,2019-11-19T20:20:23Z
False,Could be a 5 if,NorieMimi,"I recall being able to see many of my repeat labs, side by side. Whether over months or years, I don’t recall. That was very helpful to me.
Explaining a test would help as well. “ Lytes . “ Cute. Think we grew up at some point Electrolytes ? Makes sense to me. In a more perfect world it would be terrific for the patient to know exactly what your testing for.
I use this app frequently. I check laboratory work more than once. I thought I could cancel an appointment on here too, no such luck. Room to improve.",5,2019-09-21 06:15:53,Hi -- thank you so much for your feedback. We will pass these suggestions on to our team. We will continue to improve the app and hope that the future updates will be helpful. Thanks so much.,10844849.0,2019-09-23T15:37:44Z
False,I like it.,Schwittek,This App is the future. I’ve had two emergency appt. ovet the video interface. Real time and send your scripts to your drug store. Really very convenient. Plus you can see your blood test history. Ask your doctor questions. I just can’t see the down side. This is kind of like when banking and checking flipped to online. Maybe a bit worrisome at first but now bill paying is 10 minutes and no stamps. Nice Job UPMC.,5,2021-12-10 17:54:35,"Hi there, we're so happy to hear you're enjoying the app and find it helpful in managing your care. Thank you for leaving a review!",26810778.0,2021-12-13T18:29:34Z
