reviewId,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at,replyContent,repliedAt
gp:AOqpTOE2-mO6Ts4gIaQhqkEWKOBwXWRnNUDmk-uU9v_ydTE_BR0O6SRjI6rYTlDE8gX048T3wr1eZ8wc0MoONQ0,Katie Copson,https://play-lh.googleusercontent.com/a-/AOh14GjFifFmz9b8RNEFDIT8nQmdfxqyZS8zfKjNoFRR6A,Super convenient and easy to use.,5,0,2.27.0,2022-05-13 08:45:43,,
gp:AOqpTOGDpTplYad8EOslC_hudad0pgCbaQKgWm0AxHgKWRf_6meWAL3fSStD0vL_t15P7vGc8nFiCEcEXuE0SI0,Georgia Kruhm,https://play-lh.googleusercontent.com/a/AATXAJwDkLpMFxD3LiljHWkNDmKTT3koBUJmiCPFBi0=mo,"The entire staff are competent, friendly, and caring. I never have to wail for more than a few minutes t[ see my doctor. I highly recommend Dr. Arthur Barrie, my GI",5,0,2.27.0,2022-05-12 09:56:15,"Hi Georgia, we're so happy to hear you've had a great experience. Thank you for leaving a review!",2022-05-12 13:59:15
gp:AOqpTOFhO4m7DOlOP7si4P4VJ8v8SeWKbcLukVXT2O8VUHR_OAVCNl2ZuLVw5BrULkVS_U1waLNGVTfspVc23WU,Marsha Williams,https://play-lh.googleusercontent.com/a-/AOh14GhCI4GTDvBJpsi2RmczkpJs70dJNH2umpeCfpzt9Q,I will Never go to Another Hospital Shadyside Hospital Saved My Life I was getting the Right care they didn't give up on me I was in the hospital for 3months straight Thank All my Doctors and Nurses Aides and The Team of Medicine Blood X-rays and Food services and housekeeping And My affectness disease doctor who Pushed to find the medication to Make me well and not Cutting open my Chest You are Wonderful with your White hair And White eyes Your so Handsome and Dr Eric Miller who was By My Side,5,0,2.27.0,2022-05-11 22:16:48,"Hi Marsha, we're so happy to hear you've had a great experience. Thank you for leaving a review!",2022-05-12 13:58:49
gp:AOqpTOFTg3q9WHne_YN4DkqEs4Lr-MTQp2GwPrpiB8ONLx_e70w5qUwifvQFRcZwZ8fQ8wBnS0rIM_zUkV4yNf4,Ren Phoenix,https://play-lh.googleusercontent.com/a-/AOh14GjCZj61X8fk0-QwUMk5EN9oC-zHBsfFZ5mfh3rh,e meke.,5,0,2.20.0,2022-05-10 20:21:01,,
gp:AOqpTOGDNM-KKwLymI9VcSe8Ea-kMUbeQVDONpZ2EpzRoIYU7972QxqCMTnyaof4pYJmNMfA5OpI7QUodJBC0XM,Jody OKeefe,https://play-lh.googleusercontent.com/a-/AOh14GhJtOw4xCGC7Dn9mqI8SteCpWCryHSaY2v8utIXJw,It is not showing me my test results from recently which are a lot and I'm very upset about it,2,0,2.27.0,2022-05-09 13:04:04,"Hi Jody, thank you for reaching out about the problems you're having with the app. We apologize for the negative experience. For help with these issues, please email MyUPMC_Feedback@upmc.edu or call 1-866-884-8579 and we'll be happy to assist.",2022-05-09 14:05:56
gp:AOqpTOF6cC-_2X-AhpGjEKYrzFEBp6KRycEFtIzPop7-TOM_OWQyzEG3uqKBYAEaaZrAnqd-eTZNKNY6G1mlwmU,John Levison,https://play-lh.googleusercontent.com/a/AATXAJzuBqmHwY-d0g0WsISJ4i-cCa-3gwjtPRAuOg1r=mo,Not the brighest of sales staff work here.when I wanted to make a change to my part D coverage they completely disenrolled me in their system.,1,0,2.27.0,2022-05-09 09:51:29,"Hi John, we're sorry to hear you've had a negative experience and apologize for the inconvenience. If you’d like to speak with someone directly about your experience, you can contact UPMC HealthPlan at 1-844-220-4785. Thank you for your feedback.
",2022-05-09 11:43:42
gp:AOqpTOGFZnFtJrzCehq9DU8Y6eEuTdy-VnLlU0xJ7GuWA6AaYQwJpa7JxjddVu21YOspMxN1VCrzOfdia4A4QHI,Robert Thimons,https://play-lh.googleusercontent.com/a/AATXAJz4l1VSItVL5Z1nz9lKpk3-UIDbIs4JhV7Oqk5A=mo,Always have a great experience when using this app. Only one problem not every Dr. or Medical provider uses or inputs their information leaving voids in my history. It would be great if all medical historical data was input and provided a clear history of my health.,5,0,2.27.0,2022-05-09 08:03:46,"Hi Robert, we're happy to hear you're enjoying the app and finding it helpful in managing your care! Thank you for leaving your feedback as we're always striving to improve.",2022-05-09 11:26:57
gp:AOqpTOFTn48vwRbwSQF72dYKB_bGq2qbfVuqrDoyCWKAE6_uNyXjtzsSP1XtV-Eq4FHAjsukDT-RmmPUOaczVI8,Lisabeth Dixon,https://play-lh.googleusercontent.com/a/AATXAJxtfwB0TAhOcLttO_2dfo1dm2Or6UA5vlDDOaE2=mo,LisabethDixon Save,5,0,,2022-05-08 22:25:35,"Hello, we're happy to hear you're enjoying the app. Thank you for leaving a review!",2022-05-09 07:44:46
gp:AOqpTOErX7bwVQdmFsaGeB6I5bLDnUnre3oKwBX7mAS3YfYPwV3eV1VStbK9SsCS0TitSQpmeSlJ87Nv7jNJODU,Jamie Patsche,https://play-lh.googleusercontent.com/a-/AOh14Gh8iEUoloVelPYBT7ORrO-VjKKnPzUDkLm2J4PgRA,no updates on procedures that are supposed to happen the next day or time they are happening. makes you sit in hospital with no answers on what is happening today or tomorrow. bad hospital.,1,0,2.27.0,2022-05-08 06:26:03,"Hi Jamie, thank you for leaving your feedback. We're sorry that you've had a frustrating experience. To contact one of our Patient Relations Departments about this issue, please visit https://www.upmc.com/patients-visitors/patient-info/patient-relations and we'll be happy to assist.",2022-05-09 07:59:36
gp:AOqpTOH0bOhSr7rjlfzeSUFUuDfpfCgt9_L1bLQw5OpWGj4JYd-cY5tyw-6Z6Xv7BJ4Eil4csVG4xoxPapoPycE,Ronica Paine,https://play-lh.googleusercontent.com/a-/AOh14GgSN267Ti7aQWxdIR55PTXQKJuhdkZxj4NhfNRkSSI,Last new update was horrible all kinds of log in issues alot of cant pull up records of visits or medications or allergies it was alot better vmbefore this last update for sure,3,0,2.27.0,2022-05-04 19:08:37,"Hi Ronica, thank you for reaching out about the problems you're having with the app. We apologize for the negative experience as we're always striving to improve. For help with these issues, please email MyUPMC_Feedback@upmc.edu and we'll be happy to assist.",2022-05-05 05:46:16
