userName,date,isEdited,review,rating,title,id,body,modified
yogi90703,2022-02-25 17:39:41,False,"The app doesn’t let me log in, says the username/password are wrong OR the account is locked. Even though the exact same credentials work on the website & I can log in from there successfully. Spent an hour this morning with the support folks, trying to delete, reinstall the app, reset my password etc. and finally it worked - ONCE. Few minutes later, I try again and it gave the same stupid message that the account is locked/password incorrect. Called phone support again and they say my iPhone maybe suspect. Not true…, I have one of the newer iPhone models. And there is no issue with any other app.

Secondly, even when the app worked, it often does not show my prescriptions (“we are unable to show, there is an issue right now. Please use the website”). What’s the point of the app then? Jesus Christ! I’ve deleted the app now and at peace now. Thanks for wasting my time Anthem.",5,Piece of crap,,,
Hadhighhopes898,2020-01-15 13:06:07,False,"I loved the Anthem website and used it all the time for Bill Pay with my HSA account. I downloaded this app and now it has taken 3 calls to Customer Service to get this basic task done. I needed to ‘pay myself’ with my HSA to resolve a balance this week with a provider so I can have a procedure done. I went through the normal steps on Friday January 10th. I log in yesterday and it says it was denied although I had more than enough in there. I tried it again, same transaction. Got all the way to the end screen saying “submitted”. Checked back about an hour later (typically when I do this, it takes the funds out of my balance within seconds), funds were all still there. I look in pending transactions and my recent bill pay submission isn’t there. I waited and checked back today- it’s like it never happened. This app allows you to go all the way to the submit screen, submit it, tells you you’re all set, but meanwhile is doing absolutely nothing. I called customer service and they were dumbfounded, telling me “oh if it said you submitted it then you did but I don’t see it here. Can you do it on the phone with me now? It should show up in real time.”
I go through all of the steps for a third time, nothing shows up. No pending transaction. I have no HSA card or time to wait for one to be sent so I may have to move my procedure because of this weird glitch where it won’t let me do a basic task.",2,HSA Glitches All Day,12936054.0,"Hello Hadhighhopes898, we can understand why that would be frustrating. If you could, please email us your Username at Sydney@anthem.com, we want to assist you in getting this reviewed as quickly as possible. Thank you.

~ Sydney ~",2020-01-15T18:28:56Z
Patrick McCusker,2022-02-08 17:23:42,False,"Tried using the chat with a doctor feature a few weeks back. The robot asks a bunch of questions, asks for your credit card information, then directs you into a meaningless void where nothing takes place or crashes, sometimes both. Then the process repeats. For maximum fun, it charged me for the privilege of being angry at a robot while trying to find healthcare. I called Anthem for support and I am now on call number 2, over an hour in, 2 ish hours combined between 4 people in 3 different departments and we have yet to agree on whether the Sydney app can charge patients in the first place. Does Anthem know they have an app? If so, the people answering the phone to help troubleshoot/refund for the app not working should: A: know how the app works, B: know how to handle customer service calls for the app, C: know they have an app called Sydney that can charge patients for “services”. I honestly would have chalked this up to “company started a tech initiative they can’t/don’t know how to support” thing all healthcare providers are up to these days if the customer service wasn’t sooooooooo baaaaad. Don’t use it if you can avoid it. Would probably be easier to communicate with Anthem via messenger pigeon or *insert outmoded communication method here*.",1,Just horrible,27975873.0,"Hello, thank you for taking the time to share your feedback with us. If you could please email us at Sydney@anthem.com with your username and a brief description of what you're experiencing. We would like to investigate this further. Thank you. ~ Sydney ~",2022-02-10T19:35:28Z
JMATT79,2020-04-30 20:18:54,False,"Sydney Health is an upgrade to the Anthem Anywhere App. It’s streamlined and interactive. It can be used at home or on-the-go and with the cute little Sydney interactive helper it makes the app kind of fun to use too. Anthem BCBS has definitely taken consumer feedback and improved their product. If your plan comes with pharmacy then the pharmacy is right there and you can order your scripts through the app as well as set up your auto refill/auto pay. You can save your payment information, view and print your ID card as well as fax or email a copy of your card to your doctor’s office BEFORE you arrive for your appointment. Finding a doctor is easy, searching claims is easy as well as keeping track of your deductible and out of pocket totals for the year. It’s got everything. I highly recommend the app.",5,Fantastic & User Friendly,15035413.0,"Hello, thank you for taking the time to share your feedback with us. We're always happy to see our Members having the positive experiences they deserve. If you have any questions, or want to share additional feedback with us, let us know at Sydney@anthem.com. Thank you. ~ Sydney ~",2020-05-01T14:51:21Z
LauraLaine02,2020-10-05 02:10:48,False,"The app it doesn't have details on coverage. You can't find out exactly what is it or is not covered, the amount of coinsurance and co-pays etc. You have to instead go to the full website to get that information. I wish the app had everything and I didn't have to visit the full website so frequently. Also, when searching for care through the app it does tell you who is in network but it does not tell you if they require a referral or a prior authorization. Again you have to go to the full website to get that information. I found this out the hard way when I found an acupuncturist through the app, after my appointment and she told me that her service was not covered by my insurance. I thought that was strange because I had found her through the app, but come to find out I need prior authorization to do acupuncture. I think this could be improved.",3,More information should be included in the app,18308641.0,"Hello, thank you for taking the time to share your feedback with us. Knowing how our Members are using the application, and what features members would like to see in the future helps us improve the app for everyone! If you have any questions, or want to share additional feedback, please let us know at Sydney@anthem.com. Thank you. ~ Sydney ~",2020-10-06T16:48:18Z
LABeachGuy,2022-04-29 15:37:02,False,"The video visit feature is buggy. When I initially clicked on it, it crashed. It finally allowed me to proceed on the third attempt. At that point. I was asked to enter my email address – it didn’t pass via API. When I entered my email address and clicked the button to proceed, I received a pop-up that asked me if I wanted to discard my data. It would only proceed if I clicked yes. When I finally advanced to the scheduling screen, it said it couldn’t verify my plan. Alright, lots of issues here, but this is what happens when you run a release without testing. Also, I later found out this is just LiveHealth framed into the Sydney app. It would be a MUCH better user experience to just use the LiveHealth app directly - especially if user information doesn’t pass via api and the user has to re-enter. Right now, it just feels like a broken system.  Framing it in is obviously buggy. As a user, I’d much rather be told to just download the LiveHealth App. I get the branding angle here, but it’s not working.",1,Video Visit Buggy,29534084.0,"Hello, thank you for taking the time to share your feedback with us. Knowing how our Members are using the application, and where you faced problems allows us to improve the experience for all. If you could, please email us at Sydney@anthem.com with your username and any error messages you have received. We would like to look into this further. Thank you. ~ Sydney ~
",2022-05-03T13:57:54Z
b..f.,2022-03-14 07:59:03,False,"This app is easy to navigate. I haven’t tried calling any offices to confirm they are in fact in-network; when I do, if there are inaccuracies I’ll revisit this review. One helpful category I wish the app listed is the medical center for which each doctor works. For example, my group of doctors are all under Sutter Health; my records, appoints, after-care summaries, medications, etc. are kept in MyHealth app making it easy for me and my different doctors to see and review. It would be a dream if, when looking for a new doctor, this app listed whether they were in-network and Sutter Health providers. I really appreciate this list of care providers in my network, though, especially therapists, which have tedious to find in my experience.",5,Easiest way to find in-network care,,,
Hokieinotown,2022-01-07 11:58:34,True,"This app is pretty handy and intuitive. One thing that was quite confusing early on however was we downloaded the app as soon as we received our insurance cards in the mail (a few weeks prior to our coverage starting). It showed our insurance card in the app and it seemed normal, however whenever I would search for ANY type of provider it showed there were none in my network. After a considerable effort spent by myself and my coworkers, we discovered that the search worked fine if we did it from the website. Ultimately it turned out that the app would not work prior to our coverage starting. It was quite frustrating and wish either the app would be updated or, at a minimum, the paperwork would’ve told us not to use the app until the first day of coverage.",4,Pretty handy,27284555.0,"Hello, thank you for taking the time to share your experience with us. If you could please email us at Sydney@anthem.com with your username and a brief description of the searches you had attempted. We would like to investigate this further! Thank you. ~ Sydney ~",2022-01-07T11:58:34Z
Bway guy,2021-10-02 17:34:40,False,"You get 1 star for three reasons: 1) Why on God’s green earth are you called “Sydney Health” when we are Anthem members in Los Angeles?!?! To get the Anthem app loaded, I had to first figure out that you were called some random name that seems to have ZERO connection to your branding that I’ve ever heard of? Fire the person that decided that idiocy! 2) Fire the App Developer that FAILED to realize that a LOT of us use our iPad’s for dealing with these kinds of apps, as many of these apps require a LOT of typing - and it’s FAR easier to use the iPad connected to its keyboard. Instead, you idiots have created an app that will NOT change orientation, so it is UNUSABLE with an iPad. So you would get ZERO stars for that! 3) you offer virtual visits, great. BUT your app and your virtual “help” will NOT tell us what the pricing will be on scheduling a virtual visit. Nor does it have any clue what we are asking for when searching for any variation of “what is cost/copay for virtual doctor visit”. Ridiculous. Useless app. Fire the lot of you!",1,BEYOND Annoying!!,,,
Sydney Health App,2021-12-14 12:04:45,False,"I am completely frustrated with the Sydney Health App. The app downloads to my Iphone and tries to open when I click in it;however it will not open so I can login to my account. I contacted Anthem and was advised to delete the app and reinstall it. I have installed, deleted and reinstalled the app several times and it still will not load or open. P.S. I do not have any type of issues with any other apps I download to my Iphone which is a clear indicator that there is a problem with the Sydney app not my Iphone! It would be nice if someone could fix this bug so I will be able to fully utilize all my Anthem benefits.",5,Horrible App with Issues!,,,
