isEdited,review,title,date,rating,userName,body,id,modified
False,"This is a great health related medical app that’s extremely easy to use and a much better option than a box of papers you file away. It’s convenient and you’ll find that your medical information is simple a tap away, whenever you need it, anytime, anywhere.  It helps you to stay on top of all your medical care and the costs. I appreciate the ability to be able to keep an eye on my share of cost, health related billing, and deductibles. 

I only have one request in that it is nice that I am able to share your medical ID card as a pdf, but it would be much better if you allowed the medical ID card to be downloaded into my Apple Wallet along with my other cards. I have my prescription related card, along with my roadside assistance and groceries store cards, the time is now to allow the medical ID card to be utilized with the same convenience. 

Nevertheless, the am ranking this app 4.5 out of 5 stars. Great work!!",Great Health Related App,2021-10-07 22:13:06,5,Mr. Vikk,,,
False,"I have had nothing but problems with my navigator returning phone calls since October or December 2021 it is now March 16, 2022 and I still haven’t heard from her there’s something wrong with your phone system so she says plus then I’ve tried to talk to supervisors they were supposed to call me back has not won did and then she didn’t call me back after she said she would call me back at all I’ve tried to get back a hold of certain people can’t get a hold of anyone and nothing has been done can you please call me today to get things taken care of thank you I appreciate it and I don’t like this app I’m not sure how to really use it plus in January and I did not get my January $75 on my card and was promised because I got my card late I got my card on February 5, 2022 which was a Saturday and I was told and so was one of the customer service people or supervisor at UNITED Health Care to complete told that I would be getting an extension because I’m getting my card late and still I have not got that $75 for January February I didn’t try to use the card and it wouldn’t even work so now I got something else and I still don’t have my card in the mail which is the card number I got now don’t even know why what’s going on so I need somebody call me thank you have a nice day",Having problems with the card plus people not returning calls,2022-03-16 20:54:40,1,mysterylady 7,,,
False,Love that I can see my claims and Rx from the past. But when you need to add notes to your prescriptions there’s a glitch where the keyboard is in the way of the save button and there’s no way of pulling the keyboard down out the way. And they removed the ability to search for a specific doctor by name to see if they are in your network. I had to search a LONG list of several hundred drs and they are listed in no particular order. Just random so you can’t even scroll alphabetically. I swear I seen a dr was in network before contacting her to set up a surgery. But then when I contacted customer service to check on the pre-authorization and get an estimated out of pocket cost I was told she wasn’t in my network and they couldn’t give me an estimate. I went to try and find her in the search again but got tired of scrolling through hundreds of drs and without the ability to search by name it would have taken hours. Now I have learned if I find a dr in the list to take a screenshot of the list and their info. And since they changed things around it was hard to find the section that gives you an estimate out of pocket cost for procedures or for anything.,Great app till you actually need to do or look up something Specific,2021-08-08 05:11:29,2,Lunalyn82,,,
False,"Searching for a healthcare provider using this app is a nightmare. Good luck searching for a specific provider.  Is it under doctors, Specialists, facilities? Who knows! And good luck to you trying to figure it out. Not as simple as just entering a search term and seeing what results match your inquiry like a normal search engine with other insurance companies. 
To top it off, once you find a list of potential providers, make sure you go through them quickly before the app decides to log you out and you have to sign in and start over halfway through your review. 
But, that also depends if the app decides to let you log in at all. Depending on its mood it may log you in or it may tell you that your record wasn’t found, despite using FaceID linked to the same password that’s always worked for you. 
But worst of all, I was able to save a list of all my health providers for easy reference which you’d think is great. Well, that is until the app decided to one day delete all my saved providers so that I had to look for them all over again using their terrible search engine and save them again. Who knows how long they’ll last in my Saved bucket this time. 
I hate this app so much I have basically just resigned myself to using the desktop version.",Terrible glitchy app,2021-01-31 23:17:57,1,DKKeyes,,,
False,"The app allows you to view claims your providers have submitted to the insurer. Some of the claims are eye opening and will surprise you - such as how many claims a single visit might entail. You have the opportunity to mark-off which ones have been paid to assist the insurer to track whether your deductible has been reached. The app also allows you to quickly check which providers are in-network. Prescriptions on OptumRx are managed on a separate app. You can also save the contacts of your regular doctors for easy reference. It will also prompt you to look after your health by getting your blood pressure taken, getting a lipid panel or getting a flu shot. However, you do not put anything personal into the app. It does not collect your health data, so that’s good from a privacy perspective, but if that’s what you’re looking for, you’ll need another app.","Convenient, easy-to-use and useful",2020-09-23 03:50:34,5,Tzups,,,
False,"I will say that I have been very impressed this app. I have had BCBC and Cigna’s apps, and by far UHC has been the most functional and user friendly for me! 

I have only been using it since September 2019 when my benefits switched. All I can say is I never missed a beat and have not had to call UHC for anything to date! For me this alone has me smiling!

I give it 5 stars, but I am great at updating my reviews if and when my experience or thoughts change! Keep it operating properly and don’t try to improve or change it if it’s not broken. Too many companies do this and someone needs to say enough at times! When ease turns to frustration say good bye to things that affect your bottom line!!",Best experience I’ve had healthcare apps!,2019-10-31 17:32:14,5,Just me Lil 'b.,,,
False,"I love that all my information is at my fingertips including my HSA balance. Very easy to add your doctors that are in network. However I find it annoying that I could not add an out of network physician as my GP. My GP is a PAC, I honestly have never even met the doctor listed on my scripts (who happens to be in-network). I think a seamless integration with MyChart and GoodRX should be something the developers should look into for a one stop shop with appointment scheduling, test results, and medication cost options. As it is now, the user interface is clean and easy to navigate without more than a couple of minutes poking around when you first use it. If you a falling apart like me and have frequent office visits and multiple doctors, it’s a handy app to keep your insurance information and claims in order.",Very convenient,2020-10-23 20:16:45,4,Crystalreg,,,
False,"This app is very useful and I find myself using it frequently.  It is well-designed and relatively intuitive; for starters it is Faced ID-enabled so I don’t have to go looking for my userid and password every time.  It was also smart enough to look up both my current policy and one from a previous job so I can check my full history.  All of my recent claims are here and there are quick links to contact the nurse line, find a nearby provider, or talk directly to UHC.

It would get five stars except for two things: there’s no way to initiate a claim from the app (you have to use the full desktop site) and there seems to be no way to integrate with any medical records (for example, it keeps suggesting that I get my flu shot, even though I got it during a covered visit).

Overall, though, it’s a very solid app.",Quality Health Care App,2020-04-20 04:59:50,4,Lionraider,,,
False,"Off and on for the past 2, years, I have been jumping through hoops to take care of multiple, as in at least 20 billing and coding errors, that result in me getting charged hundreds of dollars each tim, when it should be covered 100%. I am being charged as a home infusion, when I have NEVER, EVER had a home infusion my whole life. I have always gotten my infusions at an infusion center. I have also had my IVIG delivered to my house, instead of the infusion center, and they had to return to pick it up. I just received another notification today, saying another IVIG  delivery will be arriving tomorrow. It’s never ending. I have been told over and over and over that it will be red flagged, and I won’t have to worry about it anymore. I have even spoken to my Patient Navigator. This is very stressful, and not good for my health, as stress is a HUGE factor in the possibility of a relapse related to my autoimmune disorder.","IVIG Delivery, billing errors, and coding errors",2022-01-30 18:11:58,1,Cunthia Albright,,,
False,"I wanted to say how helpful the UHC rep. Natalie from Columbus, Ohio was last Friday, April 15th. She stayed on the phone with me for over an hour assisting with talking to my current ENT Dr.’s office that was going to do my ear surgery, trying to convince them to pick up UHC/AARP insurance. She was trying to save me money! Researching Network doctors and finding one for me. She connected me with the rep. At the Essentials Account to order diabetic testing supplies, staying on the line until the order was completed. She explained in detail to me what the Essentials account was. I believe she went above and beyond any reps in other insurances normally do! 
Thanks Natalie! 

Gail C. Sheldon
St. Marys, Penna.",Dedicated UHC Employee,2022-04-20 16:11:42,5,Gailine 55,,,
False,"Why is my previous review deleted Apple??
Same complaint about UHC as before… stopping all promotional emails is not possible. The “opt out” button is non working or fake. It doesn’t do any good to block emails (or unsubscribe) within the Gmail app because UHC periodically uses different addresses to send from… just like scam callers constantly change their phone #.
I don’t believe I want to do business with UHC anymore since this is a representation of how they do all of their business. I’m going to shop around next enrollment time. I’m also going to pass this onto all the FB sites and pages (including a 1400 friend list to pass on) concerning the relentless pursuit of customers when they choose not to be solicited. I’ll be making a reminder in my phone, along with a copied & pasted of this review, to check this review every month to make sure it’s still here. Time to go block yet another email address",Not again?,2022-02-16 18:37:04,1,BofromKansas!,,,
False,"I downloaded this app about a year ago. As far as the app itself is concerned, I was pleased with it. I didn’t need it for a while until today; when I tried to log in to resolve an insurance mixup, I was denied entry. After spending some time checking my email and password, I came to the App Store to see if I could get some info here. That’s when I learned that some time during the interim the UHC app was no longer usable by AARP Medicare Advantage/UHC customers. I will be deleting this app - why should I keep something I can’t use? - and I understand UHC has the right to simplify things on their end, but it would have been nice to have received some warning of the change BEFORE I had to use it. The app itself gets five stars; the lack of communication dropped it to three.",Changed without warning,2019-11-05 20:09:58,3,Acoustic Words,,,
False,"I am very impressed with what I see, it’s great for staying in the loop of things as they are processing, I love that  I could see everything and everyone that I seen or visit with, perfect and the charges are broken down so you can see everything, if your life is very busy and you have to keep thing organized this is what you need, you can make notes on each claim and keep it all together with that claim. I finally was able to register and log on today after trying for a couple weeks and I’m so glad I’m up and running with it. Stress defuser, peace of mind is where it help me to be....Thanks",Awesome New Organizer!,2019-11-27 05:46:17,5,PRSJo,,,
False,"No customer service. I needed help with this app as it didn’t work with my iphone. I called the technical assistance number and got a person who only does commercial UHC, however she sent me to someone who “could help me”. That person asked me several questions and had me repeat the same actions I had just done and declared my phone incompatible with this app. Interesting, since my wife had just downloaded the same app on her identical ios phone with no problem. ( no problem getting into the web site on the laptop). 
Then he said he’d get someone who knew this app “really well”. Isn’t that why I was connected to him in the first place? Should I ask for the janitor next? I hung up after receiving NOTHING from UHC after almost 1.5 hours on the phone. I did receive many insincere ear massage apologies though.",Terrible,2020-10-27 18:55:31,1,ear massage,,,
