reviewId,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at,replyContent,repliedAt
gp:AOqpTOEQGKmZFKJh0BnIxzYU1MrNtQN5n8E66jIhsMQyOADyz6DEnZedsTWuXAmn96bL2rsrM6-typU-iW8cwA,Julia,https://play-lh.googleusercontent.com/a-/AOh14GguwQz_qALqFsFvO_bh0jpIWcAxw5K2vFBcDxxx5fY,no way to book appointments straight through this app. browsing providers is useless if you have to look them up outside of the app regardless to find info and book. I've started using other apps like zocdoc and amwell instead that let me find and book with providers based on my insurance coverage.,3,0,2.8.0,2022-05-13 09:55:14,,
gp:AOqpTOHjUBV9HfEr64GrtUT6KiIXpy1Q1J5LUdbtmWBDV2h4Vzt4hFzsv_rAxbsgCKG9NEZOZvRaTTVdjRzTQw,Jenell Bacon,https://play-lh.googleusercontent.com/a-/AOh14GgjtXWn4FQ3XCuObcsJ8dyTeohp_KELkdwTxuNyig,I love the UHC app very user friendly.,5,0,2.8.0,2022-05-13 06:05:17,,
gp:AOqpTOHAXKFwGGXenvERs5yvY1wCILFKECWEIZGj7NkD_srfkeuTVQkAEDBOkI7or42Yzv_BNxGBcX9iPWXjvw,James Wilson,https://play-lh.googleusercontent.com/a-/AOh14GiaEYraf_RqxcLMbnVMxMRCW20KbJ3HIhgvu8rz1A,very useful app,5,0,2.8.0,2022-05-12 17:48:07,,
gp:AOqpTOEDqLzZcBDueBojuld7sSN54WrmCtwnzsJ6FsO56y8zwqNo9HwsCY3JbtJXZAgaHhFeg_PxBFPxIcyp1Q,Sherita Shintell Partee,https://play-lh.googleusercontent.com/a-/AOh14GipHMMoatFwL-q-Tdk-NlchWdubvPqstZ1gkGYfXQ,App use to work can get my rewards not happy. A waste of time,1,0,,2022-05-12 14:07:42,,
gp:AOqpTOHm0e3Sei9qITqlX5B8_6ow_PevyWczDNKWzZT5iLkbd8ewNtEpkwFuLa_e3Sxt-w4XW0IJ30gjlzvM3w,Anjum F. Kaiser,https://play-lh.googleusercontent.com/a/AATXAJyRFwt1EIiaOnMlWmwztxPJRjqKQmRo_gek4ySx=mo,"Easy navigation, intuitive and user friendly for senior citizens.",5,0,2.8.0,2022-05-12 11:48:42,,
gp:AOqpTOEv_8siQwT9OLq3AQhRDyRQI7BYG8m_EPNq68YgUwkgTNGp6PH_tEhXL6P1DDQuilJDaq4H72HOBDPprg,G rOcK,https://play-lh.googleusercontent.com/a/AATXAJzYavCvkK2Typ50x5teNSKFsa4NsCXM9WO0U5Q=mo,rarely loads correctly. claim details have never once showed up even though there is a link to click. just goes to blank white page.,2,0,2.8.0,2022-05-12 04:24:02,,
gp:AOqpTOEQUo4HBW-Y3wymBpKnfRi6v75YkECnPZm9GPfkHQ9aE7C11G6XLDNV5UUdnDiXc-9JrEqnb7MC7lqODQ,Kimber Polen,https://play-lh.googleusercontent.com/a/AATXAJyawB0ptQ3VEdAIQLLEtO6Mp8IUvYME_G7J64ZE=mo,"Awful, slow and right now you can't even sign in. You would think UHC would have a much better sight. I can't stand having to deal with it.",1,0,2.8.0,2022-05-11 21:24:45,,
gp:AOqpTOEe6FLLD0ge114DJ47TQQtzK2veLVD6lcpK7rue3BSnvmgAGDOKO8JJtq68UH-u3INxTMbkbX_YUfGZpA,Rebecca Jones,https://play-lh.googleusercontent.com/a-/AOh14Gjx6_Xbt__ngn8EXr76-P6F_7EpiU7BRIEl6_hMGg,My plan isn't supported by this app.,1,0,,2022-05-11 11:53:41,,
gp:AOqpTOEStmLJHniWj2XQugr0K_RqKFE7c-oe4t81qhWq9kubjkEvIL6wxeXwioi7AZ6RwoNeqQnJ4lCXx7RaVg,Tiffany Pineda,https://play-lh.googleusercontent.com/a-/AOh14GjMTjxBsPQoYCX7JeGzCSslzm-lHFlzDyjyIVi73w,Great app,5,0,,2022-05-11 11:35:24,,
gp:AOqpTOGpu8hAfqNW0-0GGhBB6PtgOpEHey5Zc4mcErk2J6-IKRrBOfYsKPcsp7NXA-p_xLkBmE3JgtLdi8auaQ,Loretta Knight,https://play-lh.googleusercontent.com/a-/AOh14GjLZ_uWJLiFhUdn8ePrerobU4IMaiqGqq4AqyAL6g,Eazy to manage,5,0,2.8.0,2022-05-11 05:05:42,,
